,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Georgia,European Region of WHO,Western Asia,2020,1,2019-12-30,2020-01-05,,2.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,2.0,,No Report
1,Georgia,European Region of WHO,Western Asia,2020,2,2020-01-06,2020-01-12,,16.0,0.0,0.0,3.0,,0.0,3.0,0.0,9.0,0.0,9.0,12.0,,No Report
2,Georgia,European Region of WHO,Western Asia,2020,3,2020-01-13,2020-01-19,,6.0,0.0,0.0,1.0,,0.0,1.0,0.0,3.0,1.0,4.0,5.0,,No Report
3,Georgia,European Region of WHO,Western Asia,2020,4,2020-01-20,2020-01-26,,9.0,0.0,2.0,1.0,,0.0,3.0,0.0,5.0,0.0,5.0,8.0,,No Report
4,Georgia,European Region of WHO,Western Asia,2020,5,2020-01-27,2020-02-02,,18.0,0.0,3.0,3.0,,0.0,6.0,0.0,4.0,0.0,4.0,10.0,,No Report
5,Georgia,European Region of WHO,Western Asia,2020,6,2020-02-03,2020-02-09,,4.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,2.0,,No Report
6,Georgia,European Region of WHO,Western Asia,2020,7,2020-02-10,2020-02-16,,11.0,0.0,0.0,4.0,,0.0,4.0,0.0,3.0,0.0,3.0,7.0,,No Report
7,Georgia,European Region of WHO,Western Asia,2020,8,2020-02-17,2020-02-23,,7.0,0.0,1.0,2.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,No Report
8,Georgia,European Region of WHO,Western Asia,2020,9,2020-02-24,2020-03-01,,6.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,2.0,,No Report
9,Georgia,European Region of WHO,Western Asia,2020,10,2020-03-02,2020-03-08,,9.0,0.0,1.0,3.0,,0.0,4.0,0.0,0.0,0.0,0.0,4.0,,No Report
10,Georgia,European Region of WHO,Western Asia,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Georgia,European Region of WHO,Western Asia,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Georgia,European Region of WHO,Western Asia,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Georgia,European Region of WHO,Western Asia,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Georgia,European Region of WHO,Western Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Georgia,European Region of WHO,Western Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Georgia,European Region of WHO,Western Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Georgia,European Region of WHO,Western Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Georgia,European Region of WHO,Western Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Georgia,European Region of WHO,Western Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Georgia,European Region of WHO,Western Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Georgia,European Region of WHO,Western Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Georgia,European Region of WHO,Western Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Georgia,European Region of WHO,Western Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Georgia,European Region of WHO,Western Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Georgia,European Region of WHO,Western Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Georgia,European Region of WHO,Western Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
