Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Germany,European Region of WHO,South West Europe,2005,1,2005-01-03,2005-01-09,,71,0,,6,,0,6,,,2,2,8,,Sporadic

Germany,European Region of WHO,South West Europe,2005,2,2005-01-10,2005-01-16,,61,0,,11,,1,12,,,1,1,13,,Sporadic

Germany,European Region of WHO,South West Europe,2005,3,2005-01-17,2005-01-23,,102,0,,18,,1,19,,,1,1,20,,Sporadic

Germany,European Region of WHO,South West Europe,2005,4,2005-01-24,2005-01-30,,132,5,,11,,1,17,,,5,5,22,,Local Outbreak

Germany,European Region of WHO,South West Europe,2005,5,2005-01-31,2005-02-06,,229,6,,45,,2,53,,,3,3,56,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2005,6,2005-02-07,2005-02-13,,332,21,,65,,3,89,,,3,3,92,,Widespread Outbreak

Germany,European Region of WHO,South West Europe,2005,7,2005-02-14,2005-02-20,,478,26,,108,,6,140,,,7,7,147,,Widespread Outbreak

Germany,European Region of WHO,South West Europe,2005,8,2005-02-21,2005-02-27,,532,31,,174,,2,207,,,10,10,217,,Widespread Outbreak

Germany,European Region of WHO,South West Europe,2005,9,2005-02-28,2005-03-06,,499,45,,158,,1,204,,,31,31,235,,Widespread Outbreak

Germany,European Region of WHO,South West Europe,2005,10,2005-03-07,2005-03-13,,474,45,,132,,1,178,,,32,32,210,,Widespread Outbreak

Germany,European Region of WHO,South West Europe,2005,11,2005-03-14,2005-03-20,,322,34,,71,,,105,,,38,38,143,,Widespread Outbreak

Germany,European Region of WHO,South West Europe,2005,12,2005-03-21,2005-03-27,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,13,2005-03-28,2005-04-03,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,14,2005-04-04,2005-04-10,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,15,2005-04-11,2005-04-17,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,16,2005-04-18,2005-04-24,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,17,2005-04-25,2005-05-01,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,18,2005-05-02,2005-05-08,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,19,2005-05-09,2005-05-15,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,20,2005-05-16,2005-05-22,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,21,2005-05-23,2005-05-29,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,22,2005-05-30,2005-06-05,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,23,2005-06-06,2005-06-12,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,24,2005-06-13,2005-06-19,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,25,2005-06-20,2005-06-26,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,26,2005-06-27,2005-07-03,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,27,2005-07-04,2005-07-10,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,28,2005-07-11,2005-07-17,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,29,2005-07-18,2005-07-24,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,30,2005-07-25,2005-07-31,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,31,2005-08-01,2005-08-07,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,32,2005-08-08,2005-08-14,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,33,2005-08-15,2005-08-21,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,34,2005-08-22,2005-08-28,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,35,2005-08-29,2005-09-04,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,36,2005-09-05,2005-09-11,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,37,2005-09-12,2005-09-18,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,38,2005-09-19,2005-09-25,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,39,2005-09-26,2005-10-02,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2005,40,2005-10-03,2005-10-09,,2,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,41,2005-10-10,2005-10-16,,13,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,42,2005-10-17,2005-10-23,,24,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,43,2005-10-24,2005-10-30,,28,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,44,2005-10-31,2005-11-06,,16,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,45,2005-11-07,2005-11-13,,31,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,46,2005-11-14,2005-11-20,,33,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,47,2005-11-21,2005-11-27,,48,0,,0,,1,1,,,0,0,1,,No Activity

Germany,European Region of WHO,South West Europe,2005,48,2005-11-28,2005-12-04,,33,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,49,2005-12-05,2005-12-11,,40,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,50,2005-12-12,2005-12-18,,40,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,51,2005-12-19,2005-12-25,,27,0,,0,,0,0,,,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2005,52,2005-12-26,2006-01-01,,6,0,,0,,0,0,,,0,0,0,,No Activity


