Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Germany,European Region of WHO,South West Europe,2011,1,2011-01-03,2011-01-09,,112,0,54,1,,0,55,1,13,0,14,69,,Local Outbreak

Germany,European Region of WHO,South West Europe,2011,2,2011-01-10,2011-01-16,,200,0,129,1,,0,130,2,22,0,24,154,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,3,2011-01-17,2011-01-23,,229,0,140,0,,0,140,1,30,0,31,171,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,4,2011-01-24,2011-01-30,,251,0,160,0,,0,160,2,44,0,46,206,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,5,2011-01-31,2011-02-06,,281,0,185,1,,0,186,8,40,0,48,234,,No Report

Germany,European Region of WHO,South West Europe,2011,6,2011-02-07,2011-02-13,,305,0,162,1,,0,163,11,59,0,70,233,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,7,2011-02-14,2011-02-20,,242,0,94,0,,0,94,2,52,0,54,148,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,8,2011-02-21,2011-02-27,,196,0,57,1,,0,58,6,62,0,68,126,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,9,2011-02-28,2011-03-06,,160,0,47,1,,0,48,11,55,0,66,114,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,10,2011-03-07,2011-03-13,,131,0,28,0,,0,28,9,58,0,67,95,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,11,2011-03-14,2011-03-20,,122,0,19,0,,0,19,13,55,0,68,87,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,12,2011-03-21,2011-03-27,,97,0,20,0,,0,20,12,30,0,42,62,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,13,2011-03-28,2011-04-03,,52,0,6,0,,0,6,4,20,0,24,30,,Regional Outbreak

Germany,European Region of WHO,South West Europe,2011,14,2011-04-04,2011-04-10,,39,0,1,0,,0,1,3,15,0,18,19,,Local Outbreak

Germany,European Region of WHO,South West Europe,2011,15,2011-04-11,2011-04-17,,22,0,0,0,,0,0,0,4,0,4,4,,Sporadic

Germany,European Region of WHO,South West Europe,2011,16,2011-04-18,2011-04-24,,8,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Germany,European Region of WHO,South West Europe,2011,17,2011-04-25,2011-05-01,,4,0,0,0,,0,0,1,1,0,2,2,,Sporadic

Germany,European Region of WHO,South West Europe,2011,18,2011-05-02,2011-05-08,,3,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Germany,European Region of WHO,South West Europe,2011,19,2011-05-09,2011-05-15,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,20,2011-05-16,2011-05-22,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,21,2011-05-23,2011-05-29,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,22,2011-05-30,2011-06-05,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,23,2011-06-06,2011-06-12,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,24,2011-06-13,2011-06-19,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,25,2011-06-20,2011-06-26,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,26,2011-06-27,2011-07-03,,4,0,0,1,,0,1,0,0,0,0,1,,No Activity

Germany,European Region of WHO,South West Europe,2011,27,2011-07-04,2011-07-10,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,28,2011-07-11,2011-07-17,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,29,2011-07-18,2011-07-24,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,30,2011-07-25,2011-07-31,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,31,2011-08-01,2011-08-07,,1,0,1,0,,0,1,0,0,0,0,1,,No Activity

Germany,European Region of WHO,South West Europe,2011,32,2011-08-08,2011-08-14,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,33,2011-08-15,2011-08-21,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,34,2011-08-22,2011-08-28,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,35,2011-08-29,2011-09-04,,,,,,,,,,,,,,,No Report

Germany,European Region of WHO,South West Europe,2011,36,2011-09-05,2011-09-11,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,37,2011-09-12,2011-09-18,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,38,2011-09-19,2011-09-25,,14,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,39,2011-09-26,2011-10-02,,13,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,40,2011-10-03,2011-10-09,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,41,2011-10-10,2011-10-16,,13,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,42,2011-10-17,2011-10-23,,8,0,0,0,,0,0,0,1,0,1,1,,No Activity

Germany,European Region of WHO,South West Europe,2011,43,2011-10-24,2011-10-30,,18,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,44,2011-10-31,2011-11-06,,17,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,45,2011-11-07,2011-11-13,,15,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,46,2011-11-14,2011-11-20,,17,0,0,1,,0,1,0,0,0,0,1,,No Activity

Germany,European Region of WHO,South West Europe,2011,47,2011-11-21,2011-11-27,,35,0,0,0,,0,0,0,0,0,0,0,,No Activity

Germany,European Region of WHO,South West Europe,2011,48,2011-11-28,2011-12-04,,42,0,0,1,,0,1,1,0,0,1,2,,No Activity

Germany,European Region of WHO,South West Europe,2011,49,2011-12-05,2011-12-11,,74,0,0,3,,0,3,0,0,0,0,3,,No Activity

Germany,European Region of WHO,South West Europe,2011,50,2011-12-12,2011-12-18,,76,0,0,4,,0,4,0,0,0,0,4,,Sporadic

Germany,European Region of WHO,South West Europe,2011,51,2011-12-19,2011-12-25,,59,0,0,2,,0,2,0,0,0,0,2,,No Report

