,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Germany,European Region of WHO,South West Europe,2020,1,2019-12-30,2020-01-05,,62.0,0.0,4.0,3.0,,0.0,7.0,0.0,1.0,0.0,1.0,8.0,,No Report
1,Germany,European Region of WHO,South West Europe,2020,2,2020-01-06,2020-01-12,,126.0,0.0,24.0,8.0,,0.0,32.0,0.0,4.0,0.0,4.0,36.0,,No Report
2,Germany,European Region of WHO,South West Europe,2020,3,2020-01-13,2020-01-19,,158.0,0.0,26.0,14.0,,0.0,40.0,0.0,9.0,0.0,9.0,49.0,,No Report
3,Germany,European Region of WHO,South West Europe,2020,4,2020-01-20,2020-01-26,,204.0,0.0,38.0,37.0,,0.0,75.0,0.0,7.0,0.0,7.0,82.0,,No Report
4,Germany,European Region of WHO,South West Europe,2020,5,2020-01-27,2020-02-02,,271.0,0.0,52.0,65.0,,0.0,117.0,1.0,12.0,0.0,13.0,130.0,,No Report
5,Germany,European Region of WHO,South West Europe,2020,6,2020-02-03,2020-02-09,,248.0,0.0,35.0,54.0,,0.0,89.0,0.0,12.0,0.0,12.0,101.0,,No Report
6,Germany,European Region of WHO,South West Europe,2020,7,2020-02-10,2020-02-16,,261.0,0.0,60.0,40.0,,0.0,100.0,0.0,7.0,0.0,7.0,107.0,,No Report
7,Germany,European Region of WHO,South West Europe,2020,8,2020-02-17,2020-02-23,,225.0,0.0,38.0,41.0,,0.0,79.0,0.0,20.0,0.0,20.0,99.0,,No Report
8,Germany,European Region of WHO,South West Europe,2020,9,2020-02-24,2020-03-01,,259.0,0.0,39.0,38.0,,0.0,77.0,0.0,18.0,0.0,18.0,95.0,,No Report
9,Germany,European Region of WHO,South West Europe,2020,10,2020-03-02,2020-03-08,,286.0,0.0,36.0,52.0,,0.0,88.0,0.0,21.0,0.0,21.0,109.0,,No Report
10,Germany,European Region of WHO,South West Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Germany,European Region of WHO,South West Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Germany,European Region of WHO,South West Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Germany,European Region of WHO,South West Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Germany,European Region of WHO,South West Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Germany,European Region of WHO,South West Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Germany,European Region of WHO,South West Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Germany,European Region of WHO,South West Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Germany,European Region of WHO,South West Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Germany,European Region of WHO,South West Europe,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Germany,European Region of WHO,South West Europe,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Germany,European Region of WHO,South West Europe,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Germany,European Region of WHO,South West Europe,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Germany,European Region of WHO,South West Europe,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Germany,European Region of WHO,South West Europe,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Germany,European Region of WHO,South West Europe,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Germany,European Region of WHO,South West Europe,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Germany,European Region of WHO,South West Europe,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Germany,European Region of WHO,South West Europe,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
