Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ghana,African Region of WHO,Western Africa,2018,1,2018-01-01,2018-01-07,,,,,,,,0,,,0,0,0,,No Activity

Ghana,African Region of WHO,Western Africa,2018,2,2018-01-08,2018-01-14,154,154,,15,0,0,0,15,11,0,0,11,26,128,Sporadic

Ghana,African Region of WHO,Western Africa,2018,3,2018-01-15,2018-01-21,121,121,,20,0,0,0,20,7,2,0,9,29,92,Sporadic

Ghana,African Region of WHO,Western Africa,2018,4,2018-01-22,2018-01-28,136,136,,17,0,0,0,17,10,0,0,10,27,109,Sporadic

Ghana,African Region of WHO,Western Africa,2018,5,2018-01-29,2018-02-04,97,97,,9,0,0,0,9,10,1,0,11,20,77,Sporadic

Ghana,African Region of WHO,Western Africa,2018,6,2018-02-05,2018-02-11,117,117,,17,0,0,0,17,6,0,,6,23,94,Sporadic

Ghana,African Region of WHO,Western Africa,2018,7,2018-02-12,2018-02-18,121,121,,16,0,0,0,16,11,0,0,11,27,94,Sporadic

Ghana,African Region of WHO,Western Africa,2018,8,2018-02-19,2018-02-25,113,113,,7,0,0,0,7,12,0,0,12,19,94,Sporadic

Ghana,African Region of WHO,Western Africa,2018,9,2018-02-26,2018-03-04,108,108,,14,0,0,0,14,13,0,0,13,27,81,Sporadic

Ghana,African Region of WHO,Western Africa,2018,10,2018-03-05,2018-03-11,94,94,,5,0,0,0,5,12,0,0,12,17,77,Sporadic

Ghana,African Region of WHO,Western Africa,2018,11,2018-03-12,2018-03-18,142,142,,8,2,0,0,10,11,0,0,11,21,121,Sporadic

Ghana,African Region of WHO,Western Africa,2018,12,2018-03-19,2018-03-25,111,111,,13,0,0,0,13,7,0,0,7,20,91,Sporadic

Ghana,African Region of WHO,Western Africa,2018,13,2018-03-26,2018-04-01,47,47,,10,0,0,0,10,1,0,0,1,11,36,Sporadic

Ghana,African Region of WHO,Western Africa,2018,14,2018-04-02,2018-04-08,137,137,,9,0,0,0,9,9,0,0,9,18,119,Sporadic

Ghana,African Region of WHO,Western Africa,2018,15,2018-04-09,2018-04-15,93,93,,3,0,0,0,3,4,0,0,4,7,86,Sporadic

Ghana,African Region of WHO,Western Africa,2018,16,2018-04-16,2018-04-22,97,97,,5,0,0,0,5,8,0,0,8,13,84,Sporadic

Ghana,African Region of WHO,Western Africa,2018,17,2018-04-23,2018-04-29,87,87,,2,0,0,0,2,4,0,0,4,6,81,Sporadic

Ghana,African Region of WHO,Western Africa,2018,18,2018-04-30,2018-05-06,116,116,,2,0,0,0,2,10,0,0,10,12,104,Sporadic

Ghana,African Region of WHO,Western Africa,2018,19,2018-05-07,2018-05-13,80,80,,3,1,0,0,4,3,0,0,3,7,73,Sporadic

Ghana,African Region of WHO,Western Africa,2018,20,2018-05-14,2018-05-20,115,115,,1,0,0,0,1,6,0,0,6,7,108,Sporadic

Ghana,African Region of WHO,Western Africa,2018,21,2018-05-21,2018-05-27,64,64,,3,0,0,0,3,0,0,0,0,3,61,Sporadic

Ghana,African Region of WHO,Western Africa,2018,22,2018-05-28,2018-06-03,69,69,,3,0,0,0,3,2,1,0,3,6,63,Sporadic

Ghana,African Region of WHO,Western Africa,2018,23,2018-06-04,2018-06-10,116,116,,11,0,0,0,11,1,0,0,1,12,104,Sporadic

