Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ghana,African Region of WHO,Western Africa,2019,1,2018-12-31,2019-01-06,47,47,,1,3,0,0,4,0,0,0,0,4,41,Sporadic

Ghana,African Region of WHO,Western Africa,2019,2,2019-01-07,2019-01-13,42,42,,0,0,0,0,0,0,2,0,2,2,40,Sporadic

Ghana,African Region of WHO,Western Africa,2019,3,2019-01-14,2019-01-20,118,118,,0,3,0,0,3,0,2,0,2,5,113,Sporadic

Ghana,African Region of WHO,Western Africa,2019,4,2019-01-21,2019-01-27,73,73,,0,2,0,0,2,0,0,0,0,2,71,Sporadic

Ghana,African Region of WHO,Western Africa,2019,5,2019-01-28,2019-02-03,95,95,,0,1,0,0,1,0,0,0,0,1,94,Sporadic

Ghana,African Region of WHO,Western Africa,2019,6,2019-02-04,2019-02-10,82,82,,0,1,0,0,1,0,0,0,0,1,81,Sporadic

Ghana,African Region of WHO,Western Africa,2019,7,2019-02-11,2019-02-17,91,91,,0,3,0,0,3,0,0,0,0,3,88,Sporadic

Ghana,African Region of WHO,Western Africa,2019,8,2019-02-18,2019-02-24,88,88,,0,4,0,0,4,0,0,0,0,4,84,Sporadic

Ghana,African Region of WHO,Western Africa,2019,9,2019-02-25,2019-03-03,110,110,,1,3,0,0,4,0,1,0,1,5,105,Sporadic

Ghana,African Region of WHO,Western Africa,2019,10,2019-03-04,2019-03-10,60,60,,1,1,0,0,2,0,0,0,0,2,58,Sporadic

Ghana,African Region of WHO,Western Africa,2019,11,2019-03-11,2019-03-17,114,114,,0,3,0,0,3,0,0,0,0,3,111,Sporadic

Ghana,African Region of WHO,Western Africa,2019,12,2019-03-18,2019-03-24,79,79,,0,3,0,0,3,0,0,0,0,3,76,Sporadic

Ghana,African Region of WHO,Western Africa,2019,13,2019-03-25,2019-03-31,118,118,,0,9,0,0,9,0,0,0,0,9,109,Sporadic

Ghana,African Region of WHO,Western Africa,2019,14,2019-04-01,2019-04-07,105,105,,0,7,0,0,7,0,0,0,0,7,98,Sporadic

Ghana,African Region of WHO,Western Africa,2019,15,2019-04-08,2019-04-14,103,103,,0,6,0,0,6,0,0,0,0,6,95,Sporadic

Ghana,African Region of WHO,Western Africa,2019,16,2019-04-15,2019-04-21,59,59,,0,4,0,0,4,0,0,0,0,4,55,Sporadic

Ghana,African Region of WHO,Western Africa,2019,17,2019-04-22,2019-04-28,71,71,,0,2,0,0,2,0,0,0,0,2,69,Sporadic

Ghana,African Region of WHO,Western Africa,2019,18,2019-04-29,2019-05-05,86,86,,0,2,0,0,2,0,0,0,0,2,84,Sporadic

Ghana,African Region of WHO,Western Africa,2019,19,2019-05-06,2019-05-12,85,85,,0,1,0,0,1,0,0,0,0,1,84,Sporadic

Ghana,African Region of WHO,Western Africa,2019,20,2019-05-13,2019-05-19,110,110,,0,12,0,0,12,0,0,0,0,12,98,Sporadic

Ghana,African Region of WHO,Western Africa,2019,21,2019-05-20,2019-05-26,139,139,,0,10,,0,10,0,0,0,0,10,129,Sporadic

Ghana,African Region of WHO,Western Africa,2019,22,2019-05-27,2019-06-02,75,75,,0,17,0,0,17,0,0,0,0,17,58,Sporadic

Ghana,African Region of WHO,Western Africa,2019,23,2019-06-03,2019-06-09,124,124,,0,25,0,0,25,0,0,0,0,25,99,Sporadic

Ghana,African Region of WHO,Western Africa,2019,24,2019-06-10,2019-06-16,109,109,,0,19,0,0,19,0,0,0,0,19,90,Sporadic

Ghana,African Region of WHO,Western Africa,2019,25,2019-06-17,2019-06-23,123,123,,0,26,0,0,26,0,0,0,0,26,97,Sporadic

Ghana,African Region of WHO,Western Africa,2019,26,2019-06-24,2019-06-30,132,132,,0,29,0,0,29,0,0,0,0,29,103,Sporadic

