,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Ghana,African Region of WHO,Western Africa,2020,1,2019-12-30,2020-01-05,21.0,21.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,Sporadic
1,Ghana,African Region of WHO,Western Africa,2020,2,2020-01-06,2020-01-12,65.0,65.0,,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,62.0,Sporadic
2,Ghana,African Region of WHO,Western Africa,2020,3,2020-01-13,2020-01-19,71.0,71.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,Sporadic
3,Ghana,African Region of WHO,Western Africa,2020,4,2020-01-20,2020-01-26,51.0,51.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,Sporadic
4,Ghana,African Region of WHO,Western Africa,2020,5,2020-01-27,2020-02-02,98.0,98.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,Sporadic
5,Ghana,African Region of WHO,Western Africa,2020,6,2020-02-03,2020-02-09,117.0,117.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,116.0,Sporadic
6,Ghana,African Region of WHO,Western Africa,2020,7,2020-02-10,2020-02-16,72.0,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sporadic
7,Ghana,African Region of WHO,Western Africa,2020,8,2020-02-17,2020-02-23,99.0,99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sporadic
8,Ghana,African Region of WHO,Western Africa,2020,9,2020-02-24,2020-03-01,46.0,46.0,,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,42.0,Sporadic
9,Ghana,African Region of WHO,Western Africa,2020,10,2020-03-02,2020-03-08,64.0,64.0,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,61.0,Sporadic
10,Ghana,African Region of WHO,Western Africa,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Ghana,African Region of WHO,Western Africa,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Ghana,African Region of WHO,Western Africa,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Ghana,African Region of WHO,Western Africa,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Ghana,African Region of WHO,Western Africa,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Ghana,African Region of WHO,Western Africa,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Ghana,African Region of WHO,Western Africa,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Ghana,African Region of WHO,Western Africa,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Ghana,African Region of WHO,Western Africa,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
