Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Greece,European Region of WHO,South West Europe,2009,1,2008-12-29,2009-01-04,4,10,0,,2,,0,2,0,0,0,0,2,,Sporadic

Greece,European Region of WHO,South West Europe,2009,2,2009-01-05,2009-01-11,2,18,0,,5,,0,5,0,0,2,2,7,,Sporadic

Greece,European Region of WHO,South West Europe,2009,3,2009-01-12,2009-01-18,18,43,1,,12,,2,15,,,0,0,15,,Sporadic

Greece,European Region of WHO,South West Europe,2009,4,2009-01-19,2009-01-25,26,74,,,17,,3,20,,7,3,10,30,,Local Outbreak

Greece,European Region of WHO,South West Europe,2009,5,2009-01-26,2009-02-01,30,89,,,24,,,24,,6,5,11,35,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,6,2009-02-02,2009-02-08,49,118,1,,30,,0,31,,10,12,22,53,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,7,2009-02-09,2009-02-15,25,80,0,,9,,0,9,0,10,9,19,28,,Local Outbreak

Greece,European Region of WHO,South West Europe,2009,8,2009-02-16,2009-02-22,22,81,,,15,,6,21,,22,8,30,51,,Local Outbreak

Greece,European Region of WHO,South West Europe,2009,9,2009-02-23,2009-03-01,36,100,,,18,,,18,,27,14,41,59,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,10,2009-03-02,2009-03-08,2,75,,,15,,0,15,,35,2,37,52,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,11,2009-03-09,2009-03-15,44,89,1,,25,,18,44,,25,14,39,83,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,12,2009-03-16,2009-03-22,32,89,1,,14,,7,22,,29,14,43,65,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,13,2009-03-23,2009-03-29,2,29,0,,6,,,6,,8,1,9,15,,Sporadic

Greece,European Region of WHO,South West Europe,2009,14,2009-03-30,2009-04-05,8,31,1,,10,,1,12,,6,4,10,22,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,15,2009-04-06,2009-04-12,13,34,0,,5,,,5,,2,3,5,10,,Sporadic

Greece,European Region of WHO,South West Europe,2009,16,2009-04-13,2009-04-19,,13,,,3,,,3,,,0,0,3,,Sporadic

Greece,European Region of WHO,South West Europe,2009,17,2009-04-20,2009-04-26,,3,0,,0,,0,0,,,0,0,0,,No Activity

Greece,European Region of WHO,South West Europe,2009,18,2009-04-27,2009-05-03,4,4,,,,,,0,,,0,0,0,,No Report

Greece,European Region of WHO,South West Europe,2009,19,2009-05-04,2009-05-10,5,5,,,1,,,1,,,0,0,1,,No Report

Greece,European Region of WHO,South West Europe,2009,20,2009-05-11,2009-05-17,3,3,,,,,,0,,,0,0,0,,No Report

Greece,European Region of WHO,South West Europe,2009,21,2009-05-18,2009-05-24,2,18,0,,,,,0,,,0,0,0,,No Report

Greece,European Region of WHO,South West Europe,2009,22,2009-05-25,2009-05-31,14,14,0,1,,,,1,,,0,0,1,,No Report

Greece,European Region of WHO,South West Europe,2009,23,2009-06-01,2009-06-07,8,8,,,,,,0,,,0,0,0,,No Report

Greece,European Region of WHO,South West Europe,2009,24,2009-06-08,2009-06-14,7,7,,,,,,0,,,0,0,0,,No Report

Greece,European Region of WHO,South West Europe,2009,25,2009-06-15,2009-06-21,153,153,,32,15,,,47,,,1,1,48,,Sporadic

Greece,European Region of WHO,South West Europe,2009,26,2009-06-22,2009-06-28,175,10,,37,4,,2,43,,,0,0,43,,No Report

Greece,European Region of WHO,South West Europe,2009,27,2009-06-29,2009-07-05,203,203,,46,1,,,47,,,0,0,47,,Sporadic

Greece,European Region of WHO,South West Europe,2009,28,2009-07-06,2009-07-12,366,366,,156,,,,156,,,0,0,156,,Sporadic

Greece,European Region of WHO,South West Europe,2009,29,2009-07-13,2009-07-19,684,684,,246,,,2,248,,,0,0,248,,Sporadic

Greece,European Region of WHO,South West Europe,2009,30,2009-07-20,2009-07-26,382,382,,147,,,2,149,,,0,0,149,,Sporadic

Greece,European Region of WHO,South West Europe,2009,31,2009-07-27,2009-08-02,756,756,,363,,,3,366,,,0,0,366,,Sporadic

Greece,European Region of WHO,South West Europe,2009,32,2009-08-03,2009-08-09,596,596,,280,,,,280,,,0,0,280,,Sporadic

Greece,European Region of WHO,South West Europe,2009,33,2009-08-10,2009-08-16,535,535,,227,,,,227,,,0,0,227,,Sporadic

Greece,European Region of WHO,South West Europe,2009,34,2009-08-17,2009-08-23,554,554,,190,,,,190,,,0,0,190,,Sporadic

Greece,European Region of WHO,South West Europe,2009,35,2009-08-24,2009-08-30,427,427,,117,,,1,118,,,0,0,118,,Sporadic

Greece,European Region of WHO,South West Europe,2009,36,2009-08-31,2009-09-06,389,389,,77,,,0,77,,,0,0,77,,Sporadic

Greece,European Region of WHO,South West Europe,2009,37,2009-09-07,2009-09-13,205,205,,32,,,0,32,,,0,0,32,,Sporadic

Greece,European Region of WHO,South West Europe,2009,38,2009-09-14,2009-09-20,304,304,,18,,,0,18,,,0,0,18,,Sporadic

Greece,European Region of WHO,South West Europe,2009,39,2009-09-21,2009-09-27,326,326,,33,,,1,34,,,0,0,34,,Sporadic

Greece,European Region of WHO,South West Europe,2009,40,2009-09-28,2009-10-04,444,444,,35,,,0,35,,,0,0,35,,Sporadic

Greece,European Region of WHO,South West Europe,2009,41,2009-10-05,2009-10-11,362,362,,38,,,1,39,,,0,0,39,,Sporadic

Greece,European Region of WHO,South West Europe,2009,42,2009-10-12,2009-10-18,299,299,,45,,,,45,,,0,0,45,,Sporadic

Greece,European Region of WHO,South West Europe,2009,43,2009-10-19,2009-10-25,264,264,,52,,,,52,,,0,0,52,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,44,2009-10-26,2009-11-01,318,318,,91,,,,91,,,1,1,92,,Regional Outbreak

Greece,European Region of WHO,South West Europe,2009,45,2009-11-02,2009-11-08,414,414,,161,,,,161,,,0,0,161,,Sporadic

Greece,European Region of WHO,South West Europe,2009,46,2009-11-09,2009-11-15,1349,1349,,714,,,2,716,,,0,0,716,,Widespread Outbreak

Greece,European Region of WHO,South West Europe,2009,47,2009-11-16,2009-11-22,2114,2097,,1097,,,,1097,,,0,0,1097,,Widespread Outbreak

Greece,European Region of WHO,South West Europe,2009,48,2009-11-23,2009-11-29,2284,2272,,1165,,,,1165,,,0,0,1165,,Widespread Outbreak

Greece,European Region of WHO,South West Europe,2009,49,2009-11-30,2009-12-06,1643,1586,,852,,,,852,,,0,0,852,,Widespread Outbreak

Greece,European Region of WHO,South West Europe,2009,50,2009-12-07,2009-12-13,206,206,0,68,0,0,0,68,0,0,0,0,68,,Widespread Outbreak

Greece,European Region of WHO,South West Europe,2009,51,2009-12-14,2009-12-20,190,190,0,58,0,0,0,58,0,0,0,0,58,,Widespread Outbreak

Greece,European Region of WHO,South West Europe,2009,52,2009-12-21,2009-12-27,948,948,0,472,0,0,0,472,0,0,0,0,472,,Widespread Outbreak

Greece,European Region of WHO,South West Europe,2009,53,2009-12-28,2010-01-03,940,940,0,466,0,0,0,466,0,0,0,0,466,,Widespread Outbreak


