Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,1,2012-12-31,2013-01-06,35,29,0,0,3,0,0,3,0,0,0,0,3,26,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,2,2013-01-07,2013-01-13,46,35,0,0,3,0,0,3,0,0,0,0,3,32,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,3,2013-01-14,2013-01-20,47,47,0,0,5,0,1,6,0,0,0,0,6,41,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,4,2013-01-21,2013-01-27,60,56,0,0,8,0,0,8,0,0,0,0,8,48,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,5,2013-01-28,2013-02-03,68,59,0,1,5,0,0,6,0,0,4,4,10,49,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,6,2013-02-04,2013-02-10,67,67,0,1,2,0,0,3,0,0,1,1,4,63,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,7,2013-02-11,2013-02-17,77,70,0,0,10,0,2,12,0,0,0,0,12,58,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,8,2013-02-18,2013-02-24,63,55,0,2,5,0,0,7,0,0,0,0,7,48,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,9,2013-02-25,2013-03-03,64,58,0,2,2,0,0,4,0,0,1,1,5,53,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,10,2013-03-04,2013-03-10,67,62,0,2,3,0,0,5,0,0,0,0,5,57,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,11,2013-03-11,2013-03-17,62,59,0,2,6,0,1,9,0,0,1,1,10,49,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,12,2013-03-18,2013-03-24,39,39,0,2,3,0,0,5,0,0,0,0,5,34,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,13,2013-03-25,2013-03-31,29,25,0,0,6,0,0,6,0,0,0,0,6,19,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,14,2013-04-01,2013-04-07,49,46,0,1,2,0,1,4,0,0,0,0,4,42,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,15,2013-04-08,2013-04-14,62,58,0,2,3,0,0,5,0,0,0,0,5,53,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,16,2013-04-15,2013-04-21,40,32,0,0,2,0,1,3,0,0,1,1,4,28,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,17,2013-04-22,2013-04-28,34,26,0,0,2,0,0,2,0,0,0,0,2,24,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,18,2013-04-29,2013-05-05,51,49,0,1,2,0,0,3,0,0,0,0,3,46,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,19,2013-05-06,2013-05-12,40,36,0,0,0,0,0,0,0,0,0,0,0,36,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,20,2013-05-13,2013-05-19,48,47,0,1,0,0,0,1,0,0,1,1,2,45,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,21,2013-05-20,2013-05-26,35,33,0,0,0,0,0,0,0,0,0,0,0,33,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,22,2013-05-27,2013-06-02,36,34,0,0,1,0,0,1,0,0,3,3,4,30,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,23,2013-06-03,2013-06-09,60,51,0,0,0,0,1,1,0,0,1,1,2,49,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,24,2013-06-10,2013-06-16,51,46,0,0,0,0,3,3,0,0,2,2,5,41,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,25,2013-06-17,2013-06-23,57,53,0,0,1,0,1,2,0,0,0,0,2,51,No Report

Guatemala,Region of the Americas of WHO,Central America and Caribbean,2013,26,2013-06-24,2013-06-30,64,60,0,2,1,0,1,4,0,0,0,0,4,56,No Report

