Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Guyana,Region of the Americas of WHO,Tropical South America,2000,1,2000-01-03,2000-01-09,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,2,2000-01-10,2000-01-16,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,3,2000-01-17,2000-01-23,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,4,2000-01-24,2000-01-30,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,5,2000-01-31,2000-02-06,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,6,2000-02-07,2000-02-13,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,7,2000-02-14,2000-02-20,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,8,2000-02-21,2000-02-27,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,9,2000-02-28,2000-03-05,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,10,2000-03-06,2000-03-12,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,11,2000-03-13,2000-03-19,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,12,2000-03-20,2000-03-26,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,13,2000-03-27,2000-04-02,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,14,2000-04-03,2000-04-09,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,15,2000-04-10,2000-04-16,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,16,2000-04-17,2000-04-23,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,17,2000-04-24,2000-04-30,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,18,2000-05-01,2000-05-07,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,19,2000-05-08,2000-05-14,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,20,2000-05-15,2000-05-21,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,21,2000-05-22,2000-05-28,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,22,2000-05-29,2000-06-04,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,23,2000-06-05,2000-06-11,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,24,2000-06-12,2000-06-18,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,25,2000-06-19,2000-06-25,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,26,2000-06-26,2000-07-02,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,27,2000-07-03,2000-07-09,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,28,2000-07-10,2000-07-16,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,29,2000-07-17,2000-07-23,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,30,2000-07-24,2000-07-30,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,31,2000-07-31,2000-08-06,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,32,2000-08-07,2000-08-13,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,33,2000-08-14,2000-08-20,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,34,2000-08-21,2000-08-27,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,35,2000-08-28,2000-09-03,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,36,2000-09-04,2000-09-10,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,37,2000-09-11,2000-09-17,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,38,2000-09-18,2000-09-24,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,39,2000-09-25,2000-10-01,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,40,2000-10-02,2000-10-08,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,41,2000-10-09,2000-10-15,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,42,2000-10-16,2000-10-22,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,43,2000-10-23,2000-10-29,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,44,2000-10-30,2000-11-05,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,45,2000-11-06,2000-11-12,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,46,2000-11-13,2000-11-19,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,47,2000-11-20,2000-11-26,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,48,2000-11-27,2000-12-03,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,49,2000-12-04,2000-12-10,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,50,2000-12-11,2000-12-17,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,51,2000-12-18,2000-12-24,,,,,,,,,,,,,,,No Report

Guyana,Region of the Americas of WHO,Tropical South America,2000,52,2000-12-25,2000-12-31,,,,,,,,,,,,,,,No Report


