Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,1,2018-01-01,2018-01-07,,7,0,0,0,,0,0,0,0,0,0,0,7,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,2,2018-01-08,2018-01-14,,15,0,0,0,,0,0,0,0,0,0,0,15,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,3,2018-01-15,2018-01-21,,45,0,0,0,,0,0,0,0,0,0,0,45,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,4,2018-01-22,2018-01-28,,31,0,2,0,,0,2,0,0,0,0,2,29,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,5,2018-01-29,2018-02-04,,64,0,0,0,,0,0,0,0,0,0,0,64,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,6,2018-02-05,2018-02-11,,41,0,0,0,,0,0,0,0,0,0,0,41,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,7,2018-02-12,2018-02-18,,20,0,0,0,,0,0,0,0,0,0,0,20,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,8,2018-02-19,2018-02-25,,50,0,0,1,,0,1,0,0,0,0,1,49,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,9,2018-02-26,2018-03-04,,25,0,0,0,,0,0,0,0,0,0,0,25,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,10,2018-03-05,2018-03-11,,64,0,0,0,,0,0,0,0,0,0,0,64,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,11,2018-03-12,2018-03-18,,75,0,1,0,,0,1,1,0,0,1,2,73,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,12,2018-03-19,2018-03-25,,54,0,0,0,,0,0,0,0,0,0,0,54,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,13,2018-03-26,2018-04-01,,34,0,0,0,,0,0,0,0,0,0,0,34,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,14,2018-04-02,2018-04-08,,66,0,0,0,,0,0,0,1,0,1,1,65,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,15,2018-04-09,2018-04-15,,38,0,0,0,,0,0,0,0,0,0,0,38,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,16,2018-04-16,2018-04-22,,71,0,2,0,,0,2,0,0,0,0,2,69,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,17,2018-04-23,2018-04-29,,90,0,6,0,,0,6,0,0,0,0,6,84,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,18,2018-04-30,2018-05-06,,74,0,8,0,,0,8,0,0,0,0,8,66,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,19,2018-05-07,2018-05-13,,47,0,7,0,,0,7,0,0,0,0,7,40,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,20,2018-05-14,2018-05-20,,30,0,2,0,,0,2,0,0,0,0,2,28,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,21,2018-05-21,2018-05-27,,43,0,5,0,,0,5,0,0,0,0,5,38,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,22,2018-05-28,2018-06-03,,22,0,6,0,,0,6,0,0,0,0,6,16,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,23,2018-06-04,2018-06-10,,51,0,4,0,,0,4,0,0,0,0,4,47,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,24,2018-06-11,2018-06-17,,34,0,4,0,,0,4,0,0,0,0,4,30,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,25,2018-06-18,2018-06-24,,62,0,5,0,,0,5,0,0,0,0,5,57,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,26,2018-06-25,2018-07-01,,53,0,8,0,,0,8,0,0,0,0,8,45,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,27,2018-07-02,2018-07-08,,21,0,6,0,,0,6,0,0,0,0,6,15,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,28,2018-07-09,2018-07-15,,11,0,5,0,,0,5,0,0,0,0,5,6,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,29,2018-07-16,2018-07-22,,30,0,11,0,,0,11,0,0,0,0,11,19,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,30,2018-07-23,2018-07-29,,58,0,7,0,,0,7,0,0,0,0,7,51,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,31,2018-07-30,2018-08-05,,44,0,13,0,,0,13,0,0,0,0,13,31,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,32,2018-08-06,2018-08-12,,56,0,3,0,,0,3,0,0,0,0,3,53,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,33,2018-08-13,2018-08-19,,43,0,10,0,,0,10,0,0,0,0,10,33,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,34,2018-08-20,2018-08-26,,25,0,6,0,,0,6,0,0,0,0,6,19,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,35,2018-08-27,2018-09-02,,57,0,11,0,,0,11,0,0,0,0,11,46,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,36,2018-09-03,2018-09-09,,36,0,13,0,,0,13,0,0,0,0,13,23,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,37,2018-09-10,2018-09-16,,36,0,4,0,,0,4,0,0,0,0,4,32,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,38,2018-09-17,2018-09-23,,49,0,11,0,,0,11,0,0,0,0,11,38,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,39,2018-09-24,2018-09-30,,56,0,13,0,,0,13,0,0,0,0,13,43,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,40,2018-10-01,2018-10-07,,80,0,15,0,,0,15,0,0,0,0,15,65,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,41,2018-10-08,2018-10-14,,71,0,20,0,,0,20,0,0,0,0,20,51,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,42,2018-10-15,2018-10-21,,86,0,26,0,,0,26,0,0,0,0,26,60,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,43,2018-10-22,2018-10-28,,94,0,17,0,,0,17,0,0,0,0,17,77,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,44,2018-10-29,2018-11-04,,55,0,5,0,,0,5,0,0,0,0,5,50,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,45,2018-11-05,2018-11-11,,108,0,16,0,,0,16,0,0,0,0,16,92,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,46,2018-11-12,2018-11-18,,116,0,23,0,,0,23,1,1,0,2,25,91,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,47,2018-11-19,2018-11-25,,1,0,0,0,,0,0,0,0,0,0,0,1,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,48,2018-11-26,2018-12-02,,22,0,10,0,,0,10,0,0,0,0,10,12,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,49,2018-12-03,2018-12-09,,105,0,3,0,,3,6,0,0,0,0,6,99,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,50,2018-12-10,2018-12-16,,120,0,1,0,,4,5,0,0,0,0,5,115,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,51,2018-12-17,2018-12-23,,130,0,15,0,,1,16,0,0,1,1,17,113,No Report

Haiti,Region of the Americas of WHO,Central America and Caribbean,2018,52,2018-12-24,2018-12-30,,53,0,0,0,,0,0,2,0,0,2,2,51,No Report


