Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,1,2013-12-30,2014-01-05,,11,0,0,0,,0,0,0,0,0,0,0,11,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,2,2014-01-06,2014-01-12,,24,0,0,0,,0,0,0,0,0,0,0,24,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,3,2014-01-13,2014-01-19,,29,0,0,0,,0,0,0,0,0,0,0,29,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,4,2014-01-20,2014-01-26,,21,0,0,0,,0,0,0,0,0,0,0,21,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,5,2014-01-27,2014-02-02,,31,0,0,0,,0,0,0,0,0,0,0,31,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,6,2014-02-03,2014-02-09,,40,0,0,0,,0,0,0,0,0,0,0,40,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,7,2014-02-10,2014-02-16,,21,0,0,0,,0,0,0,0,0,0,0,21,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,8,2014-02-17,2014-02-23,,48,0,0,0,,0,0,0,0,0,0,0,48,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,9,2014-02-24,2014-03-02,,32,0,0,0,,0,0,0,0,0,0,0,32,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,10,2014-03-03,2014-03-09,,26,0,0,0,,0,0,0,0,0,0,0,26,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,11,2014-03-10,2014-03-16,,36,0,0,0,,0,0,0,0,1,1,1,35,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,12,2014-03-17,2014-03-23,,35,0,0,0,,0,0,0,0,1,1,1,34,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,13,2014-03-24,2014-03-30,,35,0,0,0,,0,0,0,0,1,1,1,34,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,14,2014-03-31,2014-04-06,,27,0,0,0,,0,0,0,0,0,0,0,27,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,15,2014-04-07,2014-04-13,,18,0,0,0,,0,0,0,0,2,2,2,16,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,16,2014-04-14,2014-04-20,,7,0,0,0,,0,0,0,0,2,2,2,5,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,17,2014-04-21,2014-04-27,,48,0,0,0,,0,0,0,0,0,0,0,48,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,18,2014-04-28,2014-05-04,,36,0,0,0,,0,0,0,0,2,2,2,34,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,19,2014-05-05,2014-05-11,,30,0,0,0,,0,0,0,0,6,6,6,24,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,20,2014-05-12,2014-05-18,,21,0,0,0,,0,0,0,0,9,9,9,12,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,21,2014-05-19,2014-05-25,,31,0,0,0,,0,0,0,0,4,4,4,27,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,22,2014-05-26,2014-06-01,,37,0,0,0,,0,0,0,0,7,7,7,30,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,23,2014-06-02,2014-06-08,,39,0,0,0,,0,0,0,0,11,11,11,28,No Report

Honduras,Region of the Americas of WHO,Central America and Caribbean,2014,24,2014-06-09,2014-06-15,,31,0,0,0,,0,0,0,0,4,4,4,27,No Report

