,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,1,2019-12-30,2020-01-05,,26.0,,,,,0.0,0.0,,,0.0,0.0,0.0,26.0,No Report
1,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,2,2020-01-06,2020-01-12,,32.0,,,,,0.0,0.0,,,3.0,3.0,3.0,29.0,No Report
2,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,3,2020-01-13,2020-01-19,,38.0,,0.0,,,2.0,2.0,,,0.0,0.0,2.0,36.0,No Report
3,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,4,2020-01-20,2020-01-26,,36.0,,0.0,,,0.0,0.0,,,5.0,5.0,5.0,31.0,No Report
4,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,5,2020-01-27,2020-02-02,,30.0,,0.0,,,0.0,0.0,,,2.0,2.0,2.0,28.0,No Report
5,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,6,2020-02-03,2020-02-09,,33.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,33.0,No Report
6,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,7,2020-02-10,2020-02-16,,36.0,,1.0,,,1.0,2.0,,,1.0,1.0,3.0,33.0,No Report
7,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,8,2020-02-17,2020-02-23,,37.0,,3.0,2.0,,0.0,5.0,,,0.0,0.0,5.0,32.0,No Report
8,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,9,2020-02-24,2020-03-01,,36.0,,5.0,0.0,,0.0,5.0,,,1.0,1.0,6.0,30.0,No Report
9,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,10,2020-03-02,2020-03-08,,63.0,,7.0,0.0,,0.0,7.0,,,4.0,4.0,11.0,52.0,No Report
10,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,11,2020-03-09,2020-03-15,,52.0,,1.0,0.0,,0.0,1.0,,,1.0,1.0,2.0,50.0,No Report
11,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,12,2020-03-16,2020-03-22,,14.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,14.0,No Report
12,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Honduras,Region of the Americas of WHO,Central America and Caribbean,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,Honduras,Region of the Americas of WHO,Central America and Caribbean,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
