Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Hungary,European Region of WHO,Eastern Europe,2012,1,2012-01-02,2012-01-08,,39,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Hungary,European Region of WHO,Eastern Europe,2012,2,2012-01-09,2012-01-15,,70,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Hungary,European Region of WHO,Eastern Europe,2012,3,2012-01-16,2012-01-22,,68,0,0,1,,0,1,0,0,0,0,1,,Sporadic

Hungary,European Region of WHO,Eastern Europe,2012,4,2012-01-23,2012-01-29,,103,0,0,3,,0,3,0,0,6,6,9,,Sporadic

Hungary,European Region of WHO,Eastern Europe,2012,5,2012-01-30,2012-02-05,,97,0,0,2,,0,2,0,0,8,8,10,,Sporadic

Hungary,European Region of WHO,Eastern Europe,2012,6,2012-02-06,2012-02-12,,87,0,0,4,,0,4,0,0,6,6,10,,Regional Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,7,2012-02-13,2012-02-19,,124,0,0,26,,0,26,0,0,13,13,39,,Widespread Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,8,2012-02-20,2012-02-26,,151,0,0,22,,0,22,0,0,36,36,58,,Widespread Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,9,2012-02-27,2012-03-04,,194,0,0,45,,3,48,0,0,32,32,80,,Widespread Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,10,2012-03-05,2012-03-11,,197,0,0,41,,0,41,0,0,48,48,89,,Widespread Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,11,2012-03-12,2012-03-18,,80,0,0,16,,0,16,0,0,14,14,30,,Widespread Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,12,2012-03-19,2012-03-25,,181,0,0,46,,1,47,0,0,51,51,98,,Widespread Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,13,2012-03-26,2012-04-01,,86,0,0,19,,1,20,0,0,18,18,38,,Regional Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,14,2012-04-02,2012-04-08,,66,0,0,7,,1,8,0,0,9,9,17,,Local Outbreak

Hungary,European Region of WHO,Eastern Europe,2012,15,2012-04-09,2012-04-15,,38,0,0,3,,0,3,0,0,9,9,12,,Sporadic

