Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Iceland,European Region of WHO,Northern Europe,2011,1,2011-01-03,2011-01-09,,42,0,3,0,,0,3,0,0,1,1,4,,Local Outbreak

Iceland,European Region of WHO,Northern Europe,2011,2,2011-01-10,2011-01-16,,34,0,3,2,,0,5,0,0,1,1,6,,Local Outbreak

Iceland,European Region of WHO,Northern Europe,2011,3,2011-01-17,2011-01-23,,31,0,3,0,,0,3,0,0,0,0,3,,Local Outbreak

Iceland,European Region of WHO,Northern Europe,2011,4,2011-01-24,2011-01-30,,49,0,5,0,,0,5,0,0,5,5,10,,Local Outbreak

Iceland,European Region of WHO,Northern Europe,2011,5,2011-01-31,2011-02-06,,62,0,0,1,,1,2,0,0,15,15,17,,Local Outbreak

Iceland,European Region of WHO,Northern Europe,2011,6,2011-02-07,2011-02-13,,60,0,0,0,,0,0,0,0,22,22,22,,Regional Outbreak

Iceland,European Region of WHO,Northern Europe,2011,7,2011-02-14,2011-02-20,,40,0,0,0,,0,0,0,0,16,16,16,,Regional Outbreak

Iceland,European Region of WHO,Northern Europe,2011,8,2011-02-21,2011-02-27,,38,0,1,0,,0,1,0,0,9,9,10,,Widespread Outbreak

Iceland,European Region of WHO,Northern Europe,2011,9,2011-02-28,2011-03-06,,42,0,0,0,,0,0,0,0,12,12,12,,No Report

Iceland,European Region of WHO,Northern Europe,2011,10,2011-03-07,2011-03-13,,36,0,0,0,,0,0,0,0,12,12,12,,Regional Outbreak

Iceland,European Region of WHO,Northern Europe,2011,11,2011-03-14,2011-03-20,,32,0,1,0,,0,1,0,0,12,12,13,,Regional Outbreak

Iceland,European Region of WHO,Northern Europe,2011,12,2011-03-21,2011-03-27,,21,0,2,0,,0,2,0,0,7,7,9,,Regional Outbreak

Iceland,European Region of WHO,Northern Europe,2011,13,2011-03-28,2011-04-03,,10,0,1,0,,0,1,0,0,2,2,3,,Regional Outbreak

Iceland,European Region of WHO,Northern Europe,2011,14,2011-04-04,2011-04-10,,17,0,0,0,,0,0,0,0,3,3,3,,No Report

Iceland,European Region of WHO,Northern Europe,2011,15,2011-04-11,2011-04-17,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,16,2011-04-18,2011-04-24,,11,0,0,0,,0,0,0,0,3,3,3,,No Report

Iceland,European Region of WHO,Northern Europe,2011,17,2011-04-25,2011-05-01,,7,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,18,2011-05-02,2011-05-08,,11,0,0,0,,0,0,0,0,1,1,1,,No Report

Iceland,European Region of WHO,Northern Europe,2011,19,2011-05-09,2011-05-15,,10,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,20,2011-05-16,2011-05-22,,9,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,21,2011-05-23,2011-05-29,,10,0,0,0,,0,0,0,0,0,0,0,,No Activity

Iceland,European Region of WHO,Northern Europe,2011,22,2011-05-30,2011-06-05,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,23,2011-06-06,2011-06-12,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,24,2011-06-13,2011-06-19,,8,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,25,2011-06-20,2011-06-26,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Iceland,European Region of WHO,Northern Europe,2011,26,2011-06-27,2011-07-03,,3,0,0,0,,0,0,0,0,0,0,0,,No Report

