Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

India,South-East Asia Region of WHO,Southern Asia,2012,1,2012-01-02,2012-01-08,199,199,0,1,11,0,0,12,0,0,21,21,33,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,2,2012-01-09,2012-01-15,246,246,0,0,11,0,0,11,0,1,14,15,26,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,3,2012-01-16,2012-01-22,239,239,0,2,18,0,0,20,0,3,8,11,31,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,4,2012-01-23,2012-01-29,226,226,0,0,6,0,0,6,0,1,13,14,20,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,5,2012-01-30,2012-02-05,275,275,0,1,16,0,0,17,0,0,14,14,31,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,6,2012-02-06,2012-02-12,215,215,0,1,7,0,0,8,0,0,8,8,16,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,7,2012-02-13,2012-02-19,216,215,0,0,6,0,0,6,0,0,11,11,17,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,8,2012-02-20,2012-02-26,222,222,0,4,10,0,0,14,0,0,16,16,30,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,9,2012-02-27,2012-03-04,213,213,0,2,6,0,0,8,0,0,14,14,22,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,10,2012-03-05,2012-03-11,212,212,0,10,4,0,0,14,0,0,13,13,27,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,11,2012-03-12,2012-03-18,328,328,0,28,4,0,0,32,0,6,29,35,67,,Sporadic

India,South-East Asia Region of WHO,Southern Asia,2012,12,2012-03-19,2012-03-25,505,504,0,75,4,0,0,79,1,13,22,36,115,,Regional Outbreak

India,South-East Asia Region of WHO,Southern Asia,2012,13,2012-03-26,2012-04-01,589,589,0,100,1,0,0,101,0,1,39,40,141,,Regional Outbreak

India,South-East Asia Region of WHO,Southern Asia,2012,14,2012-04-02,2012-04-08,499,498,0,49,15,0,0,64,0,0,35,35,99,,Regional Outbreak

India,South-East Asia Region of WHO,Southern Asia,2012,15,2012-04-09,2012-04-15,543,543,0,41,1,0,0,42,0,4,46,50,92,,Regional Outbreak

India,South-East Asia Region of WHO,Southern Asia,2012,16,2012-04-16,2012-04-22,411,411,0,29,1,0,0,30,1,4,16,21,51,,Regional Outbreak

India,South-East Asia Region of WHO,Southern Asia,2012,17,2012-04-23,2012-04-29,416,416,0,15,2,0,0,17,0,0,19,19,36,,Regional Outbreak

India,South-East Asia Region of WHO,Southern Asia,2012,18,2012-04-30,2012-05-06,360,360,0,18,0,0,0,18,0,1,14,15,33,,Sporadic

