Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,1,2014-12-29,2015-01-04,30,30,0,0,2,0,0,2,0,0,0,0,2,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,2,2015-01-05,2015-01-11,27,27,0,0,3,0,0,3,0,0,0,0,3,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,3,2015-01-12,2015-01-18,84,84,0,2,12,0,0,14,0,0,7,7,21,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,4,2015-01-19,2015-01-25,130,130,0,3,29,0,0,32,0,0,4,4,36,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,5,2015-01-26,2015-02-01,88,88,0,1,22,0,0,23,0,0,2,2,25,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,6,2015-02-02,2015-02-08,97,97,0,5,23,0,0,28,0,0,4,4,32,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,7,2015-02-09,2015-02-15,104,104,0,13,21,0,0,34,0,0,10,10,44,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,8,2015-02-16,2015-02-22,99,99,0,1,28,0,0,29,0,0,9,9,38,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,9,2015-02-23,2015-03-01,110,110,0,3,25,0,0,28,0,0,7,7,35,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,10,2015-03-02,2015-03-08,158,158,0,6,32,0,0,38,0,0,16,16,54,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,11,2015-03-09,2015-03-15,181,181,0,4,20,0,0,24,0,0,22,22,46,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,12,2015-03-16,2015-03-22,151,151,0,7,14,0,0,21,0,0,10,10,31,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,13,2015-03-23,2015-03-29,155,155,0,4,25,0,0,29,0,0,12,12,41,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,14,2015-03-30,2015-04-05,130,130,0,2,13,0,0,15,0,0,17,17,32,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,15,2015-04-06,2015-04-12,119,119,0,5,7,0,0,12,0,0,10,10,22,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,16,2015-04-13,2015-04-19,209,209,0,9,10,0,0,19,0,0,12,12,31,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,17,2015-04-20,2015-04-26,150,150,0,3,10,0,0,13,0,0,11,11,24,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,18,2015-04-27,2015-05-03,140,140,0,1,3,0,0,4,0,0,11,11,15,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,19,2015-05-04,2015-05-10,136,136,0,3,4,0,0,7,0,0,15,15,22,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,20,2015-05-11,2015-05-17,89,89,0,2,1,0,0,3,0,0,7,7,10,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,21,2015-05-18,2015-05-24,145,145,0,2,8,0,0,10,0,0,15,15,25,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,22,2015-05-25,2015-05-31,104,104,0,2,3,0,0,5,0,0,5,5,10,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,23,2015-06-01,2015-06-07,85,85,0,2,3,0,0,5,0,0,4,4,9,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,24,2015-06-08,2015-06-14,95,95,0,3,3,0,0,6,0,0,8,8,14,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,25,2015-06-15,2015-06-21,92,92,0,3,1,0,0,4,0,0,6,6,10,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,26,2015-06-22,2015-06-28,90,90,0,1,1,0,0,2,0,0,5,5,7,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,27,2015-06-29,2015-07-05,103,103,0,2,5,0,0,7,0,0,3,3,10,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,28,2015-07-06,2015-07-12,86,86,0,1,2,0,0,3,0,0,7,7,10,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,29,2015-07-13,2015-07-19,18,18,0,1,0,0,0,1,0,0,2,2,3,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,30,2015-07-20,2015-07-26,38,38,0,1,2,0,0,3,0,0,2,2,5,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,31,2015-07-27,2015-08-02,57,57,0,0,3,0,0,3,0,0,3,3,6,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,32,2015-08-03,2015-08-09,71,71,0,2,1,0,0,3,0,0,5,5,8,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,33,2015-08-10,2015-08-16,64,64,0,3,1,0,0,4,0,0,8,8,12,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,34,2015-08-17,2015-08-23,81,81,0,6,1,0,0,7,0,0,6,6,13,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,35,2015-08-24,2015-08-30,102,102,0,7,3,0,0,10,0,0,2,2,12,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,36,2015-08-31,2015-09-06,126,126,0,7,4,0,0,11,0,0,7,7,18,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,37,2015-09-07,2015-09-13,109,109,0,5,8,0,0,13,0,0,5,5,18,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,38,2015-09-14,2015-09-20,105,105,0,10,8,0,0,18,0,0,4,4,22,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,39,2015-09-21,2015-09-27,70,70,0,9,2,0,0,11,0,0,2,2,13,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,40,2015-09-28,2015-10-04,103,103,0,10,4,0,0,14,0,0,3,3,17,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,41,2015-10-05,2015-10-11,85,85,0,10,1,0,0,11,0,0,6,6,17,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,42,2015-10-12,2015-10-18,128,128,0,10,2,0,0,12,0,0,1,1,13,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,43,2015-10-19,2015-10-25,123,123,0,19,5,0,0,24,0,0,4,4,28,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,44,2015-10-26,2015-11-01,140,140,0,21,4,0,0,25,0,0,2,2,27,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,45,2015-11-02,2015-11-08,90,90,0,6,0,0,0,6,0,0,4,4,10,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,46,2015-11-09,2015-11-15,81,81,0,9,0,0,0,9,0,0,2,2,11,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,47,2015-11-16,2015-11-22,78,78,0,14,0,0,0,14,0,0,2,2,16,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,48,2015-11-23,2015-11-29,66,66,0,20,2,0,0,22,0,0,2,2,24,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,49,2015-11-30,2015-12-06,47,47,0,18,0,0,0,18,0,0,0,0,18,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,50,2015-12-07,2015-12-13,42,42,0,6,1,0,0,7,0,0,0,0,7,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,51,2015-12-14,2015-12-20,51,51,0,8,5,0,0,13,0,0,1,1,14,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,52,2015-12-21,2015-12-27,96,96,0,11,1,0,0,12,0,0,0,0,12,,Sporadic

Indonesia,South-East Asia Region of WHO,South-East Asia,2015,53,2015-12-28,2016-01-03,74,74,0,13,0,0,0,13,0,0,7,7,20,,Sporadic


