Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,1,2012-01-02,2012-01-08,415,415,0,0,121,0,0,121,0,0,3,3,124,,No Report

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,2,2012-01-09,2012-01-15,215,215,0,0,51,0,0,51,0,0,1,1,52,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,3,2012-01-16,2012-01-22,355,355,0,0,100,0,0,100,0,0,2,2,102,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,4,2012-01-23,2012-01-29,199,199,0,0,49,0,0,49,0,0,1,1,50,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,5,2012-01-30,2012-02-05,205,205,0,0,29,0,0,29,0,0,3,3,32,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,6,2012-02-06,2012-02-12,113,113,0,0,6,0,0,6,0,0,1,1,7,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,7,2012-02-13,2012-02-19,154,154,0,0,16,0,0,16,0,0,6,6,22,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,8,2012-02-20,2012-02-26,156,156,0,0,6,0,0,6,0,0,5,5,11,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,9,2012-02-27,2012-03-04,94,94,0,0,4,0,0,4,0,0,7,7,11,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,10,2012-03-05,2012-03-11,104,104,0,0,5,0,0,5,0,0,3,3,8,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,11,2012-03-12,2012-03-18,61,61,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,12,2012-03-19,2012-03-25,49,49,0,0,2,0,0,2,0,0,6,6,8,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,13,2012-03-26,2012-04-01,43,43,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,14,2012-04-02,2012-04-08,67,67,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,15,2012-04-09,2012-04-15,68,68,0,0,0,0,0,0,0,0,9,9,9,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,16,2012-04-16,2012-04-22,59,59,0,0,0,0,0,0,0,0,5,5,5,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,17,2012-04-23,2012-04-29,29,29,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,18,2012-04-30,2012-05-06,51,51,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,19,2012-05-07,2012-05-13,36,36,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,20,2012-05-14,2012-05-20,115,115,0,0,0,0,0,0,0,0,7,7,7,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,21,2012-05-21,2012-05-27,49,49,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,22,2012-05-28,2012-06-03,42,42,0,1,0,0,0,1,0,0,3,3,4,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,23,2012-06-04,2012-06-10,20,20,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,24,2012-06-11,2012-06-17,23,23,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2012,25,2012-06-18,2012-06-24,19,19,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

