,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,1,2001-12-31,2002-01-06,,,,,,,,,,,,,,,No Report
1,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,2,2002-01-07,2002-01-13,,,,,,,,,,,,,,,No Report
2,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,3,2002-01-14,2002-01-20,,,,,,,,,,,,,,,No Report
3,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,4,2002-01-21,2002-01-27,,,,,,,,,,,,,,,No Report
4,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,5,2002-01-28,2002-02-03,,,,,,,,,,,,,,,No Report
5,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,6,2002-02-04,2002-02-10,,,,,,,,,,,,,,,No Report
6,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,7,2002-02-11,2002-02-17,,,,,,,,,,,,,,,No Report
7,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,8,2002-02-18,2002-02-24,,,,,,,,,,,,,,,No Report
8,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,9,2002-02-25,2002-03-03,,,,,,,,,,,,,,,No Report
9,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,10,2002-03-04,2002-03-10,,,,,,,,,,,,,,,No Report
10,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,11,2002-03-11,2002-03-17,,,,,,,,,,,,,,,No Report
11,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,12,2002-03-18,2002-03-24,,,,,,,,,,,,,,,No Report
12,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,13,2002-03-25,2002-03-31,,,,,,,,,,,,,,,No Report
13,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,14,2002-04-01,2002-04-07,,,,,,,,,,,,,,,No Report
14,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,15,2002-04-08,2002-04-14,,,,,,,,,,,,,,,No Report
15,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,16,2002-04-15,2002-04-21,,,,,,,,,,,,,,,No Report
16,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,17,2002-04-22,2002-04-28,,,,,,,,,,,,,,,No Report
17,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,18,2002-04-29,2002-05-05,,,,,,,,,,,,,,,No Report
18,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,19,2002-05-06,2002-05-12,,,,,,,,,,,,,,,No Report
19,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,20,2002-05-13,2002-05-19,,,,,,,,,,,,,,,No Report
20,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,21,2002-05-20,2002-05-26,,,,,,,,,,,,,,,No Report
21,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,22,2002-05-27,2002-06-02,,,,,,,,,,,,,,,No Report
22,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,23,2002-06-03,2002-06-09,,,,,,,,,,,,,,,No Report
23,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,24,2002-06-10,2002-06-16,,,,,,,,,,,,,,,No Report
24,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,25,2002-06-17,2002-06-23,,,,,,,,,,,,,,,No Report
25,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,26,2002-06-24,2002-06-30,,,,,,,,,,,,,,,No Report
26,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,27,2002-07-01,2002-07-07,,,,,,,,,,,,,,,No Report
27,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,28,2002-07-08,2002-07-14,,,,,,,,,,,,,,,No Report
28,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,29,2002-07-15,2002-07-21,,,,,,,,,,,,,,,No Report
29,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,30,2002-07-22,2002-07-28,,,,,,,,,,,,,,,No Report
30,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,31,2002-07-29,2002-08-04,,,,,,,,,,,,,,,No Report
31,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,32,2002-08-05,2002-08-11,,,,,,,,,,,,,,,No Report
32,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,33,2002-08-12,2002-08-18,,,,,,,,,,,,,,,No Report
33,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,34,2002-08-19,2002-08-25,,,,,,,,,,,,,,,No Report
34,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,35,2002-08-26,2002-09-01,,,,,,,,,,,,,,,No Report
35,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,36,2002-09-02,2002-09-08,,,,,,,,,,,,,,,No Report
36,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,37,2002-09-09,2002-09-15,,,,,,,,,,,,,,,No Report
37,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,38,2002-09-16,2002-09-22,,,,,,,,,,,,,,,No Report
38,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,39,2002-09-23,2002-09-29,,,,,,,,,,,,,,,No Report
39,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,40,2002-09-30,2002-10-06,,,,,,,,,,,,,,,No Report
40,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,41,2002-10-07,2002-10-13,,,,,,,,,,,,,,,No Report
41,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,42,2002-10-14,2002-10-20,,,,,,,,,,,,,,,No Report
42,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,43,2002-10-21,2002-10-27,,,,,,,,,,,,,,,No Report
43,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,44,2002-10-28,2002-11-03,,,,,,,,,,,,,,,No Report
44,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,45,2002-11-04,2002-11-10,,,,,,,,,,,,,,,No Report
45,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,46,2002-11-11,2002-11-17,,,,,,,,,,,,,,,No Report
46,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,47,2002-11-18,2002-11-24,,,,,,,,,,,,,,,No Report
47,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,48,2002-11-25,2002-12-01,,,,,,,,,,,,,,,No Report
48,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,49,2002-12-02,2002-12-08,,,,,,,,,,,,,,,No Report
49,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,50,2002-12-09,2002-12-15,,,,,,,,,,,,,,,No Report
50,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,51,2002-12-16,2002-12-22,,,,,,,,,,,,,,,No Report
51,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2002,52,2002-12-23,2002-12-29,,,,,,,,,,,,,,,No Report
52,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
53,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
54,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
55,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
56,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
57,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
58,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
59,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
60,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
61,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
62,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
63,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
64,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
65,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
66,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
67,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
68,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
69,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
70,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
71,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
72,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
73,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
74,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
75,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
76,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
77,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
78,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
79,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
80,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
81,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
82,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
83,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
84,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
85,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
86,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
87,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
88,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
89,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
90,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
91,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
92,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
93,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
94,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
95,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
96,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
97,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
98,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
99,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
100,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
101,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
102,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
103,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
104,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,1,1996-01-01,1996-01-07,,,,,,,,,,,,,,,No Report
105,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,2,1996-01-08,1996-01-14,,,,,,,,,,,,,,,No Report
106,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,3,1996-01-15,1996-01-21,,,,,,,,,,,,,,,No Report
107,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,4,1996-01-22,1996-01-28,,,,,,,,,,,,,,,No Report
108,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,5,1996-01-29,1996-02-04,,,,,,,,,,,,,,,No Report
109,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,6,1996-02-05,1996-02-11,,,,,,,,,,,,,,,No Report
110,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,7,1996-02-12,1996-02-18,,,,,,,,,,,,,,,No Report
111,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,8,1996-02-19,1996-02-25,,,,,,,,,,,,,,,No Report
112,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,9,1996-02-26,1996-03-03,,,,,,,,,,,,,,,No Report
113,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,10,1996-03-04,1996-03-10,,,,,,,,,,,,,,,No Report
114,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,11,1996-03-11,1996-03-17,,,,,,,,,,,,,,,No Report
115,Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,1996,12,1996-03-18,1996-03-24,,,,,,,,,,,,,,,No Report
