Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,1,2011-01-03,2011-01-09,13,13,0,3,0,0,0,3,0,0,0,0,3,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,2,2011-01-10,2011-01-16,17,17,0,11,0,0,0,11,0,0,0,0,11,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,3,2011-01-17,2011-01-23,60,60,0,32,0,0,21,53,0,0,0,0,53,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,4,2011-01-24,2011-01-30,50,50,0,18,0,0,19,37,0,0,0,0,37,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,5,2011-01-31,2011-02-06,52,52,0,21,0,0,13,34,0,0,0,0,34,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,6,2011-02-07,2011-02-13,79,79,0,20,0,0,9,29,0,0,0,0,29,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,7,2011-02-14,2011-02-20,115,115,0,34,0,0,15,49,0,0,0,0,49,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,8,2011-02-21,2011-02-27,72,72,0,15,0,0,7,22,0,0,0,0,22,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,9,2011-02-28,2011-03-06,46,46,0,6,0,0,10,16,0,0,0,0,16,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,10,2011-03-07,2011-03-13,30,30,0,6,0,0,12,18,0,0,0,0,18,,Local Outbreak

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,11,2011-03-14,2011-03-20,33,33,0,1,0,0,4,5,0,0,0,0,5,,Sporadic

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,12,2011-03-21,2011-03-27,20,20,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,13,2011-03-28,2011-04-03,26,26,0,2,0,0,3,5,0,0,0,0,5,,Sporadic

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,14,2011-04-04,2011-04-10,24,24,0,0,0,0,1,1,0,0,0,0,1,,Sporadic

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,15,2011-04-11,2011-04-17,27,27,0,0,0,0,1,1,0,0,0,0,1,,Sporadic

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,16,2011-04-18,2011-04-24,18,18,0,1,0,0,3,4,0,0,0,0,4,,Sporadic

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,17,2011-04-25,2011-05-01,16,16,0,0,0,0,1,1,0,0,0,0,1,,Sporadic

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,18,2011-05-02,2011-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,19,2011-05-09,2011-05-15,19,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,20,2011-05-16,2011-05-22,5,5,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,21,2011-05-23,2011-05-29,17,17,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,22,2011-05-30,2011-06-05,20,20,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,23,2011-06-06,2011-06-12,7,7,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,24,2011-06-13,2011-06-19,11,11,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,25,2011-06-20,2011-06-26,19,19,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,26,2011-06-27,2011-07-03,15,15,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,27,2011-07-04,2011-07-10,17,17,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,28,2011-07-11,2011-07-17,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,29,2011-07-18,2011-07-24,10,10,0,0,0,0,0,0,0,0,0,0,0,,No Activity

Iraq,Eastern Mediterranean Region of WHO,Western Asia,2011,30,2011-07-25,2011-07-31,24,24,0,0,0,0,0,0,0,0,0,0,0,,No Activity

