Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Ireland,European Region of WHO,Northern Europe,2020,1,2019-12-30,2020-01-05,,986,0,49,237,,1,287,0,5,43,48,335,,No Report

Ireland,European Region of WHO,Northern Europe,2020,2,2020-01-06,2020-01-12,,916,0,40,120,,0,160,1,15,44,60,220,,No Report

Ireland,European Region of WHO,Northern Europe,2020,3,2020-01-13,2020-01-19,,587,0,26,36,,0,62,0,7,31,38,100,,No Report

Ireland,European Region of WHO,Northern Europe,2020,4,2020-01-20,2020-01-26,,542,0,7,33,,1,41,0,8,40,48,89,,No Report

Ireland,European Region of WHO,Northern Europe,2020,5,2020-01-27,2020-02-02,,548,0,22,14,,2,38,0,16,66,82,120,,No Report

Ireland,European Region of WHO,Northern Europe,2020,6,2020-02-03,2020-02-09,,611,0,15,5,,2,22,0,9,47,56,78,,No Report

Ireland,European Region of WHO,Northern Europe,2020,7,2020-02-10,2020-02-16,,441,0,11,9,,2,22,0,11,43,54,76,,No Report

Ireland,European Region of WHO,Northern Europe,2020,8,2020-02-17,2020-02-23,,419,0,3,1,,0,4,0,5,43,48,52,,No Report

Ireland,European Region of WHO,Northern Europe,2020,9,2020-02-24,2020-03-01,,730,0,15,1,,2,18,0,1,75,76,94,,No Report

Ireland,European Region of WHO,Northern Europe,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report

Ireland,European Region of WHO,Northern Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report

Ireland,European Region of WHO,Northern Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report

Ireland,European Region of WHO,Northern Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report

Ireland,European Region of WHO,Northern Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report


