,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Ireland,European Region of WHO,Northern Europe,2020,1,2019-12-30,2020-01-05,,986.0,0.0,49.0,237.0,,1.0,287.0,0.0,5.0,43.0,48.0,335.0,,No Report
1,Ireland,European Region of WHO,Northern Europe,2020,2,2020-01-06,2020-01-12,,916.0,0.0,40.0,120.0,,0.0,160.0,1.0,15.0,44.0,60.0,220.0,,No Report
2,Ireland,European Region of WHO,Northern Europe,2020,3,2020-01-13,2020-01-19,,587.0,0.0,26.0,36.0,,0.0,62.0,0.0,7.0,31.0,38.0,100.0,,No Report
3,Ireland,European Region of WHO,Northern Europe,2020,4,2020-01-20,2020-01-26,,542.0,0.0,7.0,33.0,,1.0,41.0,0.0,8.0,40.0,48.0,89.0,,No Report
4,Ireland,European Region of WHO,Northern Europe,2020,5,2020-01-27,2020-02-02,,548.0,0.0,22.0,14.0,,2.0,38.0,0.0,16.0,66.0,82.0,120.0,,No Report
5,Ireland,European Region of WHO,Northern Europe,2020,6,2020-02-03,2020-02-09,,611.0,0.0,15.0,5.0,,2.0,22.0,0.0,9.0,47.0,56.0,78.0,,No Report
6,Ireland,European Region of WHO,Northern Europe,2020,7,2020-02-10,2020-02-16,,441.0,0.0,11.0,9.0,,2.0,22.0,0.0,11.0,43.0,54.0,76.0,,No Report
7,Ireland,European Region of WHO,Northern Europe,2020,8,2020-02-17,2020-02-23,,419.0,0.0,3.0,1.0,,0.0,4.0,0.0,5.0,43.0,48.0,52.0,,No Report
8,Ireland,European Region of WHO,Northern Europe,2020,9,2020-02-24,2020-03-01,,730.0,0.0,15.0,1.0,,2.0,18.0,0.0,1.0,75.0,76.0,94.0,,No Report
9,Ireland,European Region of WHO,Northern Europe,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,Ireland,European Region of WHO,Northern Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Ireland,European Region of WHO,Northern Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Ireland,European Region of WHO,Northern Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Ireland,European Region of WHO,Northern Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Ireland,European Region of WHO,Northern Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Ireland,European Region of WHO,Northern Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Ireland,European Region of WHO,Northern Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Ireland,European Region of WHO,Northern Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Ireland,European Region of WHO,Northern Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
