Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Israel,European Region of WHO,Western Asia,2012,1,2012-01-02,2012-01-08,,152,0,0,4,,13,17,0,0,1,1,18,,Local Outbreak

Israel,European Region of WHO,Western Asia,2012,2,2012-01-09,2012-01-15,,149,0,0,4,,3,7,0,0,8,8,15,,Local Outbreak

Israel,European Region of WHO,Western Asia,2012,3,2012-01-16,2012-01-22,,161,0,0,7,,4,11,0,0,11,11,22,,Local Outbreak

Israel,European Region of WHO,Western Asia,2012,4,2012-01-23,2012-01-29,,181,0,0,7,,2,9,0,0,14,14,23,,Local Outbreak

Israel,European Region of WHO,Western Asia,2012,5,2012-01-30,2012-02-05,,159,0,0,14,,3,17,0,0,15,15,32,,Local Outbreak

Israel,European Region of WHO,Western Asia,2012,6,2012-02-06,2012-02-12,,182,0,1,17,,8,26,0,0,20,20,46,,Regional Outbreak

Israel,European Region of WHO,Western Asia,2012,7,2012-02-13,2012-02-19,,165,0,1,13,,12,26,0,0,25,25,51,,Widespread Outbreak

Israel,European Region of WHO,Western Asia,2012,8,2012-02-20,2012-02-26,,159,0,1,13,,13,27,0,0,14,14,41,,Widespread Outbreak

Israel,European Region of WHO,Western Asia,2012,9,2012-02-27,2012-03-04,,140,0,6,12,,18,36,0,0,17,17,53,,Widespread Outbreak

Israel,European Region of WHO,Western Asia,2012,10,2012-03-05,2012-03-11,,157,0,3,14,,17,34,0,0,17,17,51,,Widespread Outbreak

Israel,European Region of WHO,Western Asia,2012,11,2012-03-12,2012-03-18,,148,0,4,6,,5,15,0,0,16,16,31,,Widespread Outbreak

Israel,European Region of WHO,Western Asia,2012,12,2012-03-19,2012-03-25,,162,0,7,13,,14,34,0,0,18,18,52,,Regional Outbreak

Israel,European Region of WHO,Western Asia,2012,13,2012-03-26,2012-04-01,,126,0,4,5,,11,20,0,0,16,16,36,,Regional Outbreak

Israel,European Region of WHO,Western Asia,2012,14,2012-04-02,2012-04-08,,134,0,6,1,,8,15,0,0,12,12,27,,Sporadic

Israel,European Region of WHO,Western Asia,2012,15,2012-04-09,2012-04-15,,63,0,2,0,,4,6,0,0,4,4,10,,Sporadic

Israel,European Region of WHO,Western Asia,2012,16,2012-04-16,2012-04-22,,110,0,7,0,,2,9,0,0,4,4,13,,Sporadic

Israel,European Region of WHO,Western Asia,2012,17,2012-04-23,2012-04-29,,,,,,,,,,,,,,,No Report

Israel,European Region of WHO,Western Asia,2012,18,2012-04-30,2012-05-06,,,,,,,,,,,,,,,No Report

Israel,European Region of WHO,Western Asia,2012,19,2012-05-07,2012-05-13,,,,,,,,,,,,,,,No Report

Israel,European Region of WHO,Western Asia,2012,20,2012-05-14,2012-05-20,,,,,,,,,,,,,,,No Report

