Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Italy,European Region of WHO,South West Europe,2018,1,2018-01-01,2018-01-07,462,426,0,52,28,,9,89,0,0,0,0,89,337,Local Outbreak

Italy,European Region of WHO,South West Europe,2018,2,2018-01-08,2018-01-14,1707,1707,0,256,13,,8,277,259,0,311,570,847,860,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,3,2018-01-15,2018-01-21,1540,1540,0,202,15,,8,225,224,1,230,455,680,860,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,4,2018-01-22,2018-01-28,1345,1345,0,180,13,,12,205,213,2,158,373,578,767,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,5,2018-01-29,2018-02-04,1282,1282,0,178,6,,13,197,210,0,133,343,540,742,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,6,2018-02-05,2018-02-11,1089,1089,0,149,5,,7,161,120,1,72,193,354,735,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,7,2018-02-12,2018-02-18,989,989,0,145,8,,5,158,91,,52,143,301,688,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,8,2018-02-19,2018-02-25,913,913,0,142,8,,6,156,82,1,38,121,277,636,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,9,2018-02-26,2018-03-04,724,724,0,77,6,,4,87,44,0,37,81,168,556,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,10,2018-03-05,2018-03-11,630,630,0,62,2,,3,67,30,0,21,51,118,512,Regional Outbreak

Italy,European Region of WHO,South West Europe,2018,11,2018-03-12,2018-03-18,420,420,0,46,2,,1,49,29,0,14,43,92,328,Local Outbreak

Italy,European Region of WHO,South West Europe,2018,12,2018-03-19,2018-03-25,333,333,0,25,1,,1,27,10,0,10,20,47,286,Local Outbreak

Italy,European Region of WHO,South West Europe,2018,13,2018-03-26,2018-04-01,262,262,0,12,3,,2,17,4,,5,9,26,237,Local Outbreak

Italy,European Region of WHO,South West Europe,2018,14,2018-04-02,2018-04-08,201,201,0,12,1,,,13,,,0,0,13,188,Local Outbreak

Italy,European Region of WHO,South West Europe,2018,15,2018-04-09,2018-04-15,187,187,0,5,,,2,7,,,1,1,8,179,Sporadic

Italy,European Region of WHO,South West Europe,2018,16,2018-04-16,2018-04-22,113,113,0,3,,,1,4,,,0,0,4,109,No Activity

Italy,European Region of WHO,South West Europe,2018,17,2018-04-23,2018-04-29,58,58,0,3,,,,3,,,0,0,3,55,No Activity

Italy,European Region of WHO,South West Europe,2018,18,2018-04-30,2018-05-06,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,19,2018-05-07,2018-05-13,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,20,2018-05-14,2018-05-20,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,21,2018-05-21,2018-05-27,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,22,2018-05-28,2018-06-03,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,23,2018-06-04,2018-06-10,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,24,2018-06-11,2018-06-17,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,25,2018-06-18,2018-06-24,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,26,2018-06-25,2018-07-01,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,27,2018-07-02,2018-07-08,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,28,2018-07-09,2018-07-15,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,29,2018-07-16,2018-07-22,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,30,2018-07-23,2018-07-29,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,31,2018-07-30,2018-08-05,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,32,2018-08-06,2018-08-12,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,33,2018-08-13,2018-08-19,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,34,2018-08-20,2018-08-26,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,35,2018-08-27,2018-09-02,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,36,2018-09-03,2018-09-09,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,37,2018-09-10,2018-09-16,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,38,2018-09-17,2018-09-23,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,39,2018-09-24,2018-09-30,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,40,2018-10-01,2018-10-07,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,41,2018-10-08,2018-10-14,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,42,2018-10-15,2018-10-21,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,43,2018-10-22,2018-10-28,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,44,2018-10-29,2018-11-04,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,45,2018-11-05,2018-11-11,,,,,,,,,,,,,,,No Report

Italy,European Region of WHO,South West Europe,2018,46,2018-11-12,2018-11-18,333,333,0,4,3,,,7,1,,,1,8,325,Sporadic

Italy,European Region of WHO,South West Europe,2018,47,2018-11-19,2018-11-25,392,392,0,6,13,,0,19,,,0,0,19,373,Sporadic

Italy,European Region of WHO,South West Europe,2018,48,2018-11-26,2018-12-02,461,461,0,7,11,,1,19,,,0,0,19,442,Sporadic

Italy,European Region of WHO,South West Europe,2018,49,2018-12-03,2018-12-09,488,488,0,9,9,,,18,,,0,0,18,470,Sporadic

Italy,European Region of WHO,South West Europe,2018,50,2018-12-10,2018-12-16,571,571,0,25,10,,0,35,,,0,0,35,536,Sporadic

Italy,European Region of WHO,South West Europe,2018,51,2018-12-17,2018-12-23,621,621,0,32,22,,1,55,,,0,0,55,566,Sporadic

Italy,European Region of WHO,South West Europe,2018,52,2018-12-24,2018-12-30,490,490,0,58,19,,6,83,,,0,0,83,407,Sporadic


