,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Italy,European Region of WHO,South West Europe,2020,1,2019-12-30,2020-01-05,761.0,761.0,,25.0,30.0,,5.0,60.0,,3.0,22.0,25.0,85.0,676.0,Local Outbreak
1,Italy,European Region of WHO,South West Europe,2020,2,2020-01-06,2020-01-12,932.0,932.0,,55.0,70.0,,3.0,128.0,,10.0,40.0,50.0,178.0,754.0,Regional Outbreak
2,Italy,European Region of WHO,South West Europe,2020,3,2020-01-13,2020-01-19,1372.0,12372.0,,131.0,166.0,,12.0,309.0,,40.0,105.0,145.0,454.0,918.0,Regional Outbreak
3,Italy,European Region of WHO,South West Europe,2020,4,2020-01-20,2020-01-26,1240.0,1240.0,,116.0,147.0,,19.0,282.0,,39.0,98.0,137.0,419.0,821.0,Regional Outbreak
4,Italy,European Region of WHO,South West Europe,2020,5,2020-01-27,2020-02-02,1581.0,1581.0,,148.0,191.0,,20.0,359.0,1.0,47.0,137.0,185.0,544.0,1037.0,Widespread Outbreak
5,Italy,European Region of WHO,South West Europe,2020,6,2020-02-03,2020-02-09,1519.0,1519.0,,125.0,179.0,,24.0,328.0,2.0,69.0,115.0,186.0,514.0,1005.0,Widespread Outbreak
6,Italy,European Region of WHO,South West Europe,2020,7,2020-02-10,2020-02-16,1303.0,1303.0,,118.0,193.0,,32.0,343.0,,61.0,143.0,204.0,547.0,756.0,Widespread Outbreak
7,Italy,European Region of WHO,South West Europe,2020,8,2020-02-17,2020-02-23,1139.0,1139.0,,86.0,143.0,,60.0,289.0,,30.0,124.0,154.0,443.0,696.0,Widespread Outbreak
8,Italy,European Region of WHO,South West Europe,2020,9,2020-02-24,2020-03-01,817.0,817.0,,57.0,117.0,,13.0,187.0,,18.0,73.0,91.0,278.0,539.0,Widespread Outbreak
9,Italy,European Region of WHO,South West Europe,2020,10,2020-03-02,2020-03-08,498.0,498.0,,23.0,45.0,,9.0,77.0,,3.0,31.0,34.0,111.0,387.0,Regional Outbreak
10,Italy,European Region of WHO,South West Europe,2020,11,2020-03-09,2020-03-15,239.0,228.0,,6.0,5.0,,2.0,13.0,,6.0,6.0,12.0,25.0,203.0,Regional Outbreak
11,Italy,European Region of WHO,South West Europe,2020,12,2020-03-16,2020-03-22,97.0,89.0,,,,,,0.0,,,0.0,0.0,0.0,89.0,Local Outbreak
12,Italy,European Region of WHO,South West Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Italy,European Region of WHO,South West Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Italy,European Region of WHO,South West Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Italy,European Region of WHO,South West Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Italy,European Region of WHO,South West Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Italy,European Region of WHO,South West Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Italy,European Region of WHO,South West Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Italy,European Region of WHO,South West Europe,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Italy,European Region of WHO,South West Europe,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Italy,European Region of WHO,South West Europe,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Italy,European Region of WHO,South West Europe,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Italy,European Region of WHO,South West Europe,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Italy,European Region of WHO,South West Europe,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Italy,European Region of WHO,South West Europe,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Italy,European Region of WHO,South West Europe,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Italy,European Region of WHO,South West Europe,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Italy,European Region of WHO,South West Europe,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Italy,European Region of WHO,South West Europe,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Italy,European Region of WHO,South West Europe,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Italy,European Region of WHO,South West Europe,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,Italy,European Region of WHO,South West Europe,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,Italy,European Region of WHO,South West Europe,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
34,Italy,European Region of WHO,South West Europe,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
35,Italy,European Region of WHO,South West Europe,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
36,Italy,European Region of WHO,South West Europe,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
37,Italy,European Region of WHO,South West Europe,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
38,Italy,European Region of WHO,South West Europe,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
39,Italy,European Region of WHO,South West Europe,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
40,Italy,European Region of WHO,South West Europe,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
41,Italy,European Region of WHO,South West Europe,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
42,Italy,European Region of WHO,South West Europe,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
43,Italy,European Region of WHO,South West Europe,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
44,Italy,European Region of WHO,South West Europe,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
45,Italy,European Region of WHO,South West Europe,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
46,Italy,European Region of WHO,South West Europe,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
