Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,1,2014-12-29,2015-01-04,,17,0,0,4,,0,4,1,0,0,1,5,12,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,2,2015-01-05,2015-01-11,,18,0,0,4,,0,4,1,0,0,1,5,13,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,3,2015-01-12,2015-01-18,,16,0,0,6,,0,6,1,0,0,1,7,9,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,4,2015-01-19,2015-01-25,,7,0,0,3,,0,3,1,0,0,1,4,3,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,5,2015-01-26,2015-02-01,,5,0,0,4,,0,4,0,0,0,0,4,1,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,6,2015-02-02,2015-02-08,,17,0,0,6,,0,6,0,0,0,0,6,11,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,7,2015-02-09,2015-02-15,,5,0,0,1,,0,1,0,0,0,0,1,4,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,8,2015-02-16,2015-02-22,,3,0,0,2,,0,2,0,0,0,0,2,1,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,9,2015-02-23,2015-03-01,,6,0,0,1,,0,1,2,0,0,2,3,3,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,10,2015-03-02,2015-03-08,,6,0,0,0,,0,0,0,0,0,0,0,6,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,11,2015-03-09,2015-03-15,,12,0,0,1,,0,1,0,0,0,0,1,11,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,12,2015-03-16,2015-03-22,,11,0,0,0,,0,0,0,0,0,0,0,11,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,13,2015-03-23,2015-03-29,,5,0,0,0,,0,0,0,0,0,0,0,5,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,14,2015-03-30,2015-04-05,,3,0,0,0,,0,0,0,0,0,0,0,3,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,15,2015-04-06,2015-04-12,,1,0,0,0,,0,0,0,0,0,0,0,1,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,16,2015-04-13,2015-04-19,,6,0,0,0,,0,0,1,0,0,1,1,5,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,17,2015-04-20,2015-04-26,,5,0,0,0,,0,0,0,0,0,0,0,5,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,18,2015-04-27,2015-05-03,,6,0,0,2,,0,2,0,0,0,0,2,4,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,19,2015-05-04,2015-05-10,,1,0,0,0,,0,0,0,0,0,0,0,1,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,20,2015-05-11,2015-05-17,,5,0,0,0,,0,0,0,0,0,0,0,5,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,21,2015-05-18,2015-05-24,,7,0,0,0,,0,0,0,0,0,0,0,7,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,22,2015-05-25,2015-05-31,,2,0,0,0,,0,0,0,0,0,0,0,2,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,23,2015-06-01,2015-06-07,,8,0,0,1,,0,1,0,0,0,0,1,7,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,24,2015-06-08,2015-06-14,,4,0,0,0,,0,0,0,0,0,0,0,4,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,25,2015-06-15,2015-06-21,,10,0,0,0,,0,0,0,0,0,0,0,10,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,26,2015-06-22,2015-06-28,,6,0,0,0,,0,0,0,0,0,0,0,6,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,27,2015-06-29,2015-07-05,,6,0,0,0,,0,0,0,0,0,0,0,6,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,28,2015-07-06,2015-07-12,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Jamaica,Region of the Americas of WHO,Central America and Caribbean,2015,29,2015-07-13,2015-07-19,,4,0,0,0,,0,0,0,0,0,0,0,4,No Report

