,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,1,2019-12-30,2020-01-05,,36.0,0.0,2.0,1.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,33.0,No Report
1,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,2,2020-01-06,2020-01-12,,18.0,0.0,3.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0,No Report
2,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,3,2020-01-13,2020-01-19,,10.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,1.0,1.0,3.0,7.0,No Report
3,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,4,2020-01-20,2020-01-26,,45.0,0.0,4.0,1.0,,0.0,5.0,0.0,1.0,0.0,1.0,6.0,39.0,No Report
4,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,5,2020-01-27,2020-02-02,,53.0,0.0,4.0,0.0,,0.0,4.0,0.0,9.0,0.0,9.0,13.0,40.0,No Report
5,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,6,2020-02-03,2020-02-09,,38.0,0.0,2.0,0.0,,0.0,2.0,0.0,1.0,0.0,1.0,3.0,35.0,No Report
6,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,7,2020-02-10,2020-02-16,,47.0,0.0,5.0,0.0,,0.0,5.0,0.0,3.0,0.0,3.0,8.0,39.0,No Report
7,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,8,2020-02-17,2020-02-23,,21.0,0.0,3.0,0.0,,0.0,3.0,0.0,1.0,1.0,2.0,5.0,16.0,No Report
8,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,9,2020-02-24,2020-03-01,,37.0,0.0,5.0,0.0,,0.0,5.0,0.0,0.0,1.0,1.0,6.0,31.0,No Report
9,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,10,2020-03-02,2020-03-08,,23.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,21.0,No Report
10,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,11,2020-03-09,2020-03-15,,81.0,0.0,6.0,1.0,,0.0,7.0,4.0,0.0,0.0,4.0,11.0,70.0,No Report
11,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,12,2020-03-16,2020-03-22,,76.0,0.0,0.0,1.0,,2.0,3.0,0.0,1.0,0.0,1.0,4.0,72.0,No Report
12,Jamaica,Region of the Americas of WHO,Central America and Caribbean,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
