Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Japan,Western Pacific Region of WHO,Eastern Asia,2006,1,2006-01-02,2006-01-08,,,19,,173,,0,192,,,1,1,193,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,2,2006-01-09,2006-01-15,,,40,,391,,0,431,,,2,2,433,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,3,2006-01-16,2006-01-22,,,127,,646,,0,773,,,9,9,782,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,4,2006-01-23,2006-01-29,,,105,,549,,0,654,,,11,11,665,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,5,2006-01-30,2006-02-05,,,94,,335,,0,429,,,12,12,441,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,6,2006-02-06,2006-02-12,,,91,,239,,0,330,,,9,9,339,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,7,2006-02-13,2006-02-19,,,91,,179,,0,270,,,6,6,276,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,8,2006-02-20,2006-02-26,,,108,,109,,0,217,,,14,14,231,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,9,2006-02-27,2006-03-05,,,119,,83,,0,202,,,9,9,211,,Widespread Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,10,2006-03-06,2006-03-12,,,98,,44,,0,142,,,19,19,161,,Regional Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,11,2006-03-13,2006-03-19,,,87,,31,,0,118,,,24,24,142,,Regional Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,12,2006-03-20,2006-03-26,,,48,,8,,0,56,,,11,11,67,,Regional Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,13,2006-03-27,2006-04-02,,,37,,8,,0,45,,,6,6,51,,Regional Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,14,2006-04-03,2006-04-09,,,28,,4,,0,32,,,4,4,36,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,15,2006-04-10,2006-04-16,,,25,,7,,0,32,,,12,12,44,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,16,2006-04-17,2006-04-23,,,28,,6,,0,34,,,37,37,71,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,17,2006-04-24,2006-04-30,,,16,,3,,0,19,,,36,36,55,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,18,2006-05-01,2006-05-07,,,5,,1,,0,6,,,26,26,32,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,19,2006-05-08,2006-05-14,,,3,,1,,0,4,,,34,34,38,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,20,2006-05-15,2006-05-21,,,5,,3,,0,8,,,42,42,50,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,21,2006-05-22,2006-05-28,,,2,,1,,0,3,,,55,55,58,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,22,2006-05-29,2006-06-04,,,3,,0,,0,3,,,50,50,53,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,23,2006-06-05,2006-06-11,,,1,,0,,0,1,,,36,36,37,,Local Outbreak

Japan,Western Pacific Region of WHO,Eastern Asia,2006,24,2006-06-12,2006-06-18,,,1,,0,,0,1,,,15,15,16,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,25,2006-06-19,2006-06-25,,,4,,0,,0,4,,,7,7,11,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,26,2006-06-26,2006-07-02,,,4,,0,,0,4,,,6,6,10,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,27,2006-07-03,2006-07-09,,,1,,0,,0,1,,,1,1,2,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,28,2006-07-10,2006-07-16,,,4,,0,,0,4,,,3,3,7,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,29,2006-07-17,2006-07-23,,,0,,0,,0,0,,,6,6,6,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,30,2006-07-24,2006-07-30,,,1,,0,,0,1,,,8,8,9,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,31,2006-07-31,2006-08-06,,,5,,0,,0,5,,,1,1,6,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,32,2006-08-07,2006-08-13,,,1,,0,,0,1,,,0,0,1,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,33,2006-08-14,2006-08-20,,,0,,0,,0,0,,,0,0,0,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,34,2006-08-21,2006-08-27,,,0,,0,,0,0,,,0,0,0,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,35,2006-08-28,2006-09-03,,,0,,0,,0,0,,,0,0,0,,No Report

Japan,Western Pacific Region of WHO,Eastern Asia,2006,36,2006-09-04,2006-09-10,,,0,,0,,0,0,,,2,2,2,,No Activity

Japan,Western Pacific Region of WHO,Eastern Asia,2006,37,2006-09-11,2006-09-17,,,0,,0,,0,0,,,0,0,0,,No Activity

Japan,Western Pacific Region of WHO,Eastern Asia,2006,38,2006-09-18,2006-09-24,,,0,,0,,0,0,,,3,3,3,,No Activity

Japan,Western Pacific Region of WHO,Eastern Asia,2006,39,2006-09-25,2006-10-01,,,4,,0,,0,4,,,0,0,4,,No Activity

Japan,Western Pacific Region of WHO,Eastern Asia,2006,40,2006-10-02,2006-10-08,,,0,,0,,0,0,,,0,0,0,,No Activity

Japan,Western Pacific Region of WHO,Eastern Asia,2006,41,2006-10-09,2006-10-15,,,0,,0,,0,0,,,0,0,0,,No Activity

