Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,1,2012-12-31,2013-01-06,27,27,0,4,0,0,0,4,0,1,0,1,5,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,2,2013-01-07,2013-01-13,49,49,0,7,0,0,0,7,0,2,2,4,11,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,3,2013-01-14,2013-01-20,44,44,0,16,0,0,0,16,0,2,0,2,18,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,4,2013-01-21,2013-01-27,17,17,0,9,0,0,0,9,0,4,0,4,13,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,5,2013-01-28,2013-02-03,56,56,0,4,1,0,0,5,0,4,0,4,9,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,6,2013-02-04,2013-02-10,40,40,0,2,0,0,0,2,0,2,0,2,4,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,7,2013-02-11,2013-02-17,51,51,0,2,0,0,0,2,0,2,0,2,4,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,8,2013-02-18,2013-02-24,65,65,0,2,0,0,0,2,0,4,2,6,8,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,9,2013-02-25,2013-03-03,31,31,0,6,0,0,0,6,0,1,0,1,7,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,10,2013-03-04,2013-03-10,32,32,0,0,0,0,0,0,0,5,0,5,5,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,11,2013-03-11,2013-03-17,33,33,0,0,0,0,0,0,0,6,1,7,7,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,12,2013-03-18,2013-03-24,47,47,0,1,0,0,0,1,0,6,6,12,13,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,13,2013-03-25,2013-03-31,46,46,0,2,1,0,0,3,5,2,5,12,15,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,14,2013-04-01,2013-04-07,39,39,0,1,0,0,0,1,12,0,0,12,13,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,15,2013-04-08,2013-04-14,36,36,0,3,0,0,0,3,8,0,2,10,13,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,16,2013-04-15,2013-04-21,34,34,0,0,0,0,0,0,0,0,9,9,9,,No Report

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,17,2013-04-22,2013-04-28,25,25,0,0,0,0,0,0,0,0,9,9,9,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,18,2013-04-29,2013-05-05,23,23,0,0,0,0,0,0,0,0,5,5,5,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,19,2013-05-06,2013-05-12,19,19,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,20,2013-05-13,2013-05-19,13,13,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,21,2013-05-20,2013-05-26,7,7,0,0,0,0,0,0,0,0,3,3,3,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,22,2013-05-27,2013-06-02,20,20,0,0,0,0,0,0,0,0,2,2,2,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,23,2013-06-03,2013-06-09,21,21,0,0,2,0,0,2,0,0,1,1,3,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,24,2013-06-10,2013-06-16,13,13,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,25,2013-06-17,2013-06-23,22,22,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,26,2013-06-24,2013-06-30,15,15,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,27,2013-07-01,2013-07-07,34,34,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,28,2013-07-08,2013-07-14,11,11,0,2,0,0,0,2,0,0,0,0,2,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,29,2013-07-15,2013-07-21,11,11,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,30,2013-07-22,2013-07-28,6,6,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,31,2013-07-29,2013-08-04,4,4,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,32,2013-08-05,2013-08-11,1,1,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,33,2013-08-12,2013-08-18,10,10,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,34,2013-08-19,2013-08-25,20,20,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,35,2013-08-26,2013-09-01,9,9,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,36,2013-09-02,2013-09-08,9,9,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,37,2013-09-09,2013-09-15,19,19,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,38,2013-09-16,2013-09-22,13,13,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,39,2013-09-23,2013-09-29,20,20,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,40,2013-09-30,2013-10-06,17,17,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Jordan,Eastern Mediterranean Region of WHO,Western Asia,2013,41,2013-10-07,2013-10-13,25,25,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

