,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,1,2019-12-30,2020-01-05,,,,,,,,,,,,,,,No Report
1,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,2,2020-01-06,2020-01-12,,,,,,,,,,,,,,,No Report
2,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,3,2020-01-13,2020-01-19,,,,,,,,,,,,,,,No Report
3,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,4,2020-01-20,2020-01-26,,,,,,,,,,,,,,,No Report
4,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,5,2020-01-27,2020-02-02,,,,,,,,,,,,,,,No Report
5,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,6,2020-02-03,2020-02-09,,,,,,,,,,,,,,,No Report
6,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,7,2020-02-10,2020-02-16,,,,,,,,,,,,,,,No Report
7,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,8,2020-02-17,2020-02-23,,,,,,,,,,,,,,,No Report
8,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,9,2020-02-24,2020-03-01,,,,,,,,,,,,,,,No Report
9,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
10,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Jordan,Eastern Mediterranean Region of WHO,Western Asia,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Jordan,Eastern Mediterranean Region of WHO,Western Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Jordan,Eastern Mediterranean Region of WHO,Western Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Jordan,Eastern Mediterranean Region of WHO,Western Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Jordan,Eastern Mediterranean Region of WHO,Western Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Jordan,Eastern Mediterranean Region of WHO,Western Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Jordan,Eastern Mediterranean Region of WHO,Western Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Jordan,Eastern Mediterranean Region of WHO,Western Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
