Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Kazakhstan,European Region of WHO,Central Asia,2015,1,2014-12-29,2015-01-04,,111,0,0,0,,0,0,0,0,0,0,0,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,2,2015-01-05,2015-01-11,,165,0,10,0,,0,10,0,0,0,0,10,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,3,2015-01-12,2015-01-18,,243,0,7,34,,0,41,0,0,6,6,47,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,4,2015-01-19,2015-01-25,,283,0,1,42,,0,43,0,0,10,10,53,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,5,2015-01-26,2015-02-01,,2244,0,6,55,,0,61,0,0,13,13,74,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,6,2015-02-02,2015-02-08,,271,0,0,0,,0,0,0,0,0,0,0,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,7,2015-02-09,2015-02-15,,265,0,1,47,,0,48,0,0,29,29,77,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,8,2015-02-16,2015-02-22,,278,0,0,44,,0,44,0,0,32,32,76,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,9,2015-02-23,2015-03-01,,176,0,0,42,,0,42,0,0,25,25,67,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,10,2015-03-02,2015-03-08,,179,0,0,12,,0,12,0,0,34,34,46,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,11,2015-03-09,2015-03-15,,176,0,1,9,,0,10,0,0,26,26,36,,No Report

Kazakhstan,European Region of WHO,Central Asia,2015,12,2015-03-16,2015-03-22,,337,0,2,8,,0,10,0,0,8,8,18,,No Report

