,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Kazakhstan,European Region of WHO,Central Asia,2020,1,2019-12-30,2020-01-05,,51.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,14.0,14.0,15.0,,No Report
1,Kazakhstan,European Region of WHO,Central Asia,2020,2,2020-01-06,2020-01-12,,190.0,0.0,13.0,5.0,,0.0,18.0,0.0,0.0,51.0,51.0,69.0,,No Report
2,Kazakhstan,European Region of WHO,Central Asia,2020,3,2020-01-13,2020-01-19,,201.0,0.0,30.0,3.0,,0.0,33.0,0.0,0.0,30.0,30.0,63.0,,No Report
3,Kazakhstan,European Region of WHO,Central Asia,2020,4,2020-01-20,2020-01-26,,224.0,0.0,30.0,9.0,,0.0,39.0,0.0,0.0,29.0,29.0,68.0,,No Report
4,Kazakhstan,European Region of WHO,Central Asia,2020,5,2020-01-27,2020-02-02,,356.0,0.0,81.0,11.0,,0.0,92.0,0.0,0.0,43.0,43.0,135.0,,No Report
5,Kazakhstan,European Region of WHO,Central Asia,2020,6,2020-02-03,2020-02-09,,238.0,0.0,52.0,28.0,,0.0,80.0,0.0,0.0,17.0,17.0,97.0,,No Report
6,Kazakhstan,European Region of WHO,Central Asia,2020,7,2020-02-10,2020-02-16,,144.0,0.0,16.0,24.0,,0.0,40.0,0.0,0.0,7.0,7.0,47.0,,No Report
7,Kazakhstan,European Region of WHO,Central Asia,2020,8,2020-02-17,2020-02-23,,125.0,0.0,14.0,29.0,,0.0,43.0,0.0,0.0,0.0,0.0,43.0,,No Report
8,Kazakhstan,European Region of WHO,Central Asia,2020,9,2020-02-24,2020-03-01,,92.0,0.0,1.0,14.0,,12.0,27.0,0.0,0.0,2.0,2.0,29.0,,No Report
9,Kazakhstan,European Region of WHO,Central Asia,2020,10,2020-03-02,2020-03-08,,73.0,0.0,2.0,9.0,,0.0,11.0,0.0,0.0,3.0,3.0,14.0,,No Report
10,Kazakhstan,European Region of WHO,Central Asia,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Kazakhstan,European Region of WHO,Central Asia,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Kazakhstan,European Region of WHO,Central Asia,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Kazakhstan,European Region of WHO,Central Asia,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Kazakhstan,European Region of WHO,Central Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Kazakhstan,European Region of WHO,Central Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Kazakhstan,European Region of WHO,Central Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Kazakhstan,European Region of WHO,Central Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Kazakhstan,European Region of WHO,Central Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Kazakhstan,European Region of WHO,Central Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Kazakhstan,European Region of WHO,Central Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Kazakhstan,European Region of WHO,Central Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Kazakhstan,European Region of WHO,Central Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Kazakhstan,European Region of WHO,Central Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Kazakhstan,European Region of WHO,Central Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Kazakhstan,European Region of WHO,Central Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Kazakhstan,European Region of WHO,Central Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Kazakhstan,European Region of WHO,Central Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Kazakhstan,European Region of WHO,Central Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Kazakhstan,European Region of WHO,Central Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
30,Kazakhstan,European Region of WHO,Central Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
31,Kazakhstan,European Region of WHO,Central Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
32,Kazakhstan,European Region of WHO,Central Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
33,Kazakhstan,European Region of WHO,Central Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
34,Kazakhstan,European Region of WHO,Central Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
35,Kazakhstan,European Region of WHO,Central Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
36,Kazakhstan,European Region of WHO,Central Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
37,Kazakhstan,European Region of WHO,Central Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
38,Kazakhstan,European Region of WHO,Central Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
39,Kazakhstan,European Region of WHO,Central Asia,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
40,Kazakhstan,European Region of WHO,Central Asia,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
41,Kazakhstan,European Region of WHO,Central Asia,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
