Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Kenya,African Region of WHO,Eastern Africa,2011,1,2011-01-03,2011-01-09,128,0,0,5,3,0,0,8,0,0,2,2,10,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,2,2011-01-10,2011-01-16,176,41,0,9,1,0,0,10,0,0,3,3,13,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,3,2011-01-17,2011-01-23,213,48,0,8,0,0,1,9,0,0,3,3,12,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,4,2011-01-24,2011-01-30,221,59,0,3,2,0,0,5,0,5,10,15,20,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,5,2011-01-31,2011-02-06,235,58,0,9,3,0,0,12,0,1,18,19,31,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,6,2011-02-07,2011-02-13,286,55,0,21,1,0,0,22,0,1,15,16,38,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,7,2011-02-14,2011-02-20,229,55,0,22,0,0,0,22,0,3,13,16,38,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,8,2011-02-21,2011-02-27,263,60,0,22,1,0,0,23,0,4,10,14,37,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,9,2011-02-28,2011-03-06,263,61,0,17,2,0,3,22,0,6,20,26,48,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,10,2011-03-07,2011-03-13,289,75,0,28,4,0,0,32,0,5,26,31,63,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,11,2011-03-14,2011-03-20,309,67,0,26,1,0,1,28,0,4,31,35,63,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,12,2011-03-21,2011-03-27,250,85,0,30,2,0,0,32,0,12,20,32,64,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,13,2011-03-28,2011-04-03,206,66,0,12,2,0,0,14,0,14,28,42,56,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,14,2011-04-04,2011-04-10,191,67,0,10,0,0,0,10,0,10,15,25,35,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,15,2011-04-11,2011-04-17,169,60,0,7,0,0,0,7,0,7,13,20,27,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,16,2011-04-18,2011-04-24,169,55,0,9,0,0,0,9,0,4,10,14,23,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,17,2011-04-25,2011-05-01,136,77,0,8,0,0,0,8,0,0,6,6,14,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,18,2011-05-02,2011-05-08,189,35,0,1,0,0,2,3,0,5,7,12,15,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,19,2011-05-09,2011-05-15,190,43,0,2,0,0,0,2,0,4,7,11,13,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,20,2011-05-16,2011-05-22,202,55,0,2,0,0,0,2,0,0,3,3,5,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,21,2011-05-23,2011-05-29,176,35,0,3,0,0,0,3,0,0,9,9,12,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,22,2011-05-30,2011-06-05,200,48,0,9,0,0,0,9,0,0,8,8,17,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,23,2011-06-06,2011-06-12,265,55,0,1,1,0,0,2,0,2,8,10,12,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,24,2011-06-13,2011-06-19,240,48,0,2,1,0,0,3,0,0,10,10,13,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,25,2011-06-20,2011-06-26,204,57,0,14,1,0,0,15,0,2,5,7,22,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,26,2011-06-27,2011-07-03,0,0,0,9,0,0,0,9,0,0,1,1,10,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,27,2011-07-04,2011-07-10,199,44,0,8,0,0,0,8,0,4,5,9,17,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,28,2011-07-11,2011-07-17,187,48,0,11,0,0,0,11,0,4,5,9,20,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,29,2011-07-18,2011-07-24,210,40,0,9,1,0,0,10,1,1,7,9,19,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,30,2011-07-25,2011-07-31,212,30,0,8,1,0,0,9,0,1,7,8,17,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,31,2011-08-01,2011-08-07,184,0,0,7,1,0,0,8,0,0,6,6,14,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,32,2011-08-08,2011-08-14,200,68,0,8,5,0,0,13,0,0,15,15,28,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,33,2011-08-15,2011-08-21,173,40,0,2,0,0,0,2,0,7,9,16,18,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,34,2011-08-22,2011-08-28,124,25,0,7,2,0,0,9,0,7,4,11,20,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,35,2011-08-29,2011-09-04,106,25,0,1,0,0,0,1,0,3,3,6,7,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,36,2011-09-05,2011-09-11,136,25,0,5,2,0,0,7,0,0,3,3,10,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,37,2011-09-12,2011-09-18,130,25,0,0,1,0,0,1,0,2,4,6,7,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,38,2011-09-19,2011-09-25,141,36,0,5,4,0,0,9,0,0,3,3,12,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,39,2011-09-26,2011-10-02,130,34,0,2,0,0,0,2,0,2,1,3,5,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,40,2011-10-03,2011-10-09,165,36,0,3,1,0,0,4,0,0,7,7,11,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,41,2011-10-10,2011-10-16,185,44,0,2,7,0,0,9,0,1,9,10,19,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,42,2011-10-17,2011-10-23,113,56,0,11,9,0,0,20,0,0,1,1,21,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,43,2011-10-24,2011-10-30,181,31,0,4,9,0,0,13,0,3,5,8,21,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,44,2011-10-31,2011-11-06,192,115,0,16,20,0,0,36,0,0,6,6,42,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,45,2011-11-07,2011-11-13,141,43,0,5,21,0,0,26,0,0,5,5,31,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,46,2011-11-14,2011-11-20,200,49,0,8,26,0,0,34,0,3,4,7,41,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,47,2011-11-21,2011-11-27,151,55,0,8,28,0,0,36,0,0,2,2,38,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,48,2011-11-28,2011-12-04,102,31,0,9,17,0,0,26,0,1,1,2,28,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,49,2011-12-05,2011-12-11,91,30,0,3,7,0,0,10,0,1,2,3,13,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,50,2011-12-12,2011-12-18,78,32,0,2,7,0,0,9,0,1,5,6,15,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,51,2011-12-19,2011-12-25,36,12,0,0,3,0,0,3,0,0,3,3,6,,Sporadic

Kenya,African Region of WHO,Eastern Africa,2011,52,2011-12-26,2012-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity


