Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Kenya,African Region of WHO,Eastern Africa,2018,1,2018-01-01,2018-01-07,11,11,,0,0,0,0,0,0,0,0,0,0,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,2,2018-01-08,2018-01-14,27,27,,0,0,0,0,0,0,0,1,1,1,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,3,2018-01-15,2018-01-21,42,42,,0,0,0,0,0,0,0,1,1,1,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,4,2018-01-22,2018-01-28,45,45,,1,0,0,0,1,0,0,2,2,3,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,5,2018-01-29,2018-02-04,40,40,,0,0,0,0,0,0,0,2,2,2,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,6,2018-02-05,2018-02-11,45,45,,0,0,0,0,0,0,0,1,1,1,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,7,2018-02-12,2018-02-18,44,44,,0,1,0,0,1,0,0,2,2,3,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,8,2018-02-19,2018-02-25,53,53,,5,0,0,0,5,0,0,1,1,6,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,9,2018-02-26,2018-03-04,48,48,,2,1,0,1,4,0,0,2,2,6,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,10,2018-03-05,2018-03-11,41,41,,4,0,0,0,4,0,0,1,1,5,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,11,2018-03-12,2018-03-18,48,48,,1,0,0,0,1,0,0,3,3,4,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,12,2018-03-19,2018-03-25,45,45,,4,0,0,0,4,0,0,3,3,7,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,13,2018-03-26,2018-04-01,41,41,,3,0,0,0,3,0,0,0,0,3,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,14,2018-04-02,2018-04-08,35,35,,8,0,0,2,10,0,0,0,0,10,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,15,2018-04-09,2018-04-15,44,44,,5,0,0,0,5,0,0,1,1,6,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,16,2018-04-16,2018-04-22,35,35,,3,0,0,1,4,0,0,0,0,4,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,17,2018-04-23,2018-04-29,39,39,,1,0,0,0,1,0,0,0,0,1,,No Report

Kenya,African Region of WHO,Eastern Africa,2018,18,2018-04-30,2018-05-06,26,26,,0,0,0,0,0,0,0,1,1,1,,No Report

