,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Kenya,African Region of WHO,Eastern Africa,2004,1,2003-12-29,2004-01-04,,,,,,,,,,,,,,,No Report
1,Kenya,African Region of WHO,Eastern Africa,2004,2,2004-01-05,2004-01-11,,,,,,,,,,,,,,,No Report
2,Kenya,African Region of WHO,Eastern Africa,2004,3,2004-01-12,2004-01-18,,,,,,,,,,,,,,,No Report
3,Kenya,African Region of WHO,Eastern Africa,2004,4,2004-01-19,2004-01-25,,,,,,,,,,,,,,,No Report
4,Kenya,African Region of WHO,Eastern Africa,2004,5,2004-01-26,2004-02-01,,,,,,,,,,,,,,,No Report
5,Kenya,African Region of WHO,Eastern Africa,2004,6,2004-02-02,2004-02-08,,,,,,,,,,,,,,,No Report
6,Kenya,African Region of WHO,Eastern Africa,2004,7,2004-02-09,2004-02-15,,,,,,,,,,,,,,,No Report
7,Kenya,African Region of WHO,Eastern Africa,2004,8,2004-02-16,2004-02-22,,,,,,,,,,,,,,,No Report
8,Kenya,African Region of WHO,Eastern Africa,2004,9,2004-02-23,2004-02-29,,,,,,,,,,,,,,,No Report
9,Kenya,African Region of WHO,Eastern Africa,2004,10,2004-03-01,2004-03-07,,,,,,,,,,,,,,,No Report
10,Kenya,African Region of WHO,Eastern Africa,2004,11,2004-03-08,2004-03-14,,,,,,,,,,,,,,,No Report
11,Kenya,African Region of WHO,Eastern Africa,2004,12,2004-03-15,2004-03-21,,,,,,,,,,,,,,,No Report
12,Kenya,African Region of WHO,Eastern Africa,2004,13,2004-03-22,2004-03-28,,,,,,,,,,,,,,,No Report
13,Kenya,African Region of WHO,Eastern Africa,2004,14,2004-03-29,2004-04-04,,,,,,,,,,,,,,,No Report
14,Kenya,African Region of WHO,Eastern Africa,2004,15,2004-04-05,2004-04-11,,,,,,,,,,,,,,,No Report
15,Kenya,African Region of WHO,Eastern Africa,2004,16,2004-04-12,2004-04-18,,,,,,,,,,,,,,,No Report
16,Kenya,African Region of WHO,Eastern Africa,2004,17,2004-04-19,2004-04-25,,,,,,,,,,,,,,,No Report
17,Kenya,African Region of WHO,Eastern Africa,2004,18,2004-04-26,2004-05-02,,,,,,,,,,,,,,,No Report
18,Kenya,African Region of WHO,Eastern Africa,2004,19,2004-05-03,2004-05-09,,,,,,,,,,,,,,,No Report
19,Kenya,African Region of WHO,Eastern Africa,2004,20,2004-05-10,2004-05-16,,,,,,,,,,,,,,,No Report
20,Kenya,African Region of WHO,Eastern Africa,2004,21,2004-05-17,2004-05-23,,,,,,,,,,,,,,,No Report
21,Kenya,African Region of WHO,Eastern Africa,2004,22,2004-05-24,2004-05-30,,,,,,,,,,,,,,,No Report
22,Kenya,African Region of WHO,Eastern Africa,2004,23,2004-05-31,2004-06-06,,,,,,,,,,,,,,,No Report
23,Kenya,African Region of WHO,Eastern Africa,2004,24,2004-06-07,2004-06-13,,,,,,,,,,,,,,,No Report
24,Kenya,African Region of WHO,Eastern Africa,2004,25,2004-06-14,2004-06-20,,,,,,,,,,,,,,,No Report
25,Kenya,African Region of WHO,Eastern Africa,2004,26,2004-06-21,2004-06-27,,,,,,,,,,,,,,,No Report
26,Kenya,African Region of WHO,Eastern Africa,2004,27,2004-06-28,2004-07-04,,,,,,,,,,,,,,,No Report
27,Kenya,African Region of WHO,Eastern Africa,2004,28,2004-07-05,2004-07-11,,,,,,,,,,,,,,,No Report
28,Kenya,African Region of WHO,Eastern Africa,2004,29,2004-07-12,2004-07-18,,,,,,,,,,,,,,,No Report
29,Kenya,African Region of WHO,Eastern Africa,2004,30,2004-07-19,2004-07-25,,,,,,,,,,,,,,,No Report
30,Kenya,African Region of WHO,Eastern Africa,2004,31,2004-07-26,2004-08-01,,,,,,,,,,,,,,,No Report
31,Kenya,African Region of WHO,Eastern Africa,2004,32,2004-08-02,2004-08-08,,,,,,,,,,,,,,,No Report
32,Kenya,African Region of WHO,Eastern Africa,2004,33,2004-08-09,2004-08-15,,,,,,,,,,,,,,,No Report
33,Kenya,African Region of WHO,Eastern Africa,2004,34,2004-08-16,2004-08-22,,,,,,,,,,,,,,,No Report
34,Kenya,African Region of WHO,Eastern Africa,2004,35,2004-08-23,2004-08-29,,,,,,,,,,,,,,,No Report
35,Kenya,African Region of WHO,Eastern Africa,2004,36,2004-08-30,2004-09-05,,,,,,,,,,,,,,,No Report
36,Kenya,African Region of WHO,Eastern Africa,2004,37,2004-09-06,2004-09-12,,,,,,,,,,,,,,,No Report
37,Kenya,African Region of WHO,Eastern Africa,2004,38,2004-09-13,2004-09-19,,,,,,,,,,,,,,,No Report
38,Kenya,African Region of WHO,Eastern Africa,2004,39,2004-09-20,2004-09-26,,,,,,,,,,,,,,,No Report
39,Kenya,African Region of WHO,Eastern Africa,2004,40,2004-09-27,2004-10-03,,,,,,,,,,,,,,,No Report
40,Kenya,African Region of WHO,Eastern Africa,2004,41,2004-10-04,2004-10-10,,,,,,,,,,,,,,,No Report
41,Kenya,African Region of WHO,Eastern Africa,2004,42,2004-10-11,2004-10-17,,,,,,,,,,,,,,,No Report
42,Kenya,African Region of WHO,Eastern Africa,2004,43,2004-10-18,2004-10-24,,,,,,,,,,,,,,,No Report
43,Kenya,African Region of WHO,Eastern Africa,2004,44,2004-10-25,2004-10-31,,,,,,,,,,,,,,,No Report
44,Kenya,African Region of WHO,Eastern Africa,2004,45,2004-11-01,2004-11-07,,,,,,,,,,,,,,,No Report
45,Kenya,African Region of WHO,Eastern Africa,2004,46,2004-11-08,2004-11-14,,,,,,,,,,,,,,,No Report
46,Kenya,African Region of WHO,Eastern Africa,2004,47,2004-11-15,2004-11-21,,,,,,,,,,,,,,,No Report
47,Kenya,African Region of WHO,Eastern Africa,2004,48,2004-11-22,2004-11-28,,,,,,,,,,,,,,,No Report
48,Kenya,African Region of WHO,Eastern Africa,2004,49,2004-11-29,2004-12-05,,,,,,,,,,,,,,,No Report
49,Kenya,African Region of WHO,Eastern Africa,2004,50,2004-12-06,2004-12-12,,,,,,,,,,,,,,,No Report
50,Kenya,African Region of WHO,Eastern Africa,2004,51,2004-12-13,2004-12-19,,,,,,,,,,,,,,,No Report
51,Kenya,African Region of WHO,Eastern Africa,2004,52,2004-12-20,2004-12-26,,,,,,,,,,,,,,,No Report
52,Kenya,African Region of WHO,Eastern Africa,2004,53,2004-12-27,2005-01-02,,,,,,,,,,,,,,,No Report
53,Kenya,African Region of WHO,Eastern Africa,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
54,Kenya,African Region of WHO,Eastern Africa,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
55,Kenya,African Region of WHO,Eastern Africa,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
56,Kenya,African Region of WHO,Eastern Africa,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
57,Kenya,African Region of WHO,Eastern Africa,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
58,Kenya,African Region of WHO,Eastern Africa,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
59,Kenya,African Region of WHO,Eastern Africa,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
60,Kenya,African Region of WHO,Eastern Africa,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
61,Kenya,African Region of WHO,Eastern Africa,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
62,Kenya,African Region of WHO,Eastern Africa,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
63,Kenya,African Region of WHO,Eastern Africa,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
64,Kenya,African Region of WHO,Eastern Africa,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
65,Kenya,African Region of WHO,Eastern Africa,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
66,Kenya,African Region of WHO,Eastern Africa,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
67,Kenya,African Region of WHO,Eastern Africa,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
68,Kenya,African Region of WHO,Eastern Africa,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
69,Kenya,African Region of WHO,Eastern Africa,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
70,Kenya,African Region of WHO,Eastern Africa,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
71,Kenya,African Region of WHO,Eastern Africa,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
72,Kenya,African Region of WHO,Eastern Africa,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
73,Kenya,African Region of WHO,Eastern Africa,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
74,Kenya,African Region of WHO,Eastern Africa,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
75,Kenya,African Region of WHO,Eastern Africa,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
76,Kenya,African Region of WHO,Eastern Africa,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
77,Kenya,African Region of WHO,Eastern Africa,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
78,Kenya,African Region of WHO,Eastern Africa,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
79,Kenya,African Region of WHO,Eastern Africa,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
80,Kenya,African Region of WHO,Eastern Africa,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
81,Kenya,African Region of WHO,Eastern Africa,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
82,Kenya,African Region of WHO,Eastern Africa,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
83,Kenya,African Region of WHO,Eastern Africa,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
84,Kenya,African Region of WHO,Eastern Africa,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
85,Kenya,African Region of WHO,Eastern Africa,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
86,Kenya,African Region of WHO,Eastern Africa,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
87,Kenya,African Region of WHO,Eastern Africa,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
88,Kenya,African Region of WHO,Eastern Africa,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
89,Kenya,African Region of WHO,Eastern Africa,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
90,Kenya,African Region of WHO,Eastern Africa,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
91,Kenya,African Region of WHO,Eastern Africa,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
92,Kenya,African Region of WHO,Eastern Africa,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
93,Kenya,African Region of WHO,Eastern Africa,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
94,Kenya,African Region of WHO,Eastern Africa,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
95,Kenya,African Region of WHO,Eastern Africa,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
96,Kenya,African Region of WHO,Eastern Africa,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
97,Kenya,African Region of WHO,Eastern Africa,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
98,Kenya,African Region of WHO,Eastern Africa,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
99,Kenya,African Region of WHO,Eastern Africa,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
100,Kenya,African Region of WHO,Eastern Africa,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
101,Kenya,African Region of WHO,Eastern Africa,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
102,Kenya,African Region of WHO,Eastern Africa,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
103,Kenya,African Region of WHO,Eastern Africa,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
104,Kenya,African Region of WHO,Eastern Africa,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
105,Kenya,African Region of WHO,Eastern Africa,1996,1,1996-01-01,1996-01-07,,,,,,,,,,,,,,,No Report
106,Kenya,African Region of WHO,Eastern Africa,1996,2,1996-01-08,1996-01-14,,,,,,,,,,,,,,,No Report
107,Kenya,African Region of WHO,Eastern Africa,1996,3,1996-01-15,1996-01-21,,,,,,,,,,,,,,,No Report
108,Kenya,African Region of WHO,Eastern Africa,1996,4,1996-01-22,1996-01-28,,,,,,,,,,,,,,,No Report
109,Kenya,African Region of WHO,Eastern Africa,1996,5,1996-01-29,1996-02-04,,,,,,,,,,,,,,,No Report
110,Kenya,African Region of WHO,Eastern Africa,1996,6,1996-02-05,1996-02-11,,,,,,,,,,,,,,,No Report
111,Kenya,African Region of WHO,Eastern Africa,1996,7,1996-02-12,1996-02-18,,,,,,,,,,,,,,,No Report
112,Kenya,African Region of WHO,Eastern Africa,1996,8,1996-02-19,1996-02-25,,,,,,,,,,,,,,,No Report
113,Kenya,African Region of WHO,Eastern Africa,1996,9,1996-02-26,1996-03-03,,,,,,,,,,,,,,,No Report
114,Kenya,African Region of WHO,Eastern Africa,1996,10,1996-03-04,1996-03-10,,,,,,,,,,,,,,,No Report
115,Kenya,African Region of WHO,Eastern Africa,1996,11,1996-03-11,1996-03-17,,,,,,,,,,,,,,,No Report
116,Kenya,African Region of WHO,Eastern Africa,1996,12,1996-03-18,1996-03-24,,,,,,,,,,,,,,,No Report
117,Kenya,African Region of WHO,Eastern Africa,1996,13,1996-03-25,1996-03-31,,,,,,,,,,,,,,,No Report
118,Kenya,African Region of WHO,Eastern Africa,1996,14,1996-04-01,1996-04-07,,,,,,,,,,,,,,,No Report
119,Kenya,African Region of WHO,Eastern Africa,1996,15,1996-04-08,1996-04-14,,,,,,,,,,,,,,,No Report
120,Kenya,African Region of WHO,Eastern Africa,1996,16,1996-04-15,1996-04-21,,,,,,,,,,,,,,,No Report
121,Kenya,African Region of WHO,Eastern Africa,1996,17,1996-04-22,1996-04-28,,,,,,,,,,,,,,,No Report
122,Kenya,African Region of WHO,Eastern Africa,1996,18,1996-04-29,1996-05-05,,,,,,,,,,,,,,,No Report
123,Kenya,African Region of WHO,Eastern Africa,1996,19,1996-05-06,1996-05-12,,,,,,,,,,,,,,,No Report
124,Kenya,African Region of WHO,Eastern Africa,1996,20,1996-05-13,1996-05-19,,,,,,,,,,,,,,,No Report
125,Kenya,African Region of WHO,Eastern Africa,1996,21,1996-05-20,1996-05-26,,,,,,,,,,,,,,,No Report
126,Kenya,African Region of WHO,Eastern Africa,1996,22,1996-05-27,1996-06-02,,,,,,,,,,,,,,,No Report
127,Kenya,African Region of WHO,Eastern Africa,1996,23,1996-06-03,1996-06-09,,,,,,,,,,,,,,,No Report
128,Kenya,African Region of WHO,Eastern Africa,1996,24,1996-06-10,1996-06-16,,,,,,,,,,,,,,,No Report
129,Kenya,African Region of WHO,Eastern Africa,1996,25,1996-06-17,1996-06-23,,,,,,,,,,,,,,,No Report
130,Kenya,African Region of WHO,Eastern Africa,1996,26,1996-06-24,1996-06-30,,,,,,,,,,,,,,,No Report
131,Kenya,African Region of WHO,Eastern Africa,1996,27,1996-07-01,1996-07-07,,,,,,,,,,,,,,,No Report
132,Kenya,African Region of WHO,Eastern Africa,1996,28,1996-07-08,1996-07-14,,,,,,,,,,,,,,,No Report
133,Kenya,African Region of WHO,Eastern Africa,1996,29,1996-07-15,1996-07-21,,,,,,,,,,,,,,,No Report
134,Kenya,African Region of WHO,Eastern Africa,1996,30,1996-07-22,1996-07-28,,,,,,,,,,,,,,,No Report
135,Kenya,African Region of WHO,Eastern Africa,1996,31,1996-07-29,1996-08-04,,,,,,,,,,,,,,,No Report
136,Kenya,African Region of WHO,Eastern Africa,1996,32,1996-08-05,1996-08-11,,,,,,,,,,,,,,,No Report
137,Kenya,African Region of WHO,Eastern Africa,1996,33,1996-08-12,1996-08-18,,,,,,,,,,,,,,,No Report
138,Kenya,African Region of WHO,Eastern Africa,1996,34,1996-08-19,1996-08-25,,,,,,,,,,,,,,,No Report
139,Kenya,African Region of WHO,Eastern Africa,1996,35,1996-08-26,1996-09-01,,,,,,,,,,,,,,,No Report
140,Kenya,African Region of WHO,Eastern Africa,1996,36,1996-09-02,1996-09-08,,,,,,,,,,,,,,,No Report
141,Kenya,African Region of WHO,Eastern Africa,1996,37,1996-09-09,1996-09-15,,,,,,,,,,,,,,,No Report
142,Kenya,African Region of WHO,Eastern Africa,1996,38,1996-09-16,1996-09-22,,,,,,,,,,,,,,,No Report
143,Kenya,African Region of WHO,Eastern Africa,1996,39,1996-09-23,1996-09-29,,,,,,,,,,,,,,,No Report
144,Kenya,African Region of WHO,Eastern Africa,1996,40,1996-09-30,1996-10-06,,,,,,,,,,,,,,,No Report
145,Kenya,African Region of WHO,Eastern Africa,1996,41,1996-10-07,1996-10-13,,,,,,,,,,,,,,,No Report
146,Kenya,African Region of WHO,Eastern Africa,1996,42,1996-10-14,1996-10-20,,,,,,,,,,,,,,,No Report
147,Kenya,African Region of WHO,Eastern Africa,1996,43,1996-10-21,1996-10-27,,,,,,,,,,,,,,,No Report
148,Kenya,African Region of WHO,Eastern Africa,1996,44,1996-10-28,1996-11-03,,,,,,,,,,,,,,,No Report
149,Kenya,African Region of WHO,Eastern Africa,1996,45,1996-11-04,1996-11-10,,,,,,,,,,,,,,,No Report
150,Kenya,African Region of WHO,Eastern Africa,1996,46,1996-11-11,1996-11-17,,,,,,,,,,,,,,,No Report
151,Kenya,African Region of WHO,Eastern Africa,1996,47,1996-11-18,1996-11-24,,,,,,,,,,,,,,,No Report
152,Kenya,African Region of WHO,Eastern Africa,1996,48,1996-11-25,1996-12-01,,,,,,,,,,,,,,,No Report
153,Kenya,African Region of WHO,Eastern Africa,1996,49,1996-12-02,1996-12-08,,,,,,,,,,,,,,,No Report
154,Kenya,African Region of WHO,Eastern Africa,1996,50,1996-12-09,1996-12-15,,,,,,,,,,,,,,,No Report
155,Kenya,African Region of WHO,Eastern Africa,1996,51,1996-12-16,1996-12-22,,,,,,,,,,,,,,,No Report
156,Kenya,African Region of WHO,Eastern Africa,1996,52,1996-12-23,1996-12-29,,,,,,,,,,,,,,,No Report
157,Kenya,African Region of WHO,Eastern Africa,1997,1,1996-12-30,1997-01-05,,,,,,,,,,,,,,,No Report
158,Kenya,African Region of WHO,Eastern Africa,1997,2,1997-01-06,1997-01-12,,,,,,,,,,,,,,,No Report
159,Kenya,African Region of WHO,Eastern Africa,1997,3,1997-01-13,1997-01-19,,,,,,,,,,,,,,,No Report
160,Kenya,African Region of WHO,Eastern Africa,1997,4,1997-01-20,1997-01-26,,,,,,,,,,,,,,,No Report
161,Kenya,African Region of WHO,Eastern Africa,1997,5,1997-01-27,1997-02-02,,,,,,,,,,,,,,,No Report
162,Kenya,African Region of WHO,Eastern Africa,1997,6,1997-02-03,1997-02-09,,,,,,,,,,,,,,,No Report
163,Kenya,African Region of WHO,Eastern Africa,1997,7,1997-02-10,1997-02-16,,,,,,,,,,,,,,,No Report
164,Kenya,African Region of WHO,Eastern Africa,1997,8,1997-02-17,1997-02-23,,,,,,,,,,,,,,,No Report
165,Kenya,African Region of WHO,Eastern Africa,1997,9,1997-02-24,1997-03-02,,,,,,,,,,,,,,,No Report
166,Kenya,African Region of WHO,Eastern Africa,1997,10,1997-03-03,1997-03-09,,,,,,,,,,,,,,,No Report
167,Kenya,African Region of WHO,Eastern Africa,1997,11,1997-03-10,1997-03-16,,,,,,,,,,,,,,,No Report
168,Kenya,African Region of WHO,Eastern Africa,1997,12,1997-03-17,1997-03-23,,,,,,,,,,,,,,,No Report
169,Kenya,African Region of WHO,Eastern Africa,1997,13,1997-03-24,1997-03-30,,,,,,,,,,,,,,,No Report
170,Kenya,African Region of WHO,Eastern Africa,1997,14,1997-03-31,1997-04-06,,,,,,,,,,,,,,,No Report
171,Kenya,African Region of WHO,Eastern Africa,1997,15,1997-04-07,1997-04-13,,,,,,,,,,,,,,,No Report
172,Kenya,African Region of WHO,Eastern Africa,1997,16,1997-04-14,1997-04-20,,,,,,,,,,,,,,,No Report
173,Kenya,African Region of WHO,Eastern Africa,1997,17,1997-04-21,1997-04-27,,,,,,,,,,,,,,,No Report
174,Kenya,African Region of WHO,Eastern Africa,1997,18,1997-04-28,1997-05-04,,,,,,,,,,,,,,,No Report
175,Kenya,African Region of WHO,Eastern Africa,1997,19,1997-05-05,1997-05-11,,,,,,,,,,,,,,,No Report
176,Kenya,African Region of WHO,Eastern Africa,1997,20,1997-05-12,1997-05-18,,,,,,,,,,,,,,,No Report
177,Kenya,African Region of WHO,Eastern Africa,1997,21,1997-05-19,1997-05-25,,,,,,,,,,,,,,,No Report
178,Kenya,African Region of WHO,Eastern Africa,1997,22,1997-05-26,1997-06-01,,,,,,,,,,,,,,,No Report
179,Kenya,African Region of WHO,Eastern Africa,1997,23,1997-06-02,1997-06-08,,,,,,,,,,,,,,,No Report
180,Kenya,African Region of WHO,Eastern Africa,1997,24,1997-06-09,1997-06-15,,,,,,,,,,,,,,,No Report
181,Kenya,African Region of WHO,Eastern Africa,1997,25,1997-06-16,1997-06-22,,,,,,,,,,,,,,,No Report
182,Kenya,African Region of WHO,Eastern Africa,1997,26,1997-06-23,1997-06-29,,,,,,,,,,,,,,,No Report
183,Kenya,African Region of WHO,Eastern Africa,1997,27,1997-06-30,1997-07-06,,,,,,,,,,,,,,,No Report
184,Kenya,African Region of WHO,Eastern Africa,1997,28,1997-07-07,1997-07-13,,,,,,,,,,,,,,,No Report
185,Kenya,African Region of WHO,Eastern Africa,1997,29,1997-07-14,1997-07-20,,,,,,,,,,,,,,,No Report
186,Kenya,African Region of WHO,Eastern Africa,1997,30,1997-07-21,1997-07-27,,,,,,,,,,,,,,,No Report
187,Kenya,African Region of WHO,Eastern Africa,1997,31,1997-07-28,1997-08-03,,,,,,,,,,,,,,,No Report
188,Kenya,African Region of WHO,Eastern Africa,1997,32,1997-08-04,1997-08-10,,,,,,,,,,,,,,,No Report
189,Kenya,African Region of WHO,Eastern Africa,1997,33,1997-08-11,1997-08-17,,,,,,,,,,,,,,,No Report
190,Kenya,African Region of WHO,Eastern Africa,1997,34,1997-08-18,1997-08-24,,,,,,,,,,,,,,,No Report
191,Kenya,African Region of WHO,Eastern Africa,1997,35,1997-08-25,1997-08-31,,,,,,,,,,,,,,,No Report
192,Kenya,African Region of WHO,Eastern Africa,1997,36,1997-09-01,1997-09-07,,,,,,,,,,,,,,,No Report
193,Kenya,African Region of WHO,Eastern Africa,1997,37,1997-09-08,1997-09-14,,,,,,,,,,,,,,,No Report
194,Kenya,African Region of WHO,Eastern Africa,1997,38,1997-09-15,1997-09-21,,,,,,,,,,,,,,,No Report
195,Kenya,African Region of WHO,Eastern Africa,1997,39,1997-09-22,1997-09-28,,,,,,,,,,,,,,,No Report
196,Kenya,African Region of WHO,Eastern Africa,1997,40,1997-09-29,1997-10-05,,,,,,,,,,,,,,,No Report
