Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,1,2017-01-02,2017-01-08,57,57,,7,2,0,0,9,2,7,0,9,18,39,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,2,2017-01-09,2017-01-15,90,90,,6,0,0,0,6,3,10,0,13,19,71,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,3,2017-01-16,2017-01-22,112,112,,8,0,0,0,8,1,13,1,15,23,89,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,4,2017-01-23,2017-01-29,104,104,,11,1,0,0,12,2,13,0,15,27,77,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,5,2017-01-30,2017-02-05,78,78,,4,0,0,0,4,0,6,0,6,10,68,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,6,2017-02-06,2017-02-12,68,68,,1,1,0,0,2,2,5,0,7,9,59,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,7,2017-02-13,2017-02-19,92,92,,3,1,0,0,4,1,6,0,7,11,81,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,8,2017-02-20,2017-02-26,106,106,,2,1,0,0,3,2,4,0,6,9,97,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,9,2017-02-27,2017-03-05,101,101,,4,1,0,0,5,2,4,0,6,11,90,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,10,2017-03-06,2017-03-12,70,70,,0,0,0,0,0,1,1,0,2,2,68,No Report

Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2017,11,2017-03-13,2017-03-19,73,73,,0,0,0,0,0,0,0,0,0,0,73,No Report

