,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,1,2019-12-30,2020-01-05,55.0,55.0,,3.0,7.0,0.0,0.0,10.0,0.0,3.0,0.0,3.0,13.0,42.0,No Report
1,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,2,2020-01-06,2020-01-12,48.0,48.0,,5.0,5.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,11.0,37.0,No Report
2,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,3,2020-01-13,2020-01-19,105.0,105.0,,7.0,21.0,0.0,0.0,28.0,0.0,7.0,0.0,7.0,35.0,70.0,No Report
3,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,4,2020-01-20,2020-01-26,97.0,97.0,,8.0,11.0,0.0,0.0,19.0,0.0,5.0,1.0,6.0,25.0,72.0,No Report
4,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,5,2020-01-27,2020-02-02,111.0,111.0,,8.0,7.0,0.0,0.0,15.0,0.0,2.0,0.0,2.0,17.0,94.0,No Report
5,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,6,2020-02-03,2020-02-09,79.0,79.0,,7.0,9.0,0.0,0.0,16.0,0.0,4.0,0.0,4.0,20.0,59.0,No Report
6,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,7,2020-02-10,2020-02-16,99.0,99.0,,17.0,5.0,0.0,0.0,22.0,0.0,2.0,0.0,2.0,24.0,75.0,No Report
7,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,8,2020-02-17,2020-02-23,58.0,58.0,,1.0,4.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,8.0,50.0,No Report
8,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,9,2020-02-24,2020-03-01,77.0,77.0,,11.0,2.0,0.0,0.0,13.0,0.0,2.0,0.0,2.0,15.0,62.0,No Report
9,Lao People's Democratic Republic,Western Pacific Region of WHO,South-East Asia,2020,10,2020-03-02,2020-03-08,50.0,50.0,,4.0,5.0,0.0,0.0,9.0,0.0,2.0,0.0,2.0,11.0,39.0,No Report
