Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Latvia,European Region of WHO,Northern Europe,2011,1,2011-01-03,2011-01-09,,246,0,13,0,,51,64,0,0,11,11,75,,Local Outbreak

Latvia,European Region of WHO,Northern Europe,2011,2,2011-01-10,2011-01-16,,383,0,40,0,,68,108,0,0,18,18,126,,Regional Outbreak

Latvia,European Region of WHO,Northern Europe,2011,3,2011-01-17,2011-01-23,,384,0,44,0,,119,163,0,0,34,34,197,,Widespread Outbreak

Latvia,European Region of WHO,Northern Europe,2011,4,2011-01-24,2011-01-30,,555,0,92,0,,208,300,0,0,93,93,393,,Widespread Outbreak

Latvia,European Region of WHO,Northern Europe,2011,5,2011-01-31,2011-02-06,,638,0,82,2,,113,197,0,0,172,172,369,,Widespread Outbreak

Latvia,European Region of WHO,Northern Europe,2011,6,2011-02-07,2011-02-13,,522,0,77,0,,33,110,0,0,163,163,273,,Widespread Outbreak

Latvia,European Region of WHO,Northern Europe,2011,7,2011-02-14,2011-02-20,,393,0,45,0,,21,66,0,0,105,105,171,,Widespread Outbreak

Latvia,European Region of WHO,Northern Europe,2011,8,2011-02-21,2011-02-27,,362,0,11,0,,34,45,0,0,84,84,129,,Widespread Outbreak

Latvia,European Region of WHO,Northern Europe,2011,9,2011-02-28,2011-03-06,,383,0,16,0,,16,32,0,0,104,104,136,,Regional Outbreak

Latvia,European Region of WHO,Northern Europe,2011,10,2011-03-07,2011-03-13,,357,0,17,0,,21,38,0,0,175,175,213,,Local Outbreak

Latvia,European Region of WHO,Northern Europe,2011,11,2011-03-14,2011-03-20,,325,0,15,0,,7,22,0,0,96,96,118,,Regional Outbreak

Latvia,European Region of WHO,Northern Europe,2011,12,2011-03-21,2011-03-27,,213,0,1,0,,8,9,0,0,56,56,65,,Regional Outbreak

Latvia,European Region of WHO,Northern Europe,2011,13,2011-03-28,2011-04-03,,241,0,1,3,,7,11,0,0,34,34,45,,Local Outbreak

Latvia,European Region of WHO,Northern Europe,2011,14,2011-04-04,2011-04-10,,186,0,0,2,,4,6,0,0,22,22,28,,Local Outbreak

Latvia,European Region of WHO,Northern Europe,2011,15,2011-04-11,2011-04-17,,135,0,0,2,,2,4,0,0,12,12,16,,Sporadic

Latvia,European Region of WHO,Northern Europe,2011,16,2011-04-18,2011-04-24,,185,0,0,0,,0,0,0,0,21,21,21,,Sporadic

Latvia,European Region of WHO,Northern Europe,2011,17,2011-04-25,2011-05-01,,95,0,0,0,,1,1,0,0,3,3,4,,Sporadic

Latvia,European Region of WHO,Northern Europe,2011,18,2011-05-02,2011-05-08,,90,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Latvia,European Region of WHO,Northern Europe,2011,19,2011-05-09,2011-05-15,,98,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Latvia,European Region of WHO,Northern Europe,2011,20,2011-05-16,2011-05-22,,94,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Latvia,European Region of WHO,Northern Europe,2011,21,2011-05-23,2011-05-29,,95,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,22,2011-05-30,2011-06-05,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,23,2011-06-06,2011-06-12,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,24,2011-06-13,2011-06-19,,89,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,25,2011-06-20,2011-06-26,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,26,2011-06-27,2011-07-03,,74,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,27,2011-07-04,2011-07-10,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,28,2011-07-11,2011-07-17,,58,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,29,2011-07-18,2011-07-24,,51,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,30,2011-07-25,2011-07-31,,62,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,31,2011-08-01,2011-08-07,,57,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,32,2011-08-08,2011-08-14,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,33,2011-08-15,2011-08-21,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,34,2011-08-22,2011-08-28,,46,0,0,0,,0,0,0,0,0,0,0,,No Report

Latvia,European Region of WHO,Northern Europe,2011,35,2011-08-29,2011-09-04,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,36,2011-09-05,2011-09-11,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,37,2011-09-12,2011-09-18,,81,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,38,2011-09-19,2011-09-25,,,,,,,,,,,,,,,No Report

Latvia,European Region of WHO,Northern Europe,2011,39,2011-09-26,2011-10-02,,87,0,0,0,,0,0,0,0,0,0,0,,No Report

Latvia,European Region of WHO,Northern Europe,2011,40,2011-10-03,2011-10-09,,81,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,41,2011-10-10,2011-10-16,,133,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,42,2011-10-17,2011-10-23,,101,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,43,2011-10-24,2011-10-30,,121,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,44,2011-10-31,2011-11-06,,108,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,45,2011-11-07,2011-11-13,,104,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,46,2011-11-14,2011-11-20,,101,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,47,2011-11-21,2011-11-27,,133,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,48,2011-11-28,2011-12-04,,134,0,0,0,,0,0,0,1,0,1,1,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,49,2011-12-05,2011-12-11,,117,0,0,0,,0,0,0,0,0,0,0,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,50,2011-12-12,2011-12-18,,133,0,0,0,,1,1,0,0,0,0,1,,No Activity

Latvia,European Region of WHO,Northern Europe,2011,51,2011-12-19,2011-12-25,,162,0,0,0,,0,0,0,0,1,1,1,,Sporadic

Latvia,European Region of WHO,Northern Europe,2011,52,2011-12-26,2012-01-01,,153,0,0,5,,0,5,0,0,0,0,5,,Sporadic


