Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Latvia,European Region of WHO,Northern Europe,2017,1,2017-01-02,2017-01-08,,268,0,0,0,,76,76,0,0,10,10,86,,No Report

Latvia,European Region of WHO,Northern Europe,2017,2,2017-01-09,2017-01-15,,329,0,0,38,,84,122,12,3,1,16,138,,No Report

Latvia,European Region of WHO,Northern Europe,2017,3,2017-01-16,2017-01-22,,397,0,0,10,,151,161,9,1,11,21,182,,No Report

Latvia,European Region of WHO,Northern Europe,2017,4,2017-01-23,2017-01-29,,237,0,0,50,,187,237,0,0,30,30,267,,No Report

Latvia,European Region of WHO,Northern Europe,2017,5,2017-01-30,2017-02-05,,610,0,0,0,,244,244,33,11,0,44,288,,No Report

Latvia,European Region of WHO,Northern Europe,2017,6,2017-02-06,2017-02-12,,584,0,0,68,,166,234,0,0,63,63,297,,No Report

Latvia,European Region of WHO,Northern Europe,2017,7,2017-02-13,2017-02-19,,597,0,0,67,,167,234,0,0,110,110,344,,No Report

Latvia,European Region of WHO,Northern Europe,2017,8,2017-02-20,2017-02-26,,609,0,0,0,,180,180,56,11,97,164,344,,No Report

Latvia,European Region of WHO,Northern Europe,2017,9,2017-02-27,2017-03-05,,551,0,1,40,,119,160,40,1,117,158,318,,No Report

Latvia,European Region of WHO,Northern Europe,2017,10,2017-03-06,2017-03-12,,441,0,0,0,,97,97,0,0,120,120,217,,No Report

Latvia,European Region of WHO,Northern Europe,2017,11,2017-03-13,2017-03-19,,403,0,0,0,,65,65,0,0,141,141,206,,No Report

Latvia,European Region of WHO,Northern Europe,2017,12,2017-03-20,2017-03-26,,323,0,0,0,,28,28,0,0,101,101,129,,No Report

Latvia,European Region of WHO,Northern Europe,2017,13,2017-03-27,2017-04-02,,239,0,0,0,,19,19,0,0,80,80,99,,No Report

Latvia,European Region of WHO,Northern Europe,2017,14,2017-04-03,2017-04-09,,203,0,0,0,,6,6,0,0,53,53,59,,No Report

Latvia,European Region of WHO,Northern Europe,2017,15,2017-04-10,2017-04-16,,113,0,0,0,,2,2,16,3,16,35,37,,No Report

Latvia,European Region of WHO,Northern Europe,2017,16,2017-04-17,2017-04-23,,120,0,0,0,,2,2,0,0,32,32,34,,No Report

