,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Latvia,European Region of WHO,Northern Europe,2020,1,2019-12-30,2020-01-05,,77.0,0.0,0.0,3.0,,6.0,9.0,0.0,14.0,5.0,19.0,28.0,,No Report
1,Latvia,European Region of WHO,Northern Europe,2020,2,2020-01-06,2020-01-12,,109.0,0.0,0.0,0.0,,6.0,6.0,0.0,0.0,16.0,16.0,22.0,,No Report
2,Latvia,European Region of WHO,Northern Europe,2020,3,2020-01-13,2020-01-19,,60.0,0.0,1.0,1.0,,3.0,5.0,0.0,1.0,4.0,5.0,10.0,,No Report
3,Latvia,European Region of WHO,Northern Europe,2020,4,2020-01-20,2020-01-26,,85.0,0.0,1.0,5.0,,10.0,16.0,0.0,4.0,5.0,9.0,25.0,,No Report
4,Latvia,European Region of WHO,Northern Europe,2020,5,2020-01-27,2020-02-02,,70.0,0.0,0.0,0.0,,6.0,6.0,0.0,0.0,8.0,8.0,14.0,,No Report
5,Latvia,European Region of WHO,Northern Europe,2020,6,2020-02-03,2020-02-09,,89.0,0.0,3.0,0.0,,10.0,13.0,0.0,0.0,4.0,4.0,17.0,,No Report
6,Latvia,European Region of WHO,Northern Europe,2020,7,2020-02-10,2020-02-16,,64.0,0.0,0.0,0.0,,6.0,6.0,0.0,0.0,5.0,5.0,11.0,,No Report
7,Latvia,European Region of WHO,Northern Europe,2020,8,2020-02-17,2020-02-23,,76.0,0.0,0.0,0.0,,13.0,13.0,0.0,0.0,1.0,1.0,14.0,,No Report
8,Latvia,European Region of WHO,Northern Europe,2020,9,2020-02-24,2020-03-01,,197.0,0.0,0.0,0.0,,14.0,14.0,0.0,0.0,4.0,4.0,18.0,,No Report
9,Latvia,European Region of WHO,Northern Europe,2020,10,2020-03-02,2020-03-08,,200.0,0.0,0.0,0.0,,13.0,13.0,0.0,0.0,7.0,7.0,20.0,,No Report
10,Latvia,European Region of WHO,Northern Europe,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Latvia,European Region of WHO,Northern Europe,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Latvia,European Region of WHO,Northern Europe,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Latvia,European Region of WHO,Northern Europe,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Latvia,European Region of WHO,Northern Europe,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Latvia,European Region of WHO,Northern Europe,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Latvia,European Region of WHO,Northern Europe,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Latvia,European Region of WHO,Northern Europe,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Latvia,European Region of WHO,Northern Europe,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Latvia,European Region of WHO,Northern Europe,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Latvia,European Region of WHO,Northern Europe,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Latvia,European Region of WHO,Northern Europe,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Latvia,European Region of WHO,Northern Europe,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Latvia,European Region of WHO,Northern Europe,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Latvia,European Region of WHO,Northern Europe,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Latvia,European Region of WHO,Northern Europe,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Latvia,European Region of WHO,Northern Europe,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
27,Latvia,European Region of WHO,Northern Europe,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
28,Latvia,European Region of WHO,Northern Europe,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
29,Latvia,European Region of WHO,Northern Europe,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
