Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,1,2018-01-01,2018-01-07,28,28,0,1,0,0,0,1,2,0,0,2,3,25,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,2,2018-01-08,2018-01-14,32,32,0,0,2,0,0,2,2,0,0,2,4,28,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,3,2018-01-15,2018-01-21,28,28,0,0,0,0,0,0,0,0,0,0,0,28,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,4,2018-01-22,2018-01-28,16,16,0,1,0,0,0,1,1,0,0,1,2,14,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,5,2018-01-29,2018-02-04,21,21,0,2,0,0,0,2,0,0,0,0,2,19,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,6,2018-02-05,2018-02-11,54,54,0,2,2,0,0,4,3,0,0,3,7,47,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,7,2018-02-12,2018-02-18,16,16,0,8,3,0,0,11,0,0,0,0,11,5,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,8,2018-02-19,2018-02-25,76,76,0,2,4,0,0,6,6,0,0,6,12,64,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,9,2018-02-26,2018-03-04,17,17,0,0,5,0,0,5,0,1,0,1,6,11,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,10,2018-03-05,2018-03-11,33,33,0,5,5,0,0,10,0,0,0,0,10,23,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,11,2018-03-12,2018-03-18,69,69,0,3,7,0,0,10,8,0,0,8,18,51,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,12,2018-03-19,2018-03-25,15,15,0,2,0,0,0,2,1,0,0,1,3,12,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,13,2018-03-26,2018-04-01,35,35,0,0,1,0,0,1,4,0,0,4,5,30,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,14,2018-04-02,2018-04-08,6,6,0,0,1,0,0,1,2,0,0,2,3,3,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,15,2018-04-09,2018-04-15,32,32,0,1,2,0,0,3,1,0,0,1,4,28,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,16,2018-04-16,2018-04-22,9,9,0,1,0,0,0,1,5,0,0,5,6,3,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,17,2018-04-23,2018-04-29,14,14,0,0,0,0,0,0,0,0,0,0,0,14,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,18,2018-04-30,2018-05-06,13,13,0,0,0,0,0,0,0,0,0,0,0,13,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,19,2018-05-07,2018-05-13,1,1,0,0,0,0,0,0,0,0,0,0,0,1,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,20,2018-05-14,2018-05-20,4,4,0,0,0,0,0,0,0,0,0,0,0,4,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,21,2018-05-21,2018-05-27,1,1,0,0,0,0,0,0,0,0,0,0,0,1,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,22,2018-05-28,2018-06-03,10,10,0,3,0,0,0,3,0,0,0,0,3,7,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,23,2018-06-04,2018-06-10,4,4,0,0,0,0,0,0,0,0,0,0,0,4,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,24,2018-06-11,2018-06-17,18,18,0,0,0,0,0,0,0,0,0,0,0,18,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,25,2018-06-18,2018-06-24,2,2,0,0,0,0,0,0,0,0,0,0,0,2,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,26,2018-06-25,2018-07-01,3,3,0,0,0,0,0,0,0,0,0,0,0,3,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,27,2018-07-02,2018-07-08,5,5,0,0,0,0,0,0,0,0,0,0,0,5,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,28,2018-07-09,2018-07-15,3,3,0,0,0,0,0,0,0,0,0,0,0,3,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,29,2018-07-16,2018-07-22,1,1,0,0,0,0,0,0,0,0,0,0,0,1,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,30,2018-07-23,2018-07-29,2,2,0,0,0,0,0,0,0,0,0,0,0,2,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,31,2018-07-30,2018-08-05,7,7,0,0,0,0,0,0,0,0,0,0,0,7,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,32,2018-08-06,2018-08-12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,33,2018-08-13,2018-08-19,5,5,0,0,0,0,0,0,0,0,0,0,0,4,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,34,2018-08-20,2018-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,35,2018-08-27,2018-09-02,7,7,0,0,0,0,0,0,0,0,0,0,0,7,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,36,2018-09-03,2018-09-09,6,6,0,0,1,0,0,1,0,0,0,0,1,5,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,37,2018-09-10,2018-09-16,2,2,0,0,0,0,0,0,0,0,0,0,0,2,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,38,2018-09-17,2018-09-23,3,3,0,0,0,0,0,0,0,0,0,0,0,3,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,39,2018-09-24,2018-09-30,1,1,0,0,0,0,0,0,0,0,0,0,0,1,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,40,2018-10-01,2018-10-07,4,4,0,0,0,0,0,0,0,0,0,0,0,4,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,41,2018-10-08,2018-10-14,5,5,0,0,0,0,0,0,0,0,0,0,0,5,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,42,2018-10-15,2018-10-21,13,13,0,0,0,0,0,0,0,0,0,0,0,13,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,43,2018-10-22,2018-10-28,14,14,0,0,1,0,0,1,0,0,0,0,1,13,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,44,2018-10-29,2018-11-04,11,11,0,0,0,0,0,0,0,0,0,0,0,11,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,45,2018-11-05,2018-11-11,10,10,0,0,0,0,0,0,0,0,0,0,0,10,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,46,2018-11-12,2018-11-18,10,6,0,0,0,0,0,0,0,0,0,0,0,6,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,47,2018-11-19,2018-11-25,8,4,0,0,0,0,0,0,0,0,0,0,0,3,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,48,2018-11-26,2018-12-02,23,31,0,0,1,0,0,1,0,0,0,0,1,30,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,49,2018-12-03,2018-12-09,6,6,0,0,2,0,0,2,0,0,0,0,2,4,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,50,2018-12-10,2018-12-16,24,24,0,0,4,0,0,4,0,0,0,0,4,20,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,51,2018-12-17,2018-12-23,38,38,0,7,4,0,0,11,0,0,0,0,11,28,No Report

Lebanon,Eastern Mediterranean Region of WHO,Western Asia,2018,52,2018-12-24,2018-12-30,36,36,0,3,1,0,0,4,0,0,0,0,4,32,No Report


