Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Lithuania,European Region of WHO,Northern Europe,2013,1,2012-12-31,2013-01-06,,11,0,7,0,,0,7,0,0,0,0,7,,Sporadic

Lithuania,European Region of WHO,Northern Europe,2013,2,2013-01-07,2013-01-13,,34,0,20,0,,0,20,0,0,0,0,20,,No Report

Lithuania,European Region of WHO,Northern Europe,2013,3,2013-01-14,2013-01-20,,76,0,51,5,,0,56,0,0,2,2,58,,No Report

Lithuania,European Region of WHO,Northern Europe,2013,4,2013-01-21,2013-01-27,,137,0,96,7,,16,119,0,0,12,12,131,,Local Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,5,2013-01-28,2013-02-03,,169,0,95,8,,47,150,0,0,2,2,152,,Widespread Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,6,2013-02-04,2013-02-10,,132,0,62,11,,24,97,0,0,8,8,105,,Widespread Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,7,2013-02-11,2013-02-17,,85,0,17,13,,6,36,0,0,13,13,49,,No Report

Lithuania,European Region of WHO,Northern Europe,2013,8,2013-02-18,2013-02-24,,56,0,7,11,,4,22,0,0,10,10,32,,Regional Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,9,2013-02-25,2013-03-03,,56,0,4,9,,16,29,0,0,12,12,41,,Regional Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,10,2013-03-04,2013-03-10,,42,0,0,0,,10,10,0,0,20,20,30,,Regional Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,11,2013-03-11,2013-03-17,,27,0,1,2,,2,5,0,0,16,16,21,,Regional Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,12,2013-03-18,2013-03-24,,32,0,0,6,,0,6,0,0,21,21,27,,Regional Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,13,2013-03-25,2013-03-31,,26,0,0,2,,0,2,0,0,19,19,21,,Regional Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,14,2013-04-01,2013-04-07,,16,0,0,0,,4,4,0,0,10,10,14,,Local Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,15,2013-04-08,2013-04-14,,17,0,0,0,,0,0,0,0,14,14,14,,Local Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,16,2013-04-15,2013-04-21,,13,0,0,0,,3,3,0,0,7,7,10,,Local Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,17,2013-04-22,2013-04-28,,4,0,0,0,,0,0,0,0,4,4,4,,Sporadic

Lithuania,European Region of WHO,Northern Europe,2013,18,2013-04-29,2013-05-05,,4,0,0,0,,0,0,0,0,4,4,4,,Local Outbreak

Lithuania,European Region of WHO,Northern Europe,2013,19,2013-05-06,2013-05-12,,8,0,0,0,,1,1,0,0,6,6,7,,Sporadic

Lithuania,European Region of WHO,Northern Europe,2013,20,2013-05-13,2013-05-19,,4,0,0,0,,0,0,0,0,1,1,1,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,21,2013-05-20,2013-05-26,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,22,2013-05-27,2013-06-02,,3,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,23,2013-06-03,2013-06-09,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,24,2013-06-10,2013-06-16,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,25,2013-06-17,2013-06-23,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,26,2013-06-24,2013-06-30,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,27,2013-07-01,2013-07-07,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,28,2013-07-08,2013-07-14,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,29,2013-07-15,2013-07-21,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,30,2013-07-22,2013-07-28,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,31,2013-07-29,2013-08-04,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,32,2013-08-05,2013-08-11,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,33,2013-08-12,2013-08-18,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,34,2013-08-19,2013-08-25,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,35,2013-08-26,2013-09-01,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,36,2013-09-02,2013-09-08,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,37,2013-09-09,2013-09-15,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,38,2013-09-16,2013-09-22,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,39,2013-09-23,2013-09-29,,2,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Lithuania,European Region of WHO,Northern Europe,2013,40,2013-09-30,2013-10-06,,1,0,0,0,,0,0,0,0,0,0,0,,Sporadic

Lithuania,European Region of WHO,Northern Europe,2013,41,2013-10-07,2013-10-13,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,42,2013-10-14,2013-10-20,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,43,2013-10-21,2013-10-27,,8,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,44,2013-10-28,2013-11-03,,11,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,45,2013-11-04,2013-11-10,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,46,2013-11-11,2013-11-17,,9,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,47,2013-11-18,2013-11-24,,13,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,48,2013-11-25,2013-12-01,,9,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,49,2013-12-02,2013-12-08,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,50,2013-12-09,2013-12-15,,5,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,51,2013-12-16,2013-12-22,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity

Lithuania,European Region of WHO,Northern Europe,2013,52,2013-12-23,2013-12-29,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity


