Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Luxembourg,European Region of WHO,South West Europe,2018,1,2018-01-01,2018-01-07,,37,0,8,0,,0,8,0,0,9,9,17,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,2,2018-01-08,2018-01-14,,58,0,20,4,,0,24,0,0,11,11,35,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,3,2018-01-15,2018-01-21,,96,0,41,3,,0,44,0,0,26,26,70,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,4,2018-01-22,2018-01-28,,148,0,45,6,,0,51,0,0,44,44,95,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,5,2018-01-29,2018-02-04,,170,0,46,7,,0,53,0,0,43,43,96,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,6,2018-02-05,2018-02-11,,171,0,50,2,,0,52,0,0,67,67,119,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,7,2018-02-12,2018-02-18,,146,0,37,0,,0,37,0,0,49,49,86,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,8,2018-02-19,2018-02-25,,221,0,32,3,,1,36,0,0,69,69,105,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,9,2018-02-26,2018-03-04,,185,0,56,0,,0,56,0,0,59,59,115,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,10,2018-03-05,2018-03-11,,236,0,57,7,,0,64,0,0,75,75,139,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,11,2018-03-12,2018-03-18,,219,0,36,3,,0,39,0,0,40,40,79,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,12,2018-03-19,2018-03-25,,97,0,10,4,,0,14,0,0,15,15,29,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,13,2018-03-26,2018-04-01,,46,0,8,7,,0,15,0,0,9,9,24,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,14,2018-04-02,2018-04-08,,19,0,2,1,,0,3,0,0,4,4,7,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,15,2018-04-09,2018-04-15,,7,0,0,2,,0,2,0,0,0,0,2,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,16,2018-04-16,2018-04-22,,7,0,1,1,,0,2,0,0,0,0,2,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,17,2018-04-23,2018-04-29,,3,0,1,0,,0,1,0,0,0,0,1,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,18,2018-04-30,2018-05-06,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,19,2018-05-07,2018-05-13,,4,0,0,0,,0,0,0,0,0,0,0,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,20,2018-05-14,2018-05-20,,0,0,0,0,,0,0,0,0,0,0,0,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,21,2018-05-21,2018-05-27,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,22,2018-05-28,2018-06-03,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,23,2018-06-04,2018-06-10,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,24,2018-06-11,2018-06-17,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,25,2018-06-18,2018-06-24,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,26,2018-06-25,2018-07-01,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,27,2018-07-02,2018-07-08,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,28,2018-07-09,2018-07-15,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,29,2018-07-16,2018-07-22,,,,,,,,,,,,,,,No Report

Luxembourg,European Region of WHO,South West Europe,2018,30,2018-07-23,2018-07-29,,,,,,,,,,,,,,,No Report

