Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Madagascar,African Region of WHO,Eastern Africa,2016,1,2016-01-04,2016-01-10,18,18,0,4,0,0,0,4,0,0,0,0,4,14,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,2,2016-01-11,2016-01-17,17,12,0,2,0,0,0,2,0,0,0,0,2,10,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,3,2016-01-18,2016-01-24,28,25,0,1,0,0,0,1,0,0,0,0,1,24,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,4,2016-01-25,2016-01-31,30,29,0,9,0,0,0,9,0,0,0,0,9,20,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,5,2016-02-01,2016-02-07,22,20,0,6,0,0,0,6,0,0,0,0,6,14,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,6,2016-02-08,2016-02-14,24,22,0,10,0,0,0,10,0,0,0,0,10,12,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,7,2016-02-15,2016-02-21,17,17,0,3,1,0,2,6,0,0,0,0,6,11,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,8,2016-02-22,2016-02-28,37,34,0,5,3,0,1,9,0,0,0,0,9,25,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,9,2016-02-29,2016-03-06,33,33,0,6,2,0,0,8,0,0,2,2,10,23,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,10,2016-03-07,2016-03-13,30,25,0,4,4,0,1,9,0,0,1,1,10,15,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,11,2016-03-14,2016-03-20,27,25,0,0,2,0,7,9,0,0,0,0,9,16,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,12,2016-03-21,2016-03-27,49,46,0,7,8,0,1,16,0,0,0,0,16,31,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,13,2016-03-28,2016-04-03,31,24,0,0,4,0,5,9,0,0,0,0,9,15,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,14,2016-04-04,2016-04-10,28,27,0,3,7,0,1,11,0,0,0,0,11,16,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,15,2016-04-11,2016-04-17,28,27,0,1,10,0,1,12,0,0,0,0,12,15,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,16,2016-04-18,2016-04-24,22,20,0,1,5,0,0,6,0,0,0,0,6,14,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,17,2016-04-25,2016-05-01,28,25,0,0,5,0,1,6,0,0,0,0,6,19,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,18,2016-05-02,2016-05-08,25,22,0,0,6,0,0,6,0,0,0,0,6,16,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,19,2016-05-09,2016-05-15,19,13,0,0,2,0,0,2,0,0,0,0,2,11,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,20,2016-05-16,2016-05-22,12,11,0,1,5,0,0,6,0,0,0,0,6,6,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,21,2016-05-23,2016-05-29,11,11,0,0,1,0,0,1,0,0,0,0,1,10,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,22,2016-05-30,2016-06-05,18,17,0,0,1,0,0,1,0,2,3,5,6,12,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,23,2016-06-06,2016-06-12,19,19,0,0,5,0,0,5,0,4,1,5,10,9,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,24,2016-06-13,2016-06-19,21,21,0,0,1,0,0,1,0,5,3,8,9,13,Sporadic

Madagascar,African Region of WHO,Eastern Africa,2016,25,2016-06-20,2016-06-26,17,17,0,0,0,0,0,0,0,10,2,12,12,5,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,26,2016-06-27,2016-07-03,17,17,0,0,3,0,0,3,0,10,1,11,14,3,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,27,2016-07-04,2016-07-10,28,28,0,0,0,0,0,0,0,18,3,21,21,7,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,28,2016-07-11,2016-07-17,16,15,0,0,1,0,1,2,0,9,2,11,13,2,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,29,2016-07-18,2016-07-24,17,17,0,1,0,0,0,1,0,8,2,10,11,6,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,30,2016-07-25,2016-07-31,21,21,0,1,1,0,4,6,0,10,1,11,17,7,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,31,2016-08-01,2016-08-07,21,21,0,0,0,0,0,0,0,16,1,17,17,4,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,32,2016-08-08,2016-08-14,19,19,0,0,0,0,0,0,0,15,2,17,17,2,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,33,2016-08-15,2016-08-21,12,12,0,0,0,0,0,0,0,11,0,11,11,1,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,34,2016-08-22,2016-08-28,19,19,0,0,0,0,0,0,0,12,0,12,12,7,Local Outbreak

Madagascar,African Region of WHO,Eastern Africa,2016,35,2016-08-29,2016-09-04,22,21,0,0,0,0,0,0,0,11,1,12,12,9,Local Outbreak

