Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,1,2007-01-01,2007-01-07,,13,0,0,0,0,0,0,0,0,0,0,0,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,2,2007-01-08,2007-01-14,,17,0,0,1,0,0,1,0,0,3,3,4,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,3,2007-01-15,2007-01-21,,22,0,0,0,0,1,1,0,0,0,0,1,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,4,2007-01-22,2007-01-28,,12,0,0,0,0,0,0,0,0,0,0,0,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,5,2007-01-29,2007-02-04,,14,0,0,0,0,0,0,0,0,0,0,0,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,6,2007-02-05,2007-02-11,,34,0,0,3,0,1,4,0,0,3,3,7,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,7,2007-02-12,2007-02-18,,40,0,0,0,0,1,1,0,0,1,1,2,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,8,2007-02-19,2007-02-25,,10,0,0,0,0,0,0,0,0,2,2,2,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,9,2007-02-26,2007-03-04,,48,0,0,0,0,0,0,0,0,1,1,1,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,10,2007-03-05,2007-03-11,,44,0,0,0,0,0,0,0,0,2,2,2,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,11,2007-03-12,2007-03-18,,27,0,0,0,0,0,0,1,0,0,1,1,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,12,2007-03-19,2007-03-25,,16,0,0,0,0,0,0,1,0,0,1,1,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,13,2007-03-26,2007-04-01,,21,0,0,0,0,0,0,0,0,0,0,0,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,14,2007-04-02,2007-04-08,,35,1,0,2,0,7,10,1,0,0,1,11,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,15,2007-04-09,2007-04-15,,33,1,0,0,0,0,1,0,0,0,0,1,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,16,2007-04-16,2007-04-22,,23,0,0,0,0,0,0,0,0,0,0,0,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,17,2007-04-23,2007-04-29,,26,0,0,0,0,0,0,0,0,0,0,0,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,18,2007-04-30,2007-05-06,,16,0,0,0,0,0,0,0,0,0,0,0,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,19,2007-05-07,2007-05-13,,83,2,0,1,0,11,14,7,1,2,10,24,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,20,2007-05-14,2007-05-20,,40,0,0,0,0,1,1,0,0,0,0,1,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,21,2007-05-21,2007-05-27,,30,0,0,0,0,5,5,0,0,1,1,6,,No Report

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,22,2007-05-28,2007-06-03,,67,0,0,0,0,2,2,0,0,0,0,2,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,23,2007-06-04,2007-06-10,,55,0,0,1,0,1,2,0,0,0,0,2,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,24,2007-06-11,2007-06-17,,49,0,0,0,0,2,2,0,0,0,0,2,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,25,2007-06-18,2007-06-24,,88,0,0,1,0,25,26,0,0,2,2,28,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,26,2007-06-25,2007-07-01,,65,0,0,2,0,2,4,0,0,1,1,5,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,27,2007-07-02,2007-07-08,,58,0,0,1,0,4,5,1,0,1,2,7,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,28,2007-07-09,2007-07-15,,75,0,0,0,0,1,1,0,0,2,2,3,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,29,2007-07-16,2007-07-22,,96,0,0,0,0,8,8,0,0,3,3,11,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,30,2007-07-23,2007-07-29,,140,1,0,6,0,19,26,9,7,0,16,42,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,31,2007-07-30,2007-08-05,,85,1,0,0,0,1,2,0,0,1,1,3,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,32,2007-08-06,2007-08-12,,113,2,0,0,0,4,6,0,0,2,2,8,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,33,2007-08-13,2007-08-19,,95,1,0,0,0,9,10,2,1,0,3,13,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,34,2007-08-20,2007-08-26,,76,0,0,0,0,1,1,0,0,0,0,1,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,35,2007-08-27,2007-09-02,,94,0,0,0,0,6,6,1,1,1,3,9,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2007,36,2007-09-03,2007-09-09,,110,0,0,0,0,3,3,0,0,1,1,4,,No Activity

