Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,1,2018-01-01,2018-01-07,88,88,0,3,2,,0,5,,,3,3,8,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,2,2018-01-08,2018-01-14,122,121,0,9,4,,0,13,,,4,4,17,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,3,2018-01-15,2018-01-21,100,100,0,10,3,,0,13,,,4,4,17,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,4,2018-01-22,2018-01-28,102,102,0,12,4,,0,16,,,4,4,20,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,5,2018-01-29,2018-02-04,82,82,0,6,2,,0,8,,,5,5,13,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,6,2018-02-05,2018-02-11,103,102,0,12,2,,0,14,,,14,14,28,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,7,2018-02-12,2018-02-18,88,88,0,8,0,,0,8,,,6,6,14,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,8,2018-02-19,2018-02-25,84,84,0,9,3,,0,12,,,0,0,12,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,9,2018-02-26,2018-03-04,94,94,0,8,2,,0,10,,,11,11,21,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,10,2018-03-05,2018-03-11,106,105,0,12,7,,1,20,,,11,11,31,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,11,2018-03-12,2018-03-18,95,94,0,16,1,,0,17,,,9,9,26,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,12,2018-03-19,2018-03-25,88,88,0,3,1,,0,4,,,5,5,9,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,13,2018-03-26,2018-04-01,86,86,0,5,4,,2,11,,,2,2,13,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,14,2018-04-02,2018-04-08,96,96,0,0,0,,0,0,,,7,7,7,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,15,2018-04-09,2018-04-15,66,66,0,1,0,,0,1,,,1,1,2,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,16,2018-04-16,2018-04-22,63,62,0,0,0,,0,0,,,1,1,1,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,17,2018-04-23,2018-04-29,71,70,0,5,0,,0,5,,,1,1,6,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,18,2018-04-30,2018-05-06,75,74,0,3,1,,0,4,,,7,7,11,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,19,2018-05-07,2018-05-13,52,52,0,2,0,,0,2,,,3,3,5,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,20,2018-05-14,2018-05-20,84,84,0,0,1,,0,1,,,0,0,1,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,21,2018-05-21,2018-05-27,88,88,0,0,0,,0,0,,,6,6,6,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,22,2018-05-28,2018-06-03,74,73,0,3,1,,0,4,,,2,2,6,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,23,2018-06-04,2018-06-10,90,88,0,1,1,,0,2,,,4,4,6,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,24,2018-06-11,2018-06-17,45,45,0,2,1,,0,3,,,2,2,5,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,25,2018-06-18,2018-06-24,65,65,0,1,0,,0,1,,,1,1,2,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,26,2018-06-25,2018-07-01,92,91,0,1,0,,0,1,,,2,2,3,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,27,2018-07-02,2018-07-08,81,81,0,0,0,,0,0,,,3,3,3,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,28,2018-07-09,2018-07-15,104,104,0,0,1,,0,1,,,3,3,4,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,29,2018-07-16,2018-07-22,104,103,0,0,0,,0,0,,,0,0,0,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,30,2018-07-23,2018-07-29,100,100,0,0,1,,0,1,,,4,4,5,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,31,2018-07-30,2018-08-05,94,94,0,0,1,,0,1,,,1,1,2,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,32,2018-08-06,2018-08-12,99,99,0,0,1,,0,1,,,1,1,2,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,33,2018-08-13,2018-08-19,100,100,0,0,0,,0,0,,,6,6,6,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,34,2018-08-20,2018-08-26,59,59,0,1,1,,0,2,,,0,0,2,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,35,2018-08-27,2018-09-02,68,68,0,2,2,,1,5,,,2,2,7,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,36,2018-09-03,2018-09-09,76,76,0,0,1,,0,1,,,3,3,4,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,37,2018-09-10,2018-09-16,59,59,0,0,2,,0,2,,,2,2,4,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,38,2018-09-17,2018-09-23,82,82,0,0,4,,0,4,,,1,1,5,,No Activity

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,39,2018-09-24,2018-09-30,97,97,0,0,3,,1,4,,,2,2,6,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,40,2018-10-01,2018-10-07,97,96,0,4,1,,0,5,,,3,3,8,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,41,2018-10-08,2018-10-14,105,105,0,0,2,,1,3,,,10,10,13,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,42,2018-10-15,2018-10-21,88,88,0,0,5,,0,5,,,4,4,9,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,43,2018-10-22,2018-10-28,95,95,0,2,10,,0,12,,,3,3,15,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,44,2018-10-29,2018-11-04,81,81,0,0,9,,0,9,,,3,3,12,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,45,2018-11-05,2018-11-11,82,81,0,1,3,,0,4,,,4,4,8,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,46,2018-11-12,2018-11-18,104,104,0,4,3,,1,8,,,3,3,11,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,47,2018-11-19,2018-11-25,68,68,0,1,10,,1,12,,,3,3,15,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,48,2018-11-26,2018-12-02,89,89,0,1,6,,0,7,,,10,10,17,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,49,2018-12-03,2018-12-09,94,93,0,0,4,,0,4,,,4,4,8,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,50,2018-12-10,2018-12-16,71,71,0,2,4,,0,6,,,3,3,9,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,51,2018-12-17,2018-12-23,82,82,0,0,7,,4,11,,,7,7,18,,Sporadic

Malaysia,Western Pacific Region of WHO,South-East Asia,2018,52,2018-12-24,2018-12-30,82,82,0,1,7,,0,8,,,2,2,10,,Sporadic


