,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
1,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
2,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
3,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
4,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
5,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
6,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
7,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
8,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
9,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
10,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
11,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
12,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
13,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,14,1995-04-03,1995-04-09,,,,,,,,,,,,,,,No Report
14,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,15,1995-04-10,1995-04-16,,,,,,,,,,,,,,,No Report
15,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,16,1995-04-17,1995-04-23,,,,,,,,,,,,,,,No Report
16,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,17,1995-04-24,1995-04-30,,,,,,,,,,,,,,,No Report
17,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,18,1995-05-01,1995-05-07,,,,,,,,,,,,,,,No Report
18,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,19,1995-05-08,1995-05-14,,,,,,,,,,,,,,,No Report
19,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,20,1995-05-15,1995-05-21,,,,,,,,,,,,,,,No Report
20,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,21,1995-05-22,1995-05-28,,,,,,,,,,,,,,,No Report
21,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,22,1995-05-29,1995-06-04,,,,,,,,,,,,,,,No Report
22,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,23,1995-06-05,1995-06-11,,,,,,,,,,,,,,,No Report
23,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,24,1995-06-12,1995-06-18,,,,,,,,,,,,,,,No Report
24,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,25,1995-06-19,1995-06-25,,,,,,,,,,,,,,,No Report
25,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,26,1995-06-26,1995-07-02,,,,,,,,,,,,,,,No Report
26,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,27,1995-07-03,1995-07-09,,,,,,,,,,,,,,,No Report
27,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,28,1995-07-10,1995-07-16,,,,,,,,,,,,,,,No Report
28,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,29,1995-07-17,1995-07-23,,,,,,,,,,,,,,,No Report
29,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,30,1995-07-24,1995-07-30,,,,,,,,,,,,,,,No Report
30,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,31,1995-07-31,1995-08-06,,,,,,,,,,,,,,,No Report
31,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,32,1995-08-07,1995-08-13,,,,,,,,,,,,,,,No Report
32,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,33,1995-08-14,1995-08-20,,,,,,,,,,,,,,,No Report
33,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,34,1995-08-21,1995-08-27,,,,,,,,,,,,,,,No Report
34,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,35,1995-08-28,1995-09-03,,,,,,,,,,,,,,,No Report
35,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,36,1995-09-04,1995-09-10,,,,,,,,,,,,,,,No Report
36,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,37,1995-09-11,1995-09-17,,,,,,,,,,,,,,,No Report
37,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,38,1995-09-18,1995-09-24,,,,,,,,,,,,,,,No Report
38,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,39,1995-09-25,1995-10-01,,,,,,,,,,,,,,,No Report
39,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,40,1995-10-02,1995-10-08,,,,,,,,,,,,,,,No Report
40,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,41,1995-10-09,1995-10-15,,,,,,,,,,,,,,,No Report
41,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,42,1995-10-16,1995-10-22,,,,,,,,,,,,,,,No Report
42,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,43,1995-10-23,1995-10-29,,,,,,,,,,,,,,,No Report
43,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,44,1995-10-30,1995-11-05,,,,,,,,,,,,,,,No Report
44,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,45,1995-11-06,1995-11-12,,,,,,,,,,,,,,,No Report
45,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,46,1995-11-13,1995-11-19,,,,,,,,,,,,,,,No Report
46,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,47,1995-11-20,1995-11-26,,,,,,,,,,,,,,,No Report
47,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,48,1995-11-27,1995-12-03,,,,,,,,,,,,,,,No Report
48,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,49,1995-12-04,1995-12-10,,,,,,,,,,,,,,,No Report
49,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,50,1995-12-11,1995-12-17,,,,,,,,,,,,,,,No Report
50,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,51,1995-12-18,1995-12-24,,,,,,,,,,,,,,,No Report
51,Malaysia,Western Pacific Region of WHO,South-East Asia,1995,52,1995-12-25,1995-12-31,,,,,,,,,,,,,,,No Report
52,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,1,1996-01-01,1996-01-07,,,,,,,,,,,,,,,No Report
53,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,2,1996-01-08,1996-01-14,,,,,,,,,,,,,,,No Report
54,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,3,1996-01-15,1996-01-21,,,,,,,,,,,,,,,No Report
55,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,4,1996-01-22,1996-01-28,,,,,,,,,,,,,,,No Report
56,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,5,1996-01-29,1996-02-04,,,,,,,,,,,,,,,No Report
57,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,6,1996-02-05,1996-02-11,,,,,,,,,,,,,,,No Report
58,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,7,1996-02-12,1996-02-18,,,,,,,,,,,,,,,No Report
59,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,8,1996-02-19,1996-02-25,,,,,,,,,,,,,,,No Report
60,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,9,1996-02-26,1996-03-03,,,,,,,,,,,,,,,No Report
61,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,10,1996-03-04,1996-03-10,,,,,,,,,,,,,,,No Report
62,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,11,1996-03-11,1996-03-17,,,,,,,,,,,,,,,No Report
63,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,12,1996-03-18,1996-03-24,,,,,,,,,,,,,,,No Report
64,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,13,1996-03-25,1996-03-31,,,,,,,,,,,,,,,No Report
65,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,14,1996-04-01,1996-04-07,,,,,,,,,,,,,,,No Report
66,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,15,1996-04-08,1996-04-14,,,,,,,,,,,,,,,No Report
67,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,16,1996-04-15,1996-04-21,,,,,,,,,,,,,,,No Report
68,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,17,1996-04-22,1996-04-28,,,,,,,,,,,,,,,No Report
69,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,18,1996-04-29,1996-05-05,,,,,,,,,,,,,,,No Report
70,Malaysia,Western Pacific Region of WHO,South-East Asia,1996,19,1996-05-06,1996-05-12,,,,,,,,,,,,,,,No Report
