Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Maldives,South-East Asia Region of WHO,Southern Asia,2017,1,2017-01-02,2017-01-08,16,16,,3,,,,3,,1,,1,4,12,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,2,2017-01-09,2017-01-15,15,15,,,,,,0,,1,,1,1,14,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,3,2017-01-16,2017-01-22,8,8,,,,,,0,,,0,0,0,8,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,4,2017-01-23,2017-01-29,13,13,,,,,,0,,,0,0,0,,No Report

Maldives,South-East Asia Region of WHO,Southern Asia,2017,5,2017-01-30,2017-02-05,12,12,,4,0,0,0,4,0,0,0,0,4,8,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,6,2017-02-06,2017-02-12,13,13,,3,1,0,0,4,0,0,0,0,4,9,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,7,2017-02-13,2017-02-19,46,46,,11,0,0,0,11,0,0,0,0,11,35,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,8,2017-02-20,2017-02-26,47,47,,17,4,,,21,,,1,1,22,25,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,9,2017-02-27,2017-03-05,30,30,,11,2,0,0,13,0,0,0,0,13,17,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,10,2017-03-06,2017-03-12,54,54,,29,3,0,0,32,0,0,1,1,33,21,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,11,2017-03-13,2017-03-19,159,159,,69,7,0,0,76,0,0,1,1,77,82,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,12,2017-03-20,2017-03-26,159,159,,64,7,0,0,71,0,0,0,0,71,88,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,13,2017-03-27,2017-04-02,158,158,,41,8,0,1,50,,,0,0,50,107,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,14,2017-04-03,2017-04-09,57,57,,12,2,0,0,14,,,1,1,15,38,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,15,2017-04-10,2017-04-16,27,27,,9,0,0,0,9,,,1,1,10,17,No Activity

Maldives,South-East Asia Region of WHO,Southern Asia,2017,16,2017-04-17,2017-04-23,3,3,,0,0,0,0,0,0,0,0,0,0,3,No Activity

