Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Mali,African Region of WHO,Western Africa,2019,1,2018-12-31,2019-01-06,6,6,,0,0,0,0,0,0,0,0,0,0,,No Report

Mali,African Region of WHO,Western Africa,2019,2,2019-01-07,2019-01-13,14,14,,1,1,0,0,2,0,0,0,0,2,,No Report

Mali,African Region of WHO,Western Africa,2019,3,2019-01-14,2019-01-20,33,33,,0,8,0,0,8,0,0,0,0,8,,No Report

Mali,African Region of WHO,Western Africa,2019,4,2019-01-21,2019-01-27,47,47,,1,18,0,0,19,0,0,0,0,19,,No Report

Mali,African Region of WHO,Western Africa,2019,5,2019-01-28,2019-02-03,35,35,,0,17,0,0,17,0,1,,1,18,,No Report

Mali,African Region of WHO,Western Africa,2019,6,2019-02-04,2019-02-10,44,44,,0,20,0,0,20,0,1,,1,21,,No Report

Mali,African Region of WHO,Western Africa,2019,7,2019-02-11,2019-02-17,40,40,,0,15,0,0,15,0,1,,1,16,,No Report

Mali,African Region of WHO,Western Africa,2019,8,2019-02-18,2019-02-24,22,22,,0,4,0,0,4,0,0,0,0,4,,No Report

Mali,African Region of WHO,Western Africa,2019,9,2019-02-25,2019-03-03,24,24,,0,8,0,0,8,0,0,0,0,8,,No Report

Mali,African Region of WHO,Western Africa,2019,10,2019-03-04,2019-03-10,56,56,,0,8,0,0,8,0,0,0,0,8,,No Report

Mali,African Region of WHO,Western Africa,2019,11,2019-03-11,2019-03-17,36,36,,0,3,0,0,3,0,1,,1,4,,No Report

Mali,African Region of WHO,Western Africa,2019,12,2019-03-18,2019-03-24,31,31,,0,1,0,0,1,0,0,0,0,1,,No Report

Mali,African Region of WHO,Western Africa,2019,13,2019-03-25,2019-03-31,22,22,,0,0,0,0,0,0,0,0,0,0,,No Report

Mali,African Region of WHO,Western Africa,2019,14,2019-04-01,2019-04-07,17,17,,0,0,0,0,0,0,0,0,0,0,,No Report

Mali,African Region of WHO,Western Africa,2019,15,2019-04-08,2019-04-14,37,37,,0,0,0,0,0,0,0,0,0,0,,No Report

Mali,African Region of WHO,Western Africa,2019,16,2019-04-15,2019-04-21,19,19,,0,0,0,0,0,0,0,0,0,0,,No Report

