,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Mali,African Region of WHO,Western Africa,2020,1,2019-12-30,2020-01-05,5.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No Report
1,Mali,African Region of WHO,Western Africa,2020,2,2020-01-06,2020-01-12,25.0,24.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,No Report
2,Mali,African Region of WHO,Western Africa,2020,3,2020-01-13,2020-01-19,40.0,39.0,,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,,No Report
3,Mali,African Region of WHO,Western Africa,2020,4,2020-01-20,2020-01-26,18.0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No Report
4,Mali,African Region of WHO,Western Africa,2020,5,2020-01-27,2020-02-02,48.0,34.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No Report
5,Mali,African Region of WHO,Western Africa,2020,6,2020-02-03,2020-02-09,31.0,31.0,,0.0,5.0,0.0,0.0,5.0,0.0,6.0,,6.0,11.0,,No Report
6,Mali,African Region of WHO,Western Africa,2020,7,2020-02-10,2020-02-16,42.0,42.0,,0.0,6.0,0.0,0.0,6.0,0.0,6.0,,6.0,12.0,,No Report
7,Mali,African Region of WHO,Western Africa,2020,8,2020-02-17,2020-02-23,38.0,38.0,,0.0,3.0,0.0,0.0,3.0,0.0,4.0,,4.0,7.0,,No Report
8,Mali,African Region of WHO,Western Africa,2020,9,2020-02-24,2020-03-01,44.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,2.0,,No Report
9,Mali,African Region of WHO,Western Africa,2020,10,2020-03-02,2020-03-08,,,,,,,,,,,,,,,No Report
