Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Mauritania,African Region of WHO,Western Africa,2018,1,2018-01-01,2018-01-07,4,4,0,0,1,0,0,1,,,0,0,1,,No Report

Mauritania,African Region of WHO,Western Africa,2018,2,2018-01-08,2018-01-14,2,2,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,3,2018-01-15,2018-01-21,5,5,0,1,0,0,0,1,,,0,0,1,,No Report

Mauritania,African Region of WHO,Western Africa,2018,4,2018-01-22,2018-01-28,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,5,2018-01-29,2018-02-04,3,3,,1,0,0,0,1,,,0,0,1,,No Report

Mauritania,African Region of WHO,Western Africa,2018,6,2018-02-05,2018-02-11,4,4,0,0,0,0,0,0,,,1,1,1,,No Report

Mauritania,African Region of WHO,Western Africa,2018,7,2018-02-12,2018-02-18,10,10,0,0,0,0,0,0,,,3,3,3,,No Report

Mauritania,African Region of WHO,Western Africa,2018,8,2018-02-19,2018-02-25,4,4,0,0,0,0,0,0,,,1,1,1,,No Report

Mauritania,African Region of WHO,Western Africa,2018,9,2018-02-26,2018-03-04,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,10,2018-03-05,2018-03-11,5,5,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,11,2018-03-12,2018-03-18,6,6,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,12,2018-03-19,2018-03-25,1,1,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,13,2018-03-26,2018-04-01,8,8,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,14,2018-04-02,2018-04-08,2,2,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,15,2018-04-09,2018-04-15,4,4,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,16,2018-04-16,2018-04-22,1,1,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,17,2018-04-23,2018-04-29,3,3,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,18,2018-04-30,2018-05-06,2,2,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,19,2018-05-07,2018-05-13,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,20,2018-05-14,2018-05-20,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,21,2018-05-21,2018-05-27,3,3,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,22,2018-05-28,2018-06-03,1,1,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,23,2018-06-04,2018-06-10,2,2,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,24,2018-06-11,2018-06-17,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,25,2018-06-18,2018-06-24,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,26,2018-06-25,2018-07-01,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,27,2018-07-02,2018-07-08,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,28,2018-07-09,2018-07-15,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,29,2018-07-16,2018-07-22,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,30,2018-07-23,2018-07-29,1,1,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,31,2018-07-30,2018-08-05,5,5,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,32,2018-08-06,2018-08-12,3,3,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,33,2018-08-13,2018-08-19,3,3,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,34,2018-08-20,2018-08-26,0,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,35,2018-08-27,2018-09-02,9,9,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,36,2018-09-03,2018-09-09,15,15,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,37,2018-09-10,2018-09-16,6,6,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,38,2018-09-17,2018-09-23,9,9,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,39,2018-09-24,2018-09-30,9,9,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,40,2018-10-01,2018-10-07,9,9,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,41,2018-10-08,2018-10-14,15,15,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,42,2018-10-15,2018-10-21,16,16,0,1,3,0,0,4,,,0,0,4,,No Report

Mauritania,African Region of WHO,Western Africa,2018,43,2018-10-22,2018-10-28,13,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,44,2018-10-29,2018-11-04,14,27,0,4,0,0,0,4,,,0,0,4,,No Report

Mauritania,African Region of WHO,Western Africa,2018,45,2018-11-05,2018-11-11,13,13,0,0,3,0,0,3,,,0,0,3,,No Report

Mauritania,African Region of WHO,Western Africa,2018,46,2018-11-12,2018-11-18,8,8,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,47,2018-11-19,2018-11-25,10,10,0,1,0,0,0,1,,,0,0,1,,No Report

Mauritania,African Region of WHO,Western Africa,2018,48,2018-11-26,2018-12-02,7,0,0,0,0,0,0,0,,,0,0,0,,No Report

Mauritania,African Region of WHO,Western Africa,2018,49,2018-12-03,2018-12-09,17,24,0,0,2,0,1,3,,,0,0,3,,No Report

Mauritania,African Region of WHO,Western Africa,2018,50,2018-12-10,2018-12-16,8,8,0,0,2,0,0,2,,,0,0,2,,No Report

Mauritania,African Region of WHO,Western Africa,2018,51,2018-12-17,2018-12-23,1,1,0,0,1,0,0,1,,,0,0,1,,No Report

Mauritania,African Region of WHO,Western Africa,2018,52,2018-12-24,2018-12-30,12,12,0,1,0,,0,1,,,0,0,1,,No Report


