Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Mauritius,African Region of WHO,Eastern Africa,2011,1,2011-01-03,2011-01-09,9,6,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Mauritius,African Region of WHO,Eastern Africa,2011,2,2011-01-10,2011-01-16,27,16,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,3,2011-01-17,2011-01-23,44,20,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,4,2011-01-24,2011-01-30,51,26,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,5,2011-01-31,2011-02-06,34,17,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,6,2011-02-07,2011-02-13,42,21,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,7,2011-02-14,2011-02-20,27,23,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,8,2011-02-21,2011-02-27,25,18,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,9,2011-02-28,2011-03-06,32,18,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,10,2011-03-07,2011-03-13,21,11,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,11,2011-03-14,2011-03-20,43,37,0,0,0,0,0,0,0,0,1,1,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,12,2011-03-21,2011-03-27,37,20,0,0,0,0,2,2,0,0,1,1,3,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,13,2011-03-28,2011-04-03,33,30,1,2,0,0,1,4,0,0,0,0,4,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,14,2011-04-04,2011-04-10,37,28,4,0,0,0,1,5,0,0,0,0,5,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,15,2011-04-11,2011-04-17,31,21,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,16,2011-04-18,2011-04-24,27,16,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,17,2011-04-25,2011-05-01,15,11,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,18,2011-05-02,2011-05-08,12,6,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,19,2011-05-09,2011-05-15,23,16,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,20,2011-05-16,2011-05-22,13,8,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,21,2011-05-23,2011-05-29,17,8,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,22,2011-05-30,2011-06-05,17,7,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,23,2011-06-06,2011-06-12,40,38,0,1,0,0,0,1,0,0,1,1,2,,Sporadic

Mauritius,African Region of WHO,Eastern Africa,2011,24,2011-06-13,2011-06-19,27,20,0,0,0,0,0,0,0,0,3,3,3,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,25,2011-06-20,2011-06-26,37,32,0,0,0,0,0,0,0,0,4,4,4,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,26,2011-06-27,2011-07-03,23,18,0,0,1,0,0,1,0,0,0,0,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,27,2011-07-04,2011-07-10,25,18,0,0,0,0,0,0,0,0,1,1,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,28,2011-07-11,2011-07-17,57,47,0,0,0,0,0,0,0,0,4,4,4,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,29,2011-07-18,2011-07-24,48,36,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,30,2011-07-25,2011-07-31,47,38,0,0,3,0,0,3,0,0,1,1,4,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,31,2011-08-01,2011-08-07,44,34,0,0,0,0,0,0,0,0,2,2,2,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,32,2011-08-08,2011-08-14,34,24,0,0,0,0,0,0,0,0,3,3,3,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,33,2011-08-15,2011-08-21,21,15,0,0,0,0,0,0,0,0,1,1,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,34,2011-08-22,2011-08-28,24,10,0,0,0,0,0,0,0,0,1,1,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,35,2011-08-29,2011-09-04,23,19,0,0,2,0,0,2,0,0,1,1,3,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,36,2011-09-05,2011-09-11,29,16,0,0,0,0,0,0,0,0,1,1,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,37,2011-09-12,2011-09-18,19,12,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,38,2011-09-19,2011-09-25,12,9,0,0,1,0,0,1,0,0,0,0,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,39,2011-09-26,2011-10-02,16,12,0,0,0,0,0,0,0,0,1,1,1,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,40,2011-10-03,2011-10-09,31,20,0,0,1,0,0,1,0,0,1,1,2,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,41,2011-10-10,2011-10-16,10,5,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,42,2011-10-17,2011-10-23,12,10,0,0,0,0,0,0,0,0,0,0,0,,No Report

Mauritius,African Region of WHO,Eastern Africa,2011,43,2011-10-24,2011-10-30,14,9,0,0,0,0,0,0,0,0,0,0,0,,No Report

