Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,1,2006-01-02,2006-01-08,,23,0,,0,,0,0,,,0,0,0,23,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,2,2006-01-09,2006-01-15,,65,0,,2,,,2,,,0,0,2,63,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,3,2006-01-16,2006-01-22,,60,0,,1,,2,3,,,0,0,3,57,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,4,2006-01-23,2006-01-29,,57,0,,1,,0,1,,,0,0,1,56,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,5,2006-01-30,2006-02-05,,54,0,,0,,0,0,,,1,1,1,53,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,6,2006-02-06,2006-02-12,,47,0,,0,,0,0,,,1,1,1,46,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,7,2006-02-13,2006-02-19,,65,0,,0,,0,0,,,0,0,0,65,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,8,2006-02-20,2006-02-26,,51,0,,0,,0,0,,,1,1,1,50,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,9,2006-02-27,2006-03-05,,48,0,,0,,0,0,,,1,1,1,47,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,10,2006-03-06,2006-03-12,,63,0,,0,,0,0,,,2,2,2,61,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,11,2006-03-13,2006-03-19,,58,0,,0,,0,0,,,1,1,1,57,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,12,2006-03-20,2006-03-26,,49,0,,0,,0,0,,,1,1,1,48,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,13,2006-03-27,2006-04-02,,50,0,,1,,0,1,,,2,2,3,47,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,14,2006-04-03,2006-04-09,,40,1,,0,,0,1,,,3,3,4,36,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,15,2006-04-10,2006-04-16,,8,0,,0,,0,0,,,1,1,1,7,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,16,2006-04-17,2006-04-23,,22,0,,0,,0,0,,,0,0,0,22,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,17,2006-04-24,2006-04-30,,21,0,,0,,0,0,,,0,0,0,21,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,18,2006-05-01,2006-05-07,,24,0,,0,,0,0,,,1,1,1,23,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,19,2006-05-08,2006-05-14,,47,0,,0,,0,0,,,0,0,0,47,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,20,2006-05-15,2006-05-21,,66,0,,0,,0,0,,,0,0,0,66,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,21,2006-05-22,2006-05-28,,27,0,,0,,0,0,,,0,0,0,27,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,22,2006-05-29,2006-06-04,,32,0,,0,,1,1,,,0,0,1,31,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,23,2006-06-05,2006-06-11,,59,0,,0,,0,0,,,0,0,0,59,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,24,2006-06-12,2006-06-18,,55,0,,0,,0,0,,,1,1,1,54,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,25,2006-06-19,2006-06-25,,59,0,,1,,0,1,,,0,0,1,58,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,26,2006-06-26,2006-07-02,,34,0,,0,,1,1,,,1,1,2,32,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,27,2006-07-03,2006-07-09,,28,0,,0,,0,0,,,0,0,0,28,No Activity

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,28,2006-07-10,2006-07-16,,30,0,,0,,1,1,,,0,0,1,29,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2006,29,2006-07-17,2006-07-23,,35,0,,0,,0,0,,,0,0,0,35,No Activity

