Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,1,2012-12-31,2013-01-06,,359,0,0,27,0,8,35,0,0,44,44,79,280,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,2,2013-01-07,2013-01-13,,482,0,1,67,0,13,81,0,0,42,42,123,359,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,3,2013-01-14,2013-01-20,,637,0,3,96,0,30,129,0,0,42,42,171,466,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,4,2013-01-21,2013-01-27,,659,0,2,143,0,32,177,0,0,47,47,224,435,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,5,2013-01-28,2013-02-03,,592,0,1,123,0,22,146,0,0,34,34,180,412,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,6,2013-02-04,2013-02-10,,600,0,3,112,0,2,117,0,0,23,23,140,460,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,7,2013-02-11,2013-02-17,,583,0,4,99,0,2,105,0,0,20,20,125,458,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,8,2013-02-18,2013-02-24,,469,0,1,91,0,1,93,0,0,18,18,111,358,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,9,2013-02-25,2013-03-03,,486,0,0,96,0,8,104,0,0,15,15,119,367,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,10,2013-03-04,2013-03-10,,468,0,1,120,0,2,123,0,0,27,27,150,318,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,11,2013-03-11,2013-03-17,,365,0,1,71,0,3,75,0,0,25,25,100,265,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,12,2013-03-18,2013-03-24,,271,0,2,36,0,4,42,0,0,6,6,48,223,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,13,2013-03-25,2013-03-31,,194,0,4,15,0,0,19,0,0,2,2,21,173,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,14,2013-04-01,2013-04-07,,202,0,7,13,0,0,20,0,0,3,3,23,179,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,15,2013-04-08,2013-04-14,,241,0,2,14,0,1,17,0,0,4,4,21,220,Local Outbreak

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,16,2013-04-15,2013-04-21,,211,0,2,7,0,2,11,0,0,4,4,15,196,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,17,2013-04-22,2013-04-28,,184,0,7,4,0,5,16,0,0,2,2,18,166,Sporadic

Mexico,Region of the Americas of WHO,Central America and Caribbean,2013,18,2013-04-29,2013-05-05,,191,0,3,6,0,4,13,0,0,3,3,16,175,Sporadic

