Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,1,2011-01-03,2011-01-09,175,175,0,1,15,0,0,16,0,0,0,0,16,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,2,2011-01-10,2011-01-16,155,155,0,9,16,0,0,25,0,0,0,0,25,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,3,2011-01-17,2011-01-23,288,288,0,20,27,0,0,47,0,0,0,0,47,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,4,2011-01-24,2011-01-30,180,180,0,15,11,0,0,26,0,0,0,0,26,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,5,2011-01-31,2011-02-06,65,65,0,7,0,0,0,7,0,0,0,0,7,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,6,2011-02-07,2011-02-13,167,167,0,14,0,0,0,14,0,0,0,0,14,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,7,2011-02-14,2011-02-20,189,189,0,11,2,0,0,13,0,0,0,0,13,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,8,2011-02-21,2011-02-27,175,175,0,6,0,0,0,6,0,0,0,0,6,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,9,2011-02-28,2011-03-06,150,150,0,13,0,0,0,13,0,0,4,4,17,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,10,2011-03-07,2011-03-13,132,132,0,3,0,0,0,3,0,0,0,0,3,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,11,2011-03-14,2011-03-20,114,114,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,12,2011-03-21,2011-03-27,137,137,0,0,0,0,0,0,0,0,1,1,1,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,13,2011-03-28,2011-04-03,113,113,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,14,2011-04-04,2011-04-10,95,95,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,15,2011-04-11,2011-04-17,77,77,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,16,2011-04-18,2011-04-24,80,80,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

Mongolia,Western Pacific Region of WHO,Eastern Asia,2011,17,2011-04-25,2011-05-01,63,63,0,0,0,0,0,0,0,0,0,0,0,,Sporadic

