,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,1,2019-12-30,2020-01-05,149.0,149.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,19.0,9.0,28.0,34.0,,No Report
1,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,2,2020-01-06,2020-01-12,256.0,256.0,0.0,0.0,16.0,0.0,1.0,17.0,0.0,61.0,10.0,71.0,88.0,,No Report
2,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,3,2020-01-13,2020-01-19,269.0,269.0,0.0,0.0,91.0,0.0,3.0,94.0,0.0,17.0,12.0,29.0,123.0,,No Report
3,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,4,2020-01-20,2020-01-26,392.0,392.0,0.0,4.0,141.0,0.0,54.0,199.0,0.0,7.0,8.0,15.0,214.0,,No Report
4,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,5,2020-01-27,2020-02-02,574.0,574.0,0.0,0.0,268.0,0.0,21.0,289.0,0.0,0.0,3.0,3.0,292.0,,No Report
5,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,6,2020-02-03,2020-02-09,164.0,164.0,0.0,0.0,78.0,0.0,8.0,86.0,0.0,0.0,3.0,3.0,89.0,,No Report
6,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,7,2020-02-10,2020-02-16,417.0,417.0,0.0,0.0,86.0,0.0,1.0,87.0,0.0,0.0,2.0,2.0,89.0,,No Report
7,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,8,2020-02-17,2020-02-23,200.0,200.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,,No Report
8,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,9,2020-02-24,2020-03-01,383.0,383.0,0.0,0.0,10.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,,No Report
9,Mongolia,Western Pacific Region of WHO,Eastern Asia,2020,10,2020-03-02,2020-03-08,204.0,204.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,,No Report
