Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,1,2008-12-29,2009-01-04,,103,8,,7,,,15,,2,,2,17,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,2,2009-01-05,2009-01-11,,107,6,,5,,,11,,,0,0,11,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,3,2009-01-12,2009-01-18,,102,7,,4,,,11,,,0,0,11,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,4,2009-01-19,2009-01-25,,48,,,,,,0,,1,,1,1,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,5,2009-01-26,2009-02-01,,37,3,,,,,3,,1,,1,4,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,6,2009-02-02,2009-02-08,,35,1,,,,,1,,,0,0,1,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,7,2009-02-09,2009-02-15,,28,2,,,,,2,,,0,0,2,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,8,2009-02-16,2009-02-22,,14,0,,0,,,0,,,0,0,0,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,9,2009-02-23,2009-03-01,,35,0,,0,,,0,0,0,0,0,0,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,10,2009-03-02,2009-03-08,,18,,,,,,0,,2,,2,2,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,11,2009-03-09,2009-03-15,,4,0,,0,,,0,0,0,0,0,0,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,12,2009-03-16,2009-03-22,,11,0,,0,,,0,0,0,0,0,0,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,13,2009-03-23,2009-03-29,,11,0,,0,,,0,0,0,0,0,0,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,14,2009-03-30,2009-04-05,,14,,,,,,0,,1,,1,1,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,15,2009-04-06,2009-04-12,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,16,2009-04-13,2009-04-19,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,17,2009-04-20,2009-04-26,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,18,2009-04-27,2009-05-03,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,19,2009-05-04,2009-05-10,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,20,2009-05-11,2009-05-17,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,21,2009-05-18,2009-05-24,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,22,2009-05-25,2009-05-31,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,23,2009-06-01,2009-06-07,,,,,,,,,,,,,,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,24,2009-06-08,2009-06-14,,11,,3,,,2,5,,,0,0,5,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,25,2009-06-15,2009-06-21,37,37,,6,,,1,7,,,0,0,7,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,26,2009-06-22,2009-06-28,34,34,,8,,,3,11,,,0,0,11,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,27,2009-06-29,2009-07-05,19,19,,4,,,,4,,,0,0,4,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,28,2009-07-06,2009-07-12,19,19,,1,,,,1,,,0,0,1,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,29,2009-07-13,2009-07-19,51,51,1,10,,,1,12,,,0,0,12,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,30,2009-07-20,2009-07-26,46,46,,14,,,,14,,,0,0,14,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,31,2009-07-27,2009-08-02,54,54,,21,,,,21,,,0,0,21,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,32,2009-08-03,2009-08-09,42,42,,12,,,3,15,,,0,0,15,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,33,2009-08-10,2009-08-16,43,43,,14,,,,14,,,0,0,14,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,34,2009-08-17,2009-08-23,56,56,,25,,,4,29,,,0,0,29,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,35,2009-08-24,2009-08-30,27,27,,6,,,,6,,,0,0,6,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,36,2009-08-31,2009-09-06,18,18,,,,,,0,,,0,0,0,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,37,2009-09-07,2009-09-13,18,18,,4,,,,4,,,0,0,4,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,38,2009-09-14,2009-09-20,20,20,,,,,,0,,,0,0,0,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,39,2009-09-21,2009-09-27,24,24,1,,1,,,2,,,0,0,2,,No Report

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,40,2009-09-28,2009-10-04,60,60,1,,1,,,2,4,,,4,6,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,41,2009-10-05,2009-10-11,58,58,,,,,,0,,,5,5,5,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,42,2009-10-12,2009-10-18,50,50,,1,,,,1,,,0,0,1,,Sporadic

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,43,2009-10-19,2009-10-25,143,112,,54,,,,54,,,0,0,54,,Local Outbreak

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,44,2009-10-26,2009-11-01,428,428,,162,,,,162,,,0,0,162,,Regional Outbreak

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,45,2009-11-02,2009-11-08,782,782,,87,,,,87,,,2,2,89,,Widespread Outbreak

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,46,2009-11-09,2009-11-15,339,339,,130,,,,130,,,0,0,130,,Widespread Outbreak

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,47,2009-11-16,2009-11-22,462,462,0,177,0,0,0,177,0,0,0,0,177,,Widespread Outbreak

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,48,2009-11-23,2009-11-29,386,386,0,233,0,0,0,233,0,0,0,0,233,,Widespread Outbreak

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,49,2009-11-30,2009-12-06,355,355,0,241,0,0,0,241,0,0,0,0,241,,Widespread Outbreak

Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2009,50,2009-12-07,2009-12-13,398,398,0,232,0,0,0,232,0,0,0,0,232,,Widespread Outbreak

