,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,1,2019-12-30,2020-01-05,53.0,53.0,,,1.0,,,1.0,,,4.0,4.0,5.0,48.0,Local Outbreak
1,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,2,2020-01-06,2020-01-12,114.0,114.0,,,5.0,,,5.0,,,9.0,9.0,14.0,100.0,Sporadic
2,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,3,2020-01-13,2020-01-19,73.0,73.0,,2.0,7.0,,,9.0,,,4.0,4.0,13.0,60.0,Local Outbreak
3,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,4,2020-01-20,2020-01-26,123.0,123.0,,9.0,9.0,,,18.0,,,6.0,6.0,24.0,99.0,Local Outbreak
4,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,5,2020-01-27,2020-02-02,144.0,144.0,,7.0,29.0,,,36.0,,,4.0,4.0,40.0,104.0,Local Outbreak
5,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,6,2020-02-03,2020-02-09,68.0,68.0,,5.0,16.0,,,21.0,,,1.0,1.0,22.0,46.0,Local Outbreak
6,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,7,2020-02-10,2020-02-16,46.0,46.0,,4.0,15.0,,,19.0,,,1.0,1.0,20.0,26.0,Local Outbreak
7,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,8,2020-02-17,2020-02-23,65.0,65.0,,,16.0,,,16.0,,,0.0,0.0,16.0,49.0,Local Outbreak
8,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,9,2020-02-24,2020-03-01,58.0,58.0,,4.0,20.0,,,24.0,,,1.0,1.0,25.0,33.0,Local Outbreak
9,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,10,2020-03-02,2020-03-08,20.0,20.0,,3.0,3.0,,,6.0,,,1.0,1.0,7.0,13.0,Local Outbreak
10,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
13,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,2020,14,2020-03-30,2020-04-05,,,,,,,,,,,,,,,No Report
14,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,1,1995-01-02,1995-01-08,,,,,,,,,,,,,,,No Report
15,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,2,1995-01-09,1995-01-15,,,,,,,,,,,,,,,No Report
16,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,3,1995-01-16,1995-01-22,,,,,,,,,,,,,,,No Report
17,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,4,1995-01-23,1995-01-29,,,,,,,,,,,,,,,No Report
18,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,5,1995-01-30,1995-02-05,,,,,,,,,,,,,,,No Report
19,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,6,1995-02-06,1995-02-12,,,,,,,,,,,,,,,No Report
20,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,7,1995-02-13,1995-02-19,,,,,,,,,,,,,,,No Report
21,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,8,1995-02-20,1995-02-26,,,,,,,,,,,,,,,No Report
22,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,9,1995-02-27,1995-03-05,,,,,,,,,,,,,,,No Report
23,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,10,1995-03-06,1995-03-12,,,,,,,,,,,,,,,No Report
24,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,11,1995-03-13,1995-03-19,,,,,,,,,,,,,,,No Report
25,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,12,1995-03-20,1995-03-26,,,,,,,,,,,,,,,No Report
26,Morocco,Eastern Mediterranean Region of WHO,Northern Africa,1995,13,1995-03-27,1995-04-02,,,,,,,,,,,,,,,No Report
