,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Mozambique,African Region of WHO,Eastern Africa,2020,1,2019-12-30,2020-01-05,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Local Outbreak
1,Mozambique,African Region of WHO,Eastern Africa,2020,2,2020-01-06,2020-01-12,20.0,20.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,Local Outbreak
2,Mozambique,African Region of WHO,Eastern Africa,2020,3,2020-01-13,2020-01-19,12.0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Local Outbreak
3,Mozambique,African Region of WHO,Eastern Africa,2020,4,2020-01-20,2020-01-26,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Local Outbreak
4,Mozambique,African Region of WHO,Eastern Africa,2020,5,2020-01-27,2020-02-02,8.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Local Outbreak
5,Mozambique,African Region of WHO,Eastern Africa,2020,6,2020-02-03,2020-02-09,3.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Local Outbreak
6,Mozambique,African Region of WHO,Eastern Africa,2020,7,2020-02-10,2020-02-16,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Local Outbreak
7,Mozambique,African Region of WHO,Eastern Africa,2020,8,2020-02-17,2020-02-23,25.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Local Outbreak
8,Mozambique,African Region of WHO,Eastern Africa,2020,9,2020-02-24,2020-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Local Outbreak
9,Mozambique,African Region of WHO,Eastern Africa,2020,10,2020-03-02,2020-03-08,15.0,15.0,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,12.0,Local Outbreak
10,Mozambique,African Region of WHO,Eastern Africa,2020,11,2020-03-09,2020-03-15,,,,,,,,,,,,,,,No Report
11,Mozambique,African Region of WHO,Eastern Africa,2020,12,2020-03-16,2020-03-22,,,,,,,,,,,,,,,No Report
12,Mozambique,African Region of WHO,Eastern Africa,2020,13,2020-03-23,2020-03-29,,,,,,,,,,,,,,,No Report
