Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,1,2018-12-31,2019-01-06,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,2,2019-01-07,2019-01-13,1,1,,0,0,0,0,0,0,0,0,0,0,1,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,3,2019-01-14,2019-01-20,7,7,,0,0,0,0,0,0,0,2,2,2,5,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,4,2019-01-21,2019-01-27,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,5,2019-01-28,2019-02-03,8,8,,0,0,0,0,0,0,0,0,0,0,8,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,6,2019-02-04,2019-02-10,19,19,,1,0,0,0,1,0,0,3,3,4,15,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,7,2019-02-11,2019-02-17,2,2,,0,0,0,0,0,0,0,0,0,0,2,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,8,2019-02-18,2019-02-24,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,9,2019-02-25,2019-03-03,6,6,,1,0,0,0,1,0,0,1,1,2,4,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,10,2019-03-04,2019-03-10,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,11,2019-03-11,2019-03-17,1,1,,0,0,0,0,0,0,0,0,0,0,1,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,12,2019-03-18,2019-03-24,3,3,,0,0,0,0,0,0,0,0,0,0,3,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,13,2019-03-25,2019-03-31,7,7,,0,0,0,0,0,0,0,0,0,0,7,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,14,2019-04-01,2019-04-07,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,15,2019-04-08,2019-04-14,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,16,2019-04-15,2019-04-21,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,17,2019-04-22,2019-04-28,6,6,,0,0,0,0,0,0,0,0,0,0,5,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,18,2019-04-29,2019-05-05,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,19,2019-05-06,2019-05-12,1,1,,0,0,0,0,0,0,0,0,0,0,1,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,20,2019-05-13,2019-05-19,1,1,,0,0,0,0,0,0,0,0,0,0,1,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,21,2019-05-20,2019-05-26,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,22,2019-05-27,2019-06-02,8,8,,1,0,0,0,1,0,0,0,0,1,7,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,23,2019-06-03,2019-06-09,10,10,,0,0,0,0,0,0,0,0,0,0,10,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,24,2019-06-10,2019-06-16,22,22,,6,0,0,0,6,0,0,0,0,6,16,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,25,2019-06-17,2019-06-23,67,67,,16,1,0,0,17,0,0,1,1,18,49,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,26,2019-06-24,2019-06-30,174,174,,70,7,0,0,77,0,0,3,3,80,94,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,27,2019-07-01,2019-07-07,146,146,,50,9,0,0,59,0,0,1,1,60,86,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,28,2019-07-08,2019-07-14,170,170,,83,4,0,0,87,0,0,6,6,93,77,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,29,2019-07-15,2019-07-21,175,175,,84,4,0,0,88,0,0,2,2,90,85,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,30,2019-07-22,2019-07-28,150,150,,51,1,0,0,52,0,0,5,5,57,93,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,31,2019-07-29,2019-08-04,145,145,,53,1,0,0,54,0,0,5,5,59,86,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,32,2019-08-05,2019-08-11,123,123,,33,14,0,0,47,0,0,2,2,49,74,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,33,2019-08-12,2019-08-18,84,84,,25,5,0,0,30,0,0,6,6,36,48,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,34,2019-08-19,2019-08-25,106,106,,32,3,0,0,35,0,0,15,15,50,56,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,35,2019-08-26,2019-09-01,106,106,,37,2,0,0,39,0,0,14,14,53,53,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,36,2019-09-02,2019-09-08,85,85,,11,4,0,0,15,0,0,25,25,40,45,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,37,2019-09-09,2019-09-15,77,77,,10,6,0,0,16,0,0,13,13,29,48,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,38,2019-09-16,2019-09-22,83,83,,9,1,0,0,10,0,0,9,9,19,64,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,39,2019-09-23,2019-09-29,57,57,,3,1,0,0,4,0,0,16,16,20,37,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,40,2019-09-30,2019-10-06,31,31,,2,2,0,0,4,0,0,2,2,6,25,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,41,2019-10-07,2019-10-13,19,19,,0,0,0,0,0,0,0,2,2,2,17,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,42,2019-10-14,2019-10-20,21,21,,2,1,0,0,3,0,0,2,2,5,16,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,43,2019-10-21,2019-10-27,15,15,,1,1,0,0,2,0,0,1,1,3,12,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,44,2019-10-28,2019-11-03,10,10,,0,0,0,0,0,0,0,0,0,0,10,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,45,2019-11-04,2019-11-10,14,14,,0,0,0,0,0,0,0,3,3,3,11,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,46,2019-11-11,2019-11-17,15,15,,0,0,0,0,0,0,0,0,0,0,15,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,47,2019-11-18,2019-11-24,8,8,,1,1,0,0,2,0,0,0,0,2,6,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,48,2019-11-25,2019-12-01,27,27,,0,6,0,0,6,0,0,6,6,12,15,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,49,2019-12-02,2019-12-08,11,11,,0,0,0,0,0,0,0,2,2,2,9,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,50,2019-12-09,2019-12-15,11,11,,1,0,0,0,1,0,0,1,1,2,9,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,51,2019-12-16,2019-12-22,20,20,,0,1,0,0,1,0,0,0,0,1,19,Sporadic

Myanmar,South-East Asia Region of WHO,South-East Asia,2019,52,2019-12-23,2019-12-29,2,2,,0,0,0,0,0,0,0,0,0,0,2,Sporadic


