Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Nepal,South-East Asia Region of WHO,Southern Asia,2014,1,2013-12-30,2014-01-05,22,22,0,0,5,0,0,5,0,0,0,0,5,,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2014,2,2014-01-06,2014-01-12,37,37,0,0,0,0,0,0,0,0,0,0,0,,No Report

Nepal,South-East Asia Region of WHO,Southern Asia,2014,3,2014-01-13,2014-01-19,29,29,0,2,2,0,0,4,0,0,0,0,4,,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2014,4,2014-01-20,2014-01-26,24,24,0,1,0,0,0,1,0,0,2,2,3,,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2014,5,2014-01-27,2014-02-02,123,123,0,3,8,0,0,11,0,0,1,1,12,,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2014,6,2014-02-03,2014-02-09,19,19,0,1,0,0,0,1,0,0,0,0,1,,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2014,7,2014-02-10,2014-02-16,21,21,0,2,0,0,0,2,0,0,1,1,3,,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2014,8,2014-02-17,2014-02-23,40,40,0,5,4,0,0,9,0,0,5,5,14,,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2014,9,2014-02-24,2014-03-02,34,34,0,9,1,0,0,10,0,0,5,5,15,,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2014,10,2014-03-03,2014-03-09,36,36,0,11,5,0,0,16,0,0,4,4,20,,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2014,11,2014-03-10,2014-03-16,72,72,0,23,7,0,0,30,0,0,3,3,33,,Regional Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2014,12,2014-03-17,2014-03-23,74,74,0,16,3,0,0,19,0,0,11,11,30,,Regional Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2014,13,2014-03-24,2014-03-30,109,109,0,26,8,0,0,34,0,0,5,5,39,,Regional Outbreak

