Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Nepal,South-East Asia Region of WHO,Southern Asia,2018,1,2018-01-01,2018-01-07,64,64,,0,5,,,5,20,1,7,28,33,31,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,2,2018-01-08,2018-01-14,95,95,,2,16,,,18,31,,6,37,55,40,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,3,2018-01-15,2018-01-21,101,101,,1,29,,,30,26,2,4,32,62,38,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,4,2018-01-22,2018-01-28,85,85,,0,7,,,7,16,2,5,23,30,55,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,5,2018-01-29,2018-02-04,86,86,,2,21,,,23,17,,7,24,47,39,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,6,2018-02-05,2018-02-11,132,132,,5,29,,,34,16,1,26,43,77,54,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,7,2018-02-12,2018-02-18,65,65,,2,21,,,23,5,,8,13,36,29,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,8,2018-02-19,2018-02-25,103,103,,6,25,,,31,6,,15,21,52,51,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,9,2018-02-26,2018-03-04,73,73,,4,20,,,24,7,,8,15,39,34,Local Outbreak

Nepal,South-East Asia Region of WHO,Southern Asia,2018,10,2018-03-05,2018-03-11,81,81,,8,15,,,23,4,2,5,11,34,45,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,11,2018-03-12,2018-03-18,88,88,,1,12,,,13,8,1,6,15,28,60,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,12,2018-03-19,2018-03-25,70,70,,2,9,,,11,6,1,3,10,21,49,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,13,2018-03-26,2018-04-01,83,83,,4,9,,,13,4,1,3,8,21,62,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,14,2018-04-02,2018-04-08,55,55,,1,8,,,9,1,1,0,2,11,44,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,15,2018-04-09,2018-04-15,39,39,,0,3,,,3,,,1,1,4,35,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,16,2018-04-16,2018-04-22,35,35,,1,1,,,2,,,1,1,3,32,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,17,2018-04-23,2018-04-29,32,32,,1,1,,,2,1,,0,1,3,29,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,18,2018-04-30,2018-05-06,28,28,,0,0,,,0,,,0,0,0,28,No Activity

Nepal,South-East Asia Region of WHO,Southern Asia,2018,19,2018-05-07,2018-05-13,20,20,,2,0,,,2,,,0,0,2,18,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,20,2018-05-14,2018-05-20,39,39,,0,1,,,1,1,,0,1,2,37,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,21,2018-05-21,2018-05-27,58,58,,1,1,,,2,,1,0,1,3,55,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,22,2018-05-28,2018-06-03,57,57,,0,0,,,0,1,,2,3,3,54,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,23,2018-06-04,2018-06-10,45,45,,0,1,,,1,,,1,1,2,43,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,24,2018-06-11,2018-06-17,48,48,,1,1,,,2,,,0,0,2,46,Sporadic

Nepal,South-East Asia Region of WHO,Southern Asia,2018,25,2018-06-18,2018-06-24,35,35,,1,2,,,3,,,1,1,4,31,Sporadic

