,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
0,Nepal,South-East Asia Region of WHO,Southern Asia,2020,1,2019-12-30,2020-01-05,56.0,38.0,,6.0,,,,6.0,0.0,0.0,3.0,3.0,9.0,29.0,No Report
1,Nepal,South-East Asia Region of WHO,Southern Asia,2020,2,2020-01-06,2020-01-12,58.0,42.0,,7.0,5.0,,,12.0,0.0,0.0,2.0,2.0,14.0,28.0,No Report
2,Nepal,South-East Asia Region of WHO,Southern Asia,2020,3,2020-01-13,2020-01-19,52.0,39.0,,13.0,2.0,,,15.0,0.0,0.0,1.0,1.0,16.0,23.0,No Report
3,Nepal,South-East Asia Region of WHO,Southern Asia,2020,4,2020-01-20,2020-01-26,74.0,66.0,,29.0,1.0,,,30.0,0.0,0.0,2.0,2.0,32.0,34.0,No Report
4,Nepal,South-East Asia Region of WHO,Southern Asia,2020,5,2020-01-27,2020-02-02,118.0,101.0,,54.0,,,,54.0,0.0,0.0,2.0,2.0,56.0,45.0,No Report
5,Nepal,South-East Asia Region of WHO,Southern Asia,2020,6,2020-02-03,2020-02-09,172.0,154.0,,57.0,11.0,,,68.0,0.0,0.0,8.0,8.0,76.0,78.0,No Report
6,Nepal,South-East Asia Region of WHO,Southern Asia,2020,7,2020-02-10,2020-02-16,182.0,161.0,,43.0,24.0,,,67.0,0.0,0.0,2.0,2.0,69.0,92.0,No Report
7,Nepal,South-East Asia Region of WHO,Southern Asia,2020,8,2020-02-17,2020-02-23,135.0,115.0,,36.0,14.0,,,50.0,0.0,0.0,1.0,1.0,51.0,64.0,No Report
8,Nepal,South-East Asia Region of WHO,Southern Asia,2020,9,2020-02-24,2020-03-01,157.0,141.0,,44.0,25.0,,,69.0,0.0,0.0,1.0,1.0,70.0,71.0,No Report
9,Nepal,South-East Asia Region of WHO,Southern Asia,2020,10,2020-03-02,2020-03-08,175.0,160.0,,34.0,29.0,,,63.0,0.0,0.0,1.0,1.0,64.0,96.0,No Report
