Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE

Netherlands,European Region of WHO,South West Europe,2016,1,2016-01-04,2016-01-10,,202,0,52,1,,0,53,0,4,0,4,57,,No Report

Netherlands,European Region of WHO,South West Europe,2016,2,2016-01-11,2016-01-17,,206,0,62,1,,2,65,0,4,0,4,69,,No Report

Netherlands,European Region of WHO,South West Europe,2016,3,2016-01-18,2016-01-24,,266,0,125,0,,6,131,2,11,1,14,145,,No Report

Netherlands,European Region of WHO,South West Europe,2016,4,2016-01-25,2016-01-31,,388,0,206,3,,3,212,1,13,0,14,226,,No Report

Netherlands,European Region of WHO,South West Europe,2016,5,2016-02-01,2016-02-07,,397,0,246,2,,4,252,1,36,4,41,293,,No Report

Netherlands,European Region of WHO,South West Europe,2016,6,2016-02-08,2016-02-14,,424,0,213,4,,11,228,2,58,8,68,296,,No Report

Netherlands,European Region of WHO,South West Europe,2016,7,2016-02-15,2016-02-21,,437,0,251,0,,14,265,4,70,8,82,347,,No Report

Netherlands,European Region of WHO,South West Europe,2016,8,2016-02-22,2016-02-28,,442,0,223,3,,17,243,2,96,9,107,350,,No Report

Netherlands,European Region of WHO,South West Europe,2016,9,2016-02-29,2016-03-06,,437,0,208,0,,12,220,1,104,10,115,335,,No Report

Netherlands,European Region of WHO,South West Europe,2016,10,2016-03-07,2016-03-13,,418,0,155,7,,6,168,5,155,11,171,339,,No Report

Netherlands,European Region of WHO,South West Europe,2016,11,2016-03-14,2016-03-20,,343,0,113,2,,6,121,4,147,9,160,281,,No Report

Netherlands,European Region of WHO,South West Europe,2016,12,2016-03-21,2016-03-27,,220,0,65,3,,8,76,5,89,9,103,179,,No Report

Netherlands,European Region of WHO,South West Europe,2016,13,2016-03-28,2016-04-03,,168,0,35,1,,4,40,2,65,9,76,116,,No Report

